galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_cinfo_limit,beta_mode
IC4202,15.75,248.0,5.08,0.12111085219204434,3458.9747492063493,328.86926440470023,3787.8440136110494,233.40705280689355,71.97006957321932,244.2509840601958,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,16.52,249.0,5.22,0.15413486125646733,3216.263765133172,399.03557685174763,3615.2993419849195,230.50526544962048,81.1915496193469,244.38646674804002,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,17.1,246.0,6.35,0.1507708146005145,3042.986625730994,377.087343360366,3420.07396909136,228.11197097039866,80.30064490066228,241.83313435396371,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,17.88,241.0,16.2,0.1397176443178998,2824.2249776286353,334.1985222650273,3158.4234998936627,224.71569282095098,77.30116155724109,237.63966878048515,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,18.65,247.0,14.6,0.21933206816295997,2626.195651474531,502.9723169544838,3129.1679684290148,221.31097781176604,96.8526391545482,241.5760389840042,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,19.62,234.0,20.9,0.1492742737939318,2403.3081498470947,325.39190838672266,2728.7000582338173,217.1471986924998,79.90112166013378,231.3808443725355,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,20.78,249.0,10.0,0.3131734791577247,2180.5356833493747,644.555351956169,2825.0910353055438,212.86505467079374,115.73184615156363,242.291955528138,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,22.13,236.0,16.1,0.24749872329328637,1964.2972661545411,478.3131645506516,2442.610430705193,208.49436083501155,102.88377098214237,232.49724478261226,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,23.0,245.0,22.1,0.3511810522615386,1836.075104347826,653.0163043684743,2489.0914087163,205.49872846321944,122.55355972175965,239.2678465663009,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,23.58,243.0,4.2,0.35388531893235636,1757.0300975402884,641.8588451406019,2398.88894268089,203.54549786227156,123.02451612754017,237.83566021186854,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,25.03,238.0,7.76,0.37054240488470125,1561.572345185777,633.1372291066635,2194.7095742924407,197.70218966920928,125.88655545585394,234.37913867181052,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,25.9,247.0,6.14,0.4802009239480015,1456.4487606177606,792.9467295937637,2249.3954902115242,194.22158196245852,143.30847949956933,241.36972303186346,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
