galaxy,matched_sparc_name,h_kpc_source,r_kpc,v_obs_kms,v_vis_kms,h_kpc,r_min_kpc,r_max_kpc,delta_r_kpc,Dw,sigma,sigma_scale,beta,rho_struct,M_struct,g_topo_kms2_per_kpc,v_struct_kms,v_topo_kms,residual_kms,abs_residual_kms,sq_error
NGC2841,NGC2841,structure_2014_z0,6.86,317.0,284.37957257862246,2.04,3.44,63.64,0.35000000000000053,2.086989442231868,0.00571457973791345,0.3427274079501306,0.9834644054655214,4.28350373772713,16.524406789082644,1.509892757121934e-06,0.003218363608086642,284.3795725968338,32.62042740316622,32.62042740316622,1064.0922839652376
NGC2841,NGC2841,structure_2014_z0,7.18,320.0,285.497386678057,2.04,3.44,63.64,0.3199999999999994,2.0823046946297623,0.004684747602105688,0.3427274079501306,0.9864239773981902,4.277127304462684,17.8930875265107,1.4924673994614416e-06,0.0032735173633468254,285.4973866968241,34.502613303175906,34.502613303175906,1190.430324748491
NGC2841,NGC2841,structure_2014_z0,7.51,316.0,286.64103840866886,2.04,3.44,63.64,0.33000000000000007,2.077936581913408,0.0043681127163544,0.3427274079501306,0.9873357240496389,4.263138368917287,19.299923188253405,1.4714454355486897e-06,0.003324237539793247,286.6410384279448,29.358961572055193,29.358961572055193,861.9486245894135
NGC2841,NGC2841,structure_2014_z0,7.85,318.0,288.61413842707015,2.04,3.44,63.64,0.33999999999999986,2.0738613020381758,0.004075279875232152,0.3427274079501306,0.9881796830396791,4.25006269060153,20.744944503057926,1.4475761509700046e-06,0.003370975049613173,288.61413844675644,29.385861553243558,29.385861553243558,863.5288592263979
NGC2841,NGC2841,structure_2014_z0,8.21,321.0,289.92085747665686,2.04,3.44,63.64,0.3600000000000012,2.0699533876770855,0.003907914361090281,0.3427274079501306,0.9886623628183203,4.236128573452157,22.269950789500708,1.4206967883979318e-06,0.0034152482534578685,289.92085749677256,31.079142503227445,31.079142503227445,965.9130987359187
NGC2841,NGC2841,structure_2014_z0,8.57,323.0,289.8394476257502,2.04,3.44,63.64,0.35999999999999943,2.0664086764501706,0.0035447112269149095,0.3427274079501306,0.9897106466638724,4.226108818213926,23.79134996405772,1.3929191114079834e-06,0.0034550422261915145,289.8394476463432,33.16055235365678,33.16055235365678,1099.6222323996124
NGC2841,NGC2841,structure_2014_z0,8.9,321.0,289.1324277904504,2.04,3.44,63.64,0.33000000000000007,2.0634380754448123,0.0029706010053582865,0.3427274079501306,0.9913699220995625,4.221031746667707,25.184290440458064,1.3671562794340319e-06,0.003488221737069317,289.1324278114921,31.867572188507893,31.867572188507893,1015.5421571897617
NGC2841,NGC2841,structure_2014_z0,9.24,323.0,287.4796989354205,2.04,3.44,63.64,0.33999999999999986,2.060622985291549,0.002815090153263089,0.3427274079501306,0.9918198533268261,4.211432817937205,26.616177598556714,1.3405104345143676e-06,0.003519419897499126,287.47969895696343,35.52030104303657,35.52030104303657,1261.6917861879447
NGC2841,NGC2841,structure_2014_z0,9.6,323.0,285.42702149586324,2.04,3.44,63.64,0.35999999999999943,2.057882691379669,0.0027402939118803538,0.3427274079501306,0.9920363300105207,4.201155975385703,28.128593749695565,1.3124235364983827e-06,0.0035495444708278376,285.4270215179341,37.57297848206588,37.57297848206588,1411.7287120137855
NGC2841,NGC2841,structure_2014_z0,9.93,322.0,284.0806626646734,2.04,3.44,63.64,0.33000000000000007,2.055563826875572,0.002318864504097018,0.3427274079501306,0.9932569222870136,4.1968508325309495,29.513554524430777,1.2870383160984125e-06,0.0035749532135200364,284.08066268716755,37.919337312832454,37.919337312832454,1437.8761422443677
NGC2841,NGC2841,structure_2014_z0,10.27,321.0,283.18853454898203,2.04,3.44,63.64,0.33999999999999986,2.053347097704505,0.0022167291710668557,0.3427274079501306,0.9935529643939984,4.189052090972627,30.93783223536147,1.2612972489810588e-06,0.0035991002690999698,283.18853457185287,37.81146542814713,37.81146542814713,1429.7069178239656
