galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,Dw_smooth_i,dDw_dr_i,state_term_i,propagation_source_i,propagation_term_i,history_term_i,delta_struct_i,DeltaD_i,causal_horizon_kpc,ell_info_kpc,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
IC4202,15.75,248.0,233.40705280689355,5.08,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.137907668810186,2.1285997798270193,-0.005941686451852685,0.5126123584019605,0.6011614434853674,0.12844991396933958,0.5194963914277835,0.5153659716122897,0.5153659716122897,3.9700000000000006,3.9700000000000006,1004189430.1919508,197.67071476309218,4,233.40705280689355,0.058842529004461505,0.03032543713250864
IC4202,16.52,249.0,230.50526544962048,5.22,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.133207175487641,2.1228069285559945,-0.005758691594225146,0.5159099869145275,0.594088585101776,0.13044490059861383,0.523452517928817,0.5189269993202433,0.5189269993202433,3.9700000000000006,3.9700000000000006,976673396.4851445,208.23764328179539,4,230.50526544962048,0.07427604237100209,0.038543843788967365
IC4202,17.1,246.0,228.11197097039866,6.35,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.1286768839578336,2.1197415076027735,-0.005558193877032758,0.5188856536949267,0.5836563688188335,0.13061088310155347,0.5237712162476698,0.520839878716024,0.520839878716024,3.9700000000000006,3.9700000000000006,941634310.5602188,225.68042809756102,4,228.11197097039866,0.07271556516098106,0.037873166139212516
IC4202,17.88,241.0,224.71569282095098,16.2,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.121206801573306,2.1174259152261885,-0.0052013389569796715,0.5235719200315231,0.5625211471944507,0.12897334684213024,0.5204953242559415,0.5223412817212905,0.5223412817212905,3.9700000000000006,3.9700000000000006,874589263.1663978,262.33883004878044,4,224.71569282095098,0.06756973933215363,0.03529446424833062
IC4202,18.65,247.0,221.31097781176604,14.6,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.1138324894757594,2.115140009931354,-0.0048490591000041865,0.5281981060304709,0.5416568899498677,0.127356804637315,0.5172614308794917,0.5238234359700792,0.5238234359700792,3.9700000000000006,3.9700000000000006,808403767.662241,298.5272524878048,4,221.31097781176604,0.10400413841390269,0.054479805139078206
IC4202,19.62,234.0,217.1471986924998,20.9,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.10454277163859,2.1122603630014987,-0.0044052779814766265,0.5340258987823923,0.5153733451092889,0.12532038134033993,0.5131875651974706,0.5256905653484235,0.5256905653484235,3.9700000000000006,3.9700000000000006,725027234.3647964,344.11526517073173,4,217.1471986924998,0.07202051840812046,0.03786050703865139
IC4202,20.78,249.0,212.86505467079374,10.0,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.0934334183487793,2.108816661518372,-0.0038745706644745972,0.5409952179496382,0.4839414770525144,0.12288507100581304,0.5083157258251566,0.5279234210998456,0.5279234210998456,3.9700000000000006,3.9700000000000006,625319215.163729,398.6328885853659,5,212.86505467079374,0.1451202623662902,0.0766123853793191
IC4202,22.13,236.0,208.49436083501155,16.1,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.0805044296063273,2.104808905481975,-0.0032569371489980987,0.549106063532209,0.44736128577954415,0.12005087363373435,0.5026459127625498,0.5305220032243453,0.5305220032243453,3.9700000000000006,3.9700000000000006,509279710.05903864,462.08012273170726,5,208.49436083501155,0.11654931849571377,0.06183197792277831
IC4202,23.0,245.0,205.49872846321944,22.1,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.0744709015265164,2.102938619331656,-0.002968708175109066,0.5528911248040754,0.430290529852158,0.11872824819343096,0.5,0.5317346748824452,0.5317346748824452,3.9700000000000006,3.9700000000000006,455127941.0101831,491.68883199999993,5,205.49872846321944,0.16122967974196148,0.08573141133899265
IC4202,23.58,243.0,203.54549786227156,4.2,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.0744709015265164,2.102938619331656,-0.002968708175109066,0.5528911248040754,0.430290529852158,0.11872824819343096,0.5,0.5317346748824452,0.5317346748824452,3.9700000000000006,3.9700000000000006,455127941.0101831,491.68883199999993,5,203.54549786227156,0.16236420632810059,0.08633467846441882
IC4202,25.03,238.0,197.70218966920928,7.76,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.0744709015265164,2.102938619331656,-0.002968708175109066,0.5528911248040754,0.430290529852158,0.11872824819343096,0.5,0.5317346748824452,0.5317346748824452,3.9700000000000006,3.9700000000000006,455127941.0101831,491.68883199999993,5,197.70218966920928,0.1693185308016417,0.09003253392738422
IC4202,25.9,247.0,194.22158196245852,6.14,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.0744709015265164,2.102938619331656,-0.002968708175109066,0.5528911248040754,0.430290529852158,0.11872824819343096,0.5,0.5317346748824452,0.5317346748824452,3.9700000000000006,3.9700000000000006,455127941.0101831,491.68883199999993,5,194.22158196245852,0.213677805820006,0.11361989860729514
