r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,a_struct_raw,a_struct,struct_to_bar_ratio,a_total
15.2,221.0,9.52,139.831310762849,2463.6479605263157,-310.43784108717307,-323.2781039633444,-322.28453047346494,99.62416248383205,2.3420991887009075,0.578066125800605,0.5292128504494106,-2170.8313065798484,-1177.2798375226018,0.4778604152807191,1286.368123003714
15.5,221.0,13.6,140.2115972113732,2378.757019354839,-274.5303428400072,-284.2387949302175,-284.6615880387101,100.24923560683274,2.3450545882164495,0.5800363921442997,0.5333855109487553,-1874.701771231949,-1110.4156004797194,0.466804970597999,1268.3414188751196
15.71,221.0,8.15,140.983486145133,2323.6374856779116,-256.74498824360404,-265.12947639819055,-260.6622844411297,100.69099346453145,2.347183707206405,0.5814558048042698,0.5361422714272309,-1685.1305989249613,-1058.4342160639771,0.4555074630133983,1265.2032696139345
16.02,221.0,4.11,140.5579650009852,2245.249625468165,-248.4181298480711,-246.70362848417065,-244.70425890247856,101.05521566187691,2.3489907126765357,0.5826604751176905,0.5382315237843446,-1547.2398067440968,-1012.0073330076041,0.45073265864439765,1233.242292460561
16.32,221.0,5.37,140.21589090311258,2172.1024264705884,-235.51607997209732,-233.865217189178,-229.81490883173245,101.36713294832077,2.3505402982909316,0.5836935321939544,0.540157032082897,-1430.0615357636648,-967.4151677847083,0.4453819285845762,1204.6872586858801
16.53,221.0,5.06,141.00538301803772,2125.136424682395,-218.3086015170735,-218.4343228000624,-214.6483357445501,101.58676255344274,2.3515656705627355,0.5843771137084903,0.5426744208578168,-1310.202614824405,-922.3222661788551,0.43400614448397007,1202.81415850354
16.84,221.0,11.4,141.4236173571943,2058.5819536817103,-210.33828636504387,-199.44898130977762,-195.6834803952642,101.89480284537737,2.3530733171612384,0.5853822114408256,0.5460648570380944,-1183.8312855850172,-870.8955198103262,0.4230560353707349,1187.686433871384
16.94,221.0,2.56,146.14877083250798,2038.897727272727,-179.59051629802633,-175.12486112742286,-173.1891798371131,102.53813126577987,2.356521704157489,0.5876811361049927,0.5505323692977335,-1007.2475051790855,-778.0085173640533,0.3815829048005925,1260.8892099086738
19.4,218.0,1.7,135.39268664829984,1598.830231958763,-153.49142239664698,-149.17796010243964,-147.45190368238298,103.85890437215562,2.3639104293176296,0.5926069528784197,0.5561658488936533,-808.1947314976551,-653.924067121407,0.40900156505063695,944.9061648373561
21.77,216.0,1.13,130.81106359101904,1297.5341570969224,-113.89547906032357,-120.68909744001087,-121.23969703135998,105.38033406724456,2.3725788811723496,0.5983859207815664,0.5629356073637533,-599.9193766087064,-511.51971714223134,0.394224471351641,786.014439954691
24.23,215.0,1.77,126.1433398961986,1048.7150680974,-88.5740963921573,-95.35520162666663,-95.82100665722089,107.08708555012812,2.3824534428374773,0.6049689618916515,0.5706802070455289,-437.5266209001421,-392.00263721964984,0.3737932724956731,656.7124308777502
26.69,212.0,2.47,122.93690052757391,861.7496028475083,-67.89397305290012,-72.17898071492068,-74.11268383225735,108.83519668820723,2.392736401318675,0.6118242675457832,0.5790909035945001,-313.39129454406805,-295.489523741978,0.34289487661564566,566.2600791055303
29.06,208.0,1.44,120.7406354944418,720.7871782518926,-52.921037231305114,-55.161789524368835,-56.43184963250259,110.44267565653264,2.402272772809839,0.6181818485398928,0.5874720859389438,-223.67024898879993,-219.125063330982,0.3040079928480701,501.66211492091054
31.52,209.0,2.88,118.51337802755417,606.1409930203047,-37.610317837917265,-42.11184636745082,-43.466884012873514,111.91097307921353,2.4110822121109106,0.6240548080739403,0.5946959683635425,-158.46048725192932,-160.53754214778058,0.26485181500074334,445.6034508725241
36.34,220.0,4.09,109.13998382390554,446.9840643918547,-28.809523107564385,-33.197927878384235,-34.18497820860326,113.30289602739441,2.419519823183698,0.6296798821224652,0.600601526638099,-114.83849755457541,-119.2037652976785,0.2666845974919967,327.7802990941762
40.04,220.0,6.32,102.67274155888038,360.68385614385613,-23.324380607567207,-27.278596553636653,-29.245167476140587,114.4628929404209,2.426687479927096,0.6344583199513973,0.6051342368856367,-91.26365481590743,-97.404838680903,0.270055997854403,263.2790174629531
