galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,v_obs_segment_kms,v_vis_segment_kms,v_err_segment_kms,mass_bar_segment_msun,n_points,density_ref_gal_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_density_eff_msun_per_kpc3,alpha_geom_i,alpha_dens_i,Dw_i,sigma_i,beta_i,ell_info_kpc,c_info_gal,tau_struct_gal,S_i,I_int_i,eta_radius_term_i,eta_sigma_term_i,eta_dw_term_i,eta_obs_i,I_ext_i,DeltaD_i
NGC2841,5,45.16,63.64,54.4,18.480000000000004,2.04,284.1,139.79052367963587,5.090000000000001,247169004647.41183,10,607651636.969469,2050.8364800000004,120521068.87010893,2.011574510006392,2.033586099935076,2.022580304970734,0.012543171084418159,2.950060331572786e-17,12.240000000000002,1.0,2.0,4.459654543265603e-11,2535218.618750096,0.03618549212990779,0.1741226346842238,0.3182797966861773,0.4630165237116351,1173848.1117026825,0.536983476288365
NGC2998,1,0.33,2.64,1.485,2.31,3.31,135.75,106.16040290309387,16.75,3891268650.0421133,4,222861850.65588945,11.354458500000002,342708430.3528973,2.5290947913511697,2.4807111135511164,2.5049029524511432,0.38075969747175353,0.9872057876304251,13.850000000000001,1.0,2.0,128820047.14177023,133891558.34585129,0.8687571817730555,0.6256011947032522,0.003268634967428833,0.765892475471668,102546537.06626332,0.23410752452833195
NGC2998,2,3.63,17.48,10.555,13.850000000000001,3.31,208.25,209.6220323237375,8.75,107837978329.4842,4,222861850.65588945,483.8781425000001,222861850.65588945,2.064247383009163,2.1840391269496164,2.1241432549793897,0.22787037020636713,0.19215896952049263,13.850000000000001,1.0,2.0,9758526.62997037,76685154.7151798,0.36787944117144233,0.5,0.2505711633470735,0.5967483950693989,45761743.00193209,0.40325160493060114
NGC2998,3,22.46,42.28,32.370000000000005,19.82,3.31,211.2,164.01718193338445,2.4,202470164762.45087,5,222861850.65588945,2123.607954,95342534.56768267,2.0252130013742615,2.073111422702557,2.049162212038409,0.07498104294098074,0.0024474948726855997,13.850000000000001,1.0,2.0,17496.85370111191,15889720.772707867,0.0465702669811341,0.24758359936890842,0.30055852530772736,0.4726259361254127,7509894.154972471,0.5273740638745873
NGC3198,1,0.32,2.89,1.605,2.5700000000000003,2.1,64.87777777777778,81.2176359373249,13.370000000000001,2461588022.4261374,9,284176339.1599391,8.662185000000001,284176339.1599391,2.35425879892846,2.345850924884671,2.3500548619065658,0.05489475818329126,0.06512140818386014,5.259999999999999,1.0,2.0,1015880.3846187086,6134781.542037063,0.826261282322772,0.44451104110184103,0.09996342539562282,0.7288615003790785,4471406.079227011,0.2711384996209215
NGC3198,2,3.21,5.46,4.335,2.25,2.1,118.625,116.00314163581649,5.38875,13563389991.596958,8,284176339.1599391,20.482875,662181944.263047,2.1767790098026314,2.4135411976439176,2.2951601037232745,0.09430454017399503,0.11393688179903576,5.259999999999999,1.0,2.0,7114989.541853446,9206184.700673865,0.5972271284081708,0.5788946893906203,0.13655993085115034,0.6792454862484684,6253259.40350243,0.32075451375153163
NGC3198,3,5.78,11.04,8.41,5.259999999999999,2.1,145.66666666666666,136.86619416809776,1.9344444444444444,36629249726.67642,9,284176339.1599391,92.89685999999998,394300191.9190426,2.07740420026371,2.245487362853441,2.1614457815585757,0.12438391918085046,0.0657530791310667,5.259999999999999,1.0,2.0,3224833.6754672513,6783399.97227139,0.36787944117144233,0.6445301580665609,0.22570281229428288,0.6209067632753309,4211858.920784999,0.37909323672466905
NGC3198,4,12.05,26.1,19.075000000000003,14.05,2.1,153.125,108.54440155319925,2.0,52253940816.11608,8,284176339.1599391,562.8078750000001,92845077.57841177,2.0277599362975125,2.065024594425635,2.0463922653615736,0.06859994297693128,0.00134365314845846,5.259999999999999,1.0,2.0,8557.951329649297,901481.5983077526,0.10350522600060978,0.5,0.3024051564256176,0.5205694293164231,469283.76117032376,0.4794305706835769
NGC3198,5,28.16,44.08,36.12,15.919999999999998,2.1,148.33333333333334,83.49923046825627,2.2222222222222223,58553428966.22577,9,284176339.1599391,1207.56384,48488888.973543435,2.016857155939785,2.0316346352696413,2.024245895604713,0.022146369756860462,4.681363998450943e-10,5.259999999999999,1.0,2.0,0.0005027096138602308,35288.08416107297,0.013638112181803465,0.24404704819057277,0.31716940293019125,0.4661699793742343,16450.245465523632,0.5338300206257657
NGC3769,1,1.74,6.98,4.36,5.24,2.86,108.625,126.80353346510815,6.875,16300046593.086687,4,123821242.45870626,65.340704,249462365.65015715,2.1609092010292863,2.37862107719944,2.269765139114363,0.14127171552114604,0.19598233249898994,5.799999999999999,1.0,2.0,6906804.727605959,7113663.4092095895,0.6871414269514239,0.5363279915831025,0.15348990725709122,0.7037677572196415,5006366.943114862,0.2962322427803585
NGC3769,2,8.72,14.52,11.620000000000001,5.799999999999999,2.86,120.5,93.98851101146455,4.95,23866861466.29632,4,123821242.45870626,192.75255999999996,123821242.45870626,2.077429392636534,2.179557454549901,2.128493423593217,0.12213373364093894,0.04774879164909735,5.799999999999999,1.0,2.0,722093.0697352255,2698677.501660292,0.36787944117144233,0.5,0.24767105093785524,0.5964872499703014,1609726.7215220712,0.40351275002969855
