galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,sigma_i,beta_i,S_i,I_int_i,eta_obs_i,I_ext_i,DeltaD_i,eta_sigma_term_i,eta_dw_term_i,eta_density_term_i,eta_flow_term_i,eta_transition_term_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
NGC2841,10.27,321.0,283.18853454898203,13.6,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.2537956603862166,0.13159576222846267,0.17976974292143877,68454887.07364921,92246265.21454927,0.6305762673152979,57910999.68617491,0.36942373268470213,0.6886561367258682,0.3706692482171575,0.5147085346388718,0.5063335224717603,0.45867103031573453,2484978016.094791,136.22431528705442,2,283.18853454898203,0.11779272726173821,0.0435154289881424
NGC2841,10.6,323.0,282.22792065988085,9.32,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.24542622246846,0.1316775689159022,0.17271923715716717,64977471.431836754,90323127.2193518,0.6318460064145202,56784031.695871495,0.3681539935854799,0.6887886954447912,0.37764296522505586,0.5139154273789327,0.5059920090051458,0.45973075637503147,2383749632.906661,150.946382521576,2,282.22792065988085,0.12622934780222647,0.04647183850108019
NGC2841,10.93,322.0,281.29503159494305,11.9,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.237056784550703,0.13175937560334175,0.16566873139289556,61500055.790024295,88399989.22415435,0.6331157455137424,55657063.705568075,0.36688425448625767,0.6889212541637141,0.38461668223295425,0.5131223201189935,0.5056504955385314,0.4607904824343284,2282521249.7185307,165.66844975609757,2,281.29503159494305,0.1264129453573197,0.04637891921483227
NGC2841,11.27,321.0,280.11192852143944,11.0,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.228433727302105,0.13184366128130975,0.1584045739387976,57917263.916641764,86418574.32001151,0.6344239615553653,54495945.17010395,0.3655760384446347,0.6890578298135135,0.3918017239986677,0.5123051793057228,0.505298633178989,0.46188232140451313,2178225339.767124,180.83664024015007,2,280.11192852143944,0.12737716971514193,0.04656604109275149
NGC2841,12.31,323.0,274.1813868591375,4.24,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.202057316894629,0.13210147629627073,0.13618479819685075,46958135.833354004,80357775.78969224,0.6384255635650353,50944288.47339016,0.3615744364349647,0.6894755906246645,0.41377949881143833,0.5098056897592479,0.504222348314507,0.46522206413684286,1859202556.3863502,227.23345819136966,2,274.1813868591375,0.1511412171543731,0.05464880041468707
NGC2841,14.35,319.0,257.62889220737645,4.24,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.1503189734030417,0.13260719036407878,0.0925998534722628,25461384.593058825,68469286.36483523,0.6462748598147728,43977577.26060541,0.35372514018522716,0.6902950445234607,0.45688974940571914,0.5049028448796239,0.5021111741572535,0.4717730979579512,1233427096.6779099,318.24260109568485,3,257.62889220737645,0.1923859178452149,0.06805173575946223
NGC2841,16.4,308.0,240.95031458788344,4.24,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.0985442543575097,0.13305838294036404,0.04898681471258305,3962360.725079176,56556161.83595141,0.6540992220784203,36994412.40785032,0.3459007779215797,0.690941759586121,0.5000209948784216,0.49999135318869786,0.49998808254426286,0.47835516587144344,607409854.7820802,409.74872933791914,3,240.95031458788344,0.21769378380557325,0.07530044916703997
NGC2841,18.48,299.0,227.6905538225071,5.66,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.090978139137039,0.12171791270362138,0.04314325541349959,3489654.166714596,51432060.198378325,0.6489129529716988,33572055.29401761,0.3510870470283012,0.6550120816698604,0.5043879295900957,0.49819281643784985,0.49750925175093685,0.4848102570872962,557119159.805202,513.1216796251075,3,227.6905538225071,0.23849313102840436,0.0837318491092962
NGC2841,20.57,299.0,217.05240956967052,5.66,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.0833756483626242,0.11032292097535593,0.03727160207932438,3014674.980665572,46283323.45677845,0.6437017498788873,30133244.540214553,0.3562982501211127,0.6189096649174638,0.5087758591801914,0.49638563287569964,0.4950185035018737,0.49129638239553286,506586682.640935,616.991615250215,3,217.05240956967052,0.2740722087970886,0.0976514484012309
NGC2841,22.51,298.0,210.21654882525306,5.66,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.0763187908973775,0.09974575161993247,0.031821359271525386,2573785.2098832233,41504113.27558049,0.6388645565774259,26941238.38596674,0.3611354434225741,0.5853983307071051,0.5128488655939645,0.49470815148308184,0.4927065170888677,0.49731699631801096,459680938.28750056,713.406770806535,3,210.21654882525306,0.29457533951257364,0.1063815958562286
