Structural coupling rotation pipeline run log
started_at: 2026-03-23T17:27:34.723304
project_root: C:\Users\mincu\Desktop\topological_gravity_project
data_dir: C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized
output_root: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling
run_dir: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling\2026-03-23_172734_local_structural_coupling_v4
beta_mode: local_structural_coupling_v4
beta_value: 200.0
n_input_files: 175
------------------------------------------------------------------------
[065/175] [OK] NGC3992 | beta_mean=60.2091 | eta_mean=0.445612 | ratio_max=0.166563 | sigma_flip=24.2772 | rmse=65.2411 | mafe=0.24833
[066/175] [OK] NGC4010 | beta_mean=84.1325 | eta_mean=0.437297 | ratio_max=0.588303 | sigma_flip=173.084 | rmse=39.7463 | mafe=0.315789
[067/175] [OK] NGC4013 | beta_mean=71.6278 | eta_mean=0.52062 | ratio_max=0.438321 | sigma_flip=14.2107 | rmse=54.5371 | mafe=0.279233
[068/175] [OK] NGC4051 | beta_mean=95.4059 | eta_mean=0.47293 | ratio_max=0.620755 | sigma_flip=372.728 | rmse=28.5903 | mafe=0.19462
[069/175] [OK] NGC4068 | beta_mean=87.3052 | eta_mean=0.462315 | ratio_max=0.565558 | sigma_flip=89.7058 | rmse=10.4601 | mafe=0.400547
[070/175] [OK] NGC4085 | beta_mean=90.6784 | eta_mean=0.471949 | ratio_max=0.630028 | sigma_flip=63.9829 | rmse=28.7123 | mafe=0.286275
[071/175] [OK] NGC4088 | beta_mean=63.1459 | eta_mean=0.452507 | ratio_max=0.506814 | sigma_flip=106.269 | rmse=34.2194 | mafe=0.18731
[072/175] [OK] NGC4100 | beta_mean=64.7163 | eta_mean=0.485386 | ratio_max=0.451081 | sigma_flip=97.1161 | rmse=57.0983 | mafe=0.296172
[073/175] [OK] NGC4138 | beta_mean=66.184 | eta_mean=0.447296 | ratio_max=0.558467 | sigma_flip=387.794 | rmse=60.7948 | mafe=0.360196
[074/175] [OK] NGC4157 | beta_mean=62.8985 | eta_mean=0.482693 | ratio_max=0.407419 | sigma_flip=173.164 | rmse=47.8982 | mafe=0.254126
[075/175] [OK] NGC4183 | beta_mean=55.7083 | eta_mean=0.454685 | ratio_max=0.476014 | sigma_flip=16.4006 | rmse=47.5697 | mafe=0.43897
[076/175] [OK] NGC4214 | beta_mean=62.7074 | eta_mean=0.481714 | ratio_max=0.597368 | sigma_flip=164.505 | rmse=45.3836 | mafe=0.560857
[077/175] [OK] NGC4217 | beta_mean=62.4112 | eta_mean=0.48756 | ratio_max=0.533481 | sigma_flip=415.878 | rmse=57.3189 | mafe=0.383987
[078/175] [OK] NGC4389 | beta_mean=103.707 | eta_mean=0.487872 | ratio_max=0.648129 | sigma_flip=95.5605 | rmse=28.4156 | mafe=0.523537
