galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,h_i_kpc,Dw_i,v_vis_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,r_min_gal_kpc,r_scale,L_static,delta_sigma_i,beta_i,rho_struct_i,M_struct_i,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_segment_kms,source_file
NGC2683,1,2.89,14.43,8.66,0.35,2.0088808980978237,205.08057127289626,195.8,7.4,5,34.62,2.89,2.4831750476237224,0.4027102321912228,0.0,1.0,4.035602462742318,4.035602462742318,2.3143708414937762e-07,0.001415713653509639,205.08057127778272,NGC2683_segment_structure_v8.csv
NGC2683,2,17.31,34.62,25.964999999999996,0.35000000000000003,2.0024084971573783,122.61999609272766,162.5,10.333333333333334,6,34.62,2.89,2.4831750476237224,0.4027102321912228,0.006472400940445322,0.9840563625918283,3.9457115465470944,7.981314009289413,5.0916447926435415e-08,0.0011498024049417775,122.61999609811848,NGC2683_segment_structure_v8.csv
NGC2841,1,3.44,6.51,4.975,0.35,2.017401371616038,282.98789495077904,305.2,9.407,10,63.64,3.44,2.917770732084279,0.3427274079501306,0.0,1.0,4.069908294198271,4.069908294198271,7.072269601919259e-07,0.0018757542821368769,282.98789495699566,NGC2841_segment_structure_v8.csv
NGC2841,2,6.86,9.93,8.395,0.35,2.0092198141819666,287.1012252081233,320.4,12.484,10,63.64,3.44,2.917770732084279,0.3427274079501306,0.00818155743407134,0.9764107713520567,3.9417353886885658,8.011643682886836,4.889231257319752e-07,0.002025958943443803,287.10122521527154,NGC2841_segment_structure_v8.csv
NGC2841,3,10.27,22.51,16.39,0.35,2.004143677095796,255.45435211970735,313.3,7.552,10,63.64,3.44,2.917770732084279,0.3427274079501306,0.005076137086170718,0.9852981391953438,3.9575405037370754,11.969184186623911,1.9163154351282902e-07,0.0017722418001433291,255.4543521258549,NGC2841_segment_structure_v8.csv
NGC2841,4,24.59,43.08,33.835,0.35,2.00176700528791,173.643980848759,284.1,3.818,10,63.64,3.44,2.917770732084279,0.3427274079501306,0.0023766718078856996,0.9930894053002588,3.979379898853852,15.948564085477763,5.991693384086754e-08,0.0014238291528500717,173.6439808545965,NGC2841_segment_structure_v8.csv
NGC2841,5,45.16,63.64,54.4,0.35,2.00101814042047,139.79052367963587,284.1,5.090000000000001,10,63.64,3.44,2.917770732084279,0.3427274079501306,0.00074886486744008,0.9978173694172384,3.995334184800537,19.9438982702783,2.8984953337756356e-08,0.0012556995904968455,139.79052368527567,NGC2841_segment_structure_v8.csv
NGC2998,1,0.33,2.64,1.485,0.35,2.07843948103102,106.16040290309387,135.75,16.75,4,42.28,0.33,4.852976785523648,0.20605909407664674,0.0,1.0,4.319910676308495,4.319910676308495,8.425238706636266e-06,0.0035371569769173175,106.16040296202112,NGC2998_segment_structure_v8.csv
NGC2998,2,3.63,17.48,10.555,0.35,2.0070015936121033,209.6220323237375,208.25,8.75,4,42.28,0.33,4.852976785523648,0.20605909407664674,0.07143788741891655,0.7070270106270917,2.847943965812623,7.167854642121117,2.767152340133948e-07,0.0017090141295528782,209.62203233070417,NGC2998_segment_structure_v8.csv
NGC2998,3,22.46,42.28,32.370000000000005,0.35,2.00186068927389,164.01718193338445,211.2,2.4,5,42.28,0.33,4.852976785523648,0.20605909407664674,0.005140904338213126,0.9753599570393128,3.908702572254921,11.076557214376038,4.546526753756504e-08,0.0012131408451581294,164.0171819378709,NGC2998_segment_structure_v8.csv
NGC3198,1,0.32,2.89,1.605,0.35,2.0710688503534804,81.2176359373249,64.87777777777778,13.370000000000001,9,44.08,0.32,4.925440448033024,0.20302752830954443,0.0,1.0,4.289326182904487,4.289326182904487,7.1614234618513935e-06,0.003390292709526935,81.21763600808592,NGC3198_segment_structure_v8.csv
