r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_total,struct_to_bar_ratio,sigma_flip_severity
3.27,264.0,13.1,234.69899423161425,324.9469392070035,32290.676850152908,-6782.438533194152,-6722.179373766943,-3790.060714147229,108.74666401077536,2.328477635228232,0.571391054091293,0.4810116757027585,0.8044020250048789,-126139.05887350094,-15445.53376350725,16845.143086645658,0.4783279655357893,17.77250759779963
3.35,266.0,11.8,235.2652439494197,326.1291514109096,31749.32041791045,-6785.7483528142375,-6599.438079459013,-3763.5657517040436,108.72365664659536,2.3392304220453717,0.5756921688181488,0.4841397591404718,0.8022100338409167,-122043.04724503346,-15227.011459528376,16522.308958382077,0.47960117757161513,26.494962443185614
3.43,267.0,12.7,240.59656339147188,327.15898719124317,31204.95711370263,-6369.68995730072,-6314.630482278855,-3725.035600624632,108.60017573556283,2.346355264731717,0.5785421058926868,0.48621244064922675,0.7998530289025657,-111472.21584113792,-14328.366351082645,16876.590762619984,0.45916955754413824,38.53015107941155
4.21,280.0,5.52,232.57927758895676,332.56960098601917,26271.387054631832,-6238.578147607824,-6011.819057821665,-3666.1714827156175,108.32174301361155,2.3529701185175282,0.5811880474070114,0.48813676175055376,0.7972667908856422,-100784.70656622341,-13422.66487795701,12848.722176674823,0.5109233421914241,58.86411790901457
4.29,282.0,2.35,239.0686136807079,332.9454246569548,25839.7799067599,-5396.697420477339,-5632.091675663905,-3588.4730701624417,107.69413254777199,2.357765397545197,0.5831061590180788,0.48953175201314825,0.7956425144869913,-89769.56192815385,-12517.215326989373,13322.564579770527,0.48441648389252595,77.69841255317579
4.38,283.0,5.1,239.1343840623532,333.24209578023004,25353.948493150685,-5268.381410908203,-5220.38297246658,-3482.3771216481673,106.77907102530867,2.3633520453887873,0.585340818155515,0.49115695865855635,0.7946505836580043,-84775.69603578553,-12297.954511214371,13055.993981936314,0.48505085961410066,106.09594851427437
4.47,285.0,4.61,241.15104793023133,333.5639016740271,24891.471252796426,-4887.11144202544,-4748.949216679832,-3359.03835916068,105.59091832683447,2.361988292677699,0.5847953170710797,0.4907602305971489,0.7941115225427547,-78084.26802463207,-11881.666349474563,13009.804903321863,0.47733885348941435,123.3387624874872
4.8,290.0,10.8,240.52504983822348,334.4346514642285,23301.3616875,-4311.146441314093,-4376.393079296804,-3223.6453848176247,104.24329922450325,2.3616405907057283,0.5846562362822914,0.4906590809325756,0.7937721445650527,-70025.20599625038,-11248.799270900025,12052.562416599976,0.4827528717746326,135.39297434305536
5.25,296.0,2.85,238.9016869060852,336.19351480955135,21528.777028571432,-3881.409368674083,-4034.7751984974143,-3096.402922092487,102.94990580382871,2.3618743970716745,0.5847497588286699,0.4907270973299417,0.7935678095994974,-62706.59819114969,-10657.53588446226,10871.241144109172,0.4950367533798298,127.24246272513756
5.32,298.0,1.92,241.95936644209573,336.4902870812173,21283.028815789476,-3533.916733562202,-3779.1676812718015,-2995.825250426159,101.91664461419339,2.364130115593798,0.5856520462375192,0.4913833063545594,0.7930473968280267,-57667.351929412536,-10278.4545659661,11004.574249823376,0.482941345187707,100.57767166632811
5.41,299.0,4.29,242.00640058943148,336.76657405389864,20963.35035120148,-3560.2920069112524,-3674.216588521533,-2935.263864792353,101.17045573405046,2.368012968981324,0.5872051875925296,0.4925128637036579,0.7922273610261557,-55173.14562145211,-10137.639089417307,10825.711261784172,0.4835886878566758,60.56138563380591
5.5,300.0,4.92,241.98628650380235,336.9450539776478,20642.17625454545,-3609.073855897378,-3639.549954606516,-2908.3653758045866,100.67501158272503,2.370637068768807,0.5882548275075228,0.49327623818728933,0.7911073603194824,-53356.53442308385,-9995.383008018121,10646.79324652733,0.4842213768917469,26.89848898776654
5.58,301.0,2.24,242.06883696693077,336.97466892928315,20349.807795698925,-3786.390977562749,-3612.1873988191956,-2889.4260002051096,100.30928560536634,2.373564057684017,0.5894256230736069,0.49412772587171416,0.7899534520932114,-51842.794920542525,-9848.495639691308,10501.312156007618,0.48396013065896654,18.93937559947699
5.67,302.0,4.59,241.6413051351888,336.7364505069209,19998.489788359784,-3708.0761990989995,-3559.8313563167126,-2861.2478802367777,99.77640047637767,2.376854423187593,0.5907417692750373,0.495084923109118,0.7891172406838922,-50186.086405687856,-9700.338051598335,10298.151736761449,0.48505352925421713,28.178119968331885
5.76,303.0,5.07,242.61111722558192,336.705152173233,19682.354079861107,-3397.103954625598,-3472.9120994027016,-2809.682342984247,98.94828027910584,2.3795783865885323,0.5918313546354129,0.49587734882575485,0.788551426489239,-47741.687123416246,-9463.577308776896,10218.77677108421,0.48081531662210997,51.5655372525307
6.0,306.0,7.89,241.2139284857822,336.5481732233887,18877.445483333337,-3298.5117943988375,-3316.6784780897365,-2735.11605783114,97.85789614200453,2.379756295119102,0.5919025180476408,0.49592910403464785,0.7881923708923433,-44744.92050461467,-9180.085600742663,9697.359882590674,0.4862991451278536,74.56628515310695
6.18,307.0,4.41,241.04988949351483,336.2667557163509,18296.979126213595,-3174.477571327324,-3148.0761714367713,-2649.272325452857,96.4806468016328,2.379150880316497,0.5916603521265988,0.4957529833647992,0.7882389779433797,-41566.725519574764,-8894.867601159272,9402.111525054323,0.4861385882227866,85.84373237828322
