galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,v_obs_segment_kms,v_vis_segment_kms,v_err_segment_kms,mass_bar_segment_msun,n_points,density_ref_gal_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_density_eff_msun_per_kpc3,alpha_geom_i,alpha_dens_i,Dw_i,sigma_i,beta_i,ell_info_kpc,c_info_gal,tau_struct_gal,S_i,I_int_i,eta_sigma_term_i,eta_dw_term_i,eta_density_term_i,eta_flow_term_i,eta_transition_term_i,propagation_source_i,propagation_term_i,eta_obs_i,I_ext_i,DeltaD_i
NGC4088,3,15.68,21.48,18.58,5.800000000000001,1.41,169.5,176.15766912675343,6.975,134056681773.51591,4,1338497201.579239,151.94724,882258090.199703,2.029469563753979,2.117151702340585,2.073310633047282,0.05341656363687042,0.00033952605310768637,5.24,1.0,2.0,16000.910654748272,20952.504492186366,0.5428986510699197,0.5333869310463376,0.49499170863274,0.5,0.46243641716093825,0.14333724648182314,0.5666258955826161,0.6533421305356932,13689.153924983724,0.34665786946430677
NGC4157,1,1.74,6.98,4.36,5.24,14.28,161.6,215.8670910476772,9.475,47238816982.59291,4,119491006.83341289,326.246592,144794821.28227997,2.474583496171718,2.272356849047882,2.3734701726098,0.1254597241737856,0.36475497355531994,5.2299999999999995,1.0,2.0,6626109.063666444,6979336.1588547975,0.599321603110757,0.3038023516767618,0.5028771218310308,0.5241889934814546,0.5681598250652845,0.13095628865433162,0.5176283264361698,0.6343525612847565,4427359.768436855,0.3656474387152435
NGC4157,2,8.72,13.94,11.33,5.219999999999999,14.28,192.75,227.09331741195047,6.525,135855825077.28787,4,119491006.83341289,844.5563279999999,160860585.10627592,2.273680400740038,2.2223404961319906,2.2480104484360144,0.10069780356274993,0.08188549206329566,5.2299999999999995,1.0,2.0,1326406.3884203243,3086909.4476116565,0.5455678236327723,0.4649708012490295,0.5042730343842968,0.5109171516495294,0.5513884965715566,0.1496314433190552,0.600716052064919,0.6747645498255136,2082937.0637698043,0.3252354501744864
NGC4157,3,15.68,20.9,18.29,5.219999999999999,14.28,182.5,173.7702629094548,6.699999999999999,128411602923.09045,4,119491006.83341289,1363.3658639999996,94187192.38454579,2.209174753176511,2.1349743777920893,2.1720745654843,0.0670552054901512,0.007518565024227635,5.2299999999999995,1.0,2.0,47485.31344384939,860710.958003181,0.44427513265950175,0.5307242195751105,0.4970893813511435,0.4885843424937722,0.43531530691263426,0.06484390595144367,0.48103434234710246,0.6029779335630792,518989.7148518563,0.39702206643692084
NGC4157,4,22.65,29.61,26.13,6.960000000000001,14.279999999999998,185.2,143.6010859755771,10.84,125283680563.79454,5,119491006.83341289,2597.0293439999996,48241149.393726125,2.1550088044298645,2.0727912704815594,2.113900037455712,0.058174528028588135,0.0013110529190135428,5.2299999999999995,1.0,2.0,3679.3469061128017,195730.07886814358,0.4095325953089992,0.571105250530353,0.4878115705357387,0.4599903038618986,0.2853419805486457,0.05308923277483981,0.43972619957372877,0.5651641950277968,110619.63246624154,0.4348358049722032
NGC4183,1,0.87,4.37,2.62,3.5,9.99,74.28,55.05702458827953,6.24,1846572703.4668882,5,41664180.60558628,91.6083,20157264.172208067,2.597548134372131,2.161684623638417,2.379616379005274,0.06638457851437662,0.16309417061582226,3.5,1.0,2.0,218241.44489631613,340221.4642564531,0.5264876072102396,0.3055502538077467,0.4894355689601832,0.5147865287697456,0.6225971984188625,0.11209830220979954,0.472870586666144,0.6137979913415332,208827.25137188614,0.3862020086584668
NGC4183,2,5.24,7.85,6.545,2.6099999999999994,9.99,105.075,78.4315719271537,5.2,9361191609.134169,4,41664180.60558628,170.65367549999993,54854907.64676892,2.3720794246165147,2.2543841763652797,2.313231800490897,0.07661117690596875,0.087346576903419,3.5,1.0,2.0,367073.90504997165,445491.5505917329,0.5620110694060491,0.40568782944153636,0.5038886909612583,0.5200160701038418,0.46519172324596,0.16817345615289991,0.5644345470431453,0.645665556266,287638.5498246141,0.3543344437340001
NGC4183,3,8.72,12.31,10.515,3.59,9.99,112.2,83.77962206637491,5.72,17160333196.635647,5,41664180.60558628,377.11101149999996,45504725.85878243,2.2565920717138312,2.196195978672841,2.2263940251933363,0.05723513055212903,0.008392764894989373,3.5,1.0,2.0,21858.69536606532,163672.5691794837,0.4894397732206234,0.5,0.5012532435221907,0.5,0.30216276289110205,0.12266663691780146,0.5874077475022942,0.6339310906755977,103757.13029362731,0.3660689093244023
NGC4183,4,13.12,16.03,14.575,2.910000000000002,9.99,109.25,72.17567239808223,4.925,17653461947.61814,4,41664180.60558628,423.70836750000035,41664180.60558628,2.227742644593442,2.1697804341798363,2.198761539386639,0.043668722036945606,0.0010095344421102595,3.5,1.0,2.0,1836.768690935852,53818.74218015456,0.4224355939390588,0.5240347510596557,0.5,0.4757143882501365,0.5,0.06123452155995358,0.4605485782092592,0.5992854107431036,32252.78701311112,0.4007145892568964
NGC4183,5,16.95,21.02,18.985,4.07,9.99,110.8,64.2317986909034,7.359999999999999,18211696928.989456,5,41664180.60558628,771.9168105000002,23592823.32145745,2.174800032282976,2.1033131299559136,2.139056581119445,0.05970495826719402,0.0023686115914218317,3.5,1.0,2.0,3336.44649622772,18333.90024375425,0.5,0.5688184757110819,0.49176314100998575,0.44984308269959333,0.5503538941827076,0.08143705508045883,0.5,0.6319781934620294,11586.625155160873,0.36802180653797056
NGC4389,1,0.87,5.32,3.095,4.45,2.39,73.10000000000001,129.41212209049402,6.583333333333333,12051752833.602997,6,366126910.5563718,32.916872500000004,366126910.5563718,2.1916652385506428,2.267236328228428,2.2294507833895354,0.0,0.0,4.45,1.0,2.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.3690614309703929,0.0,0.0
NGC5907,1,5.03,15.1,10.065,10.07,15.51,226.8,214.54029707471642,4.4,107713758420.55627,5,56853720.71159631,1572.0090704999998,68519807.195703,2.2506525151347017,2.212590988732082,2.2316217519333916,0.038958955188728606,0.0010191936864824387,10.07,1.0,2.0,2720.6968782776007,8050.199409009549,0.4716584957522108,0.43962985409592503,0.5029008697918285,0.5031796259869897,0.5496023950438907,0.11511199745646988,0.44548238669549306,0.5988049918951782,4820.499591866531,0.40119500810482184
NGC5907,2,17.61,25.16,21.384999999999998,7.550000000000001,15.51,228.0,208.05811317104434,4.5,215237634893.0507,4,56853720.71159631,2504.1941925000006,85950856.18267228,2.1788524634195157,2.2064731300698104,2.192662796744663,0.05422813731081444,0.003456544481268682,10.07,1.0,2.0,16110.797698729275,17285.81430191301,0.5540884176705574,0.47324651562014475,0.5060215667424034,0.5235487494451142,0.39048396674147395,0.18876694072929306,0.5553128589711771,0.6374065180768393,11018.090706305204,0.36259348192316065
NGC5907,3,27.68,37.75,32.715,10.07,15.51,217.0,174.22505643645147,2.0,230891421593.72415,5,56853720.71159631,5109.6151755,45187634.22748961,2.1265178520279027,2.1198131025956224,2.1231654773117627,0.048322979404680444,0.00041045392941217723,10.07,1.0,2.0,896.267659201676,6413.089233615179,0.5254556936490493,0.5241672516244954,0.49706507486551593,0.4967794129640791,0.4381200251186203,0.11337750662233036,0.5447573563257171,0.6383730770500191,4093.9435074592707,0.3616269229499809
NGC5907,4,40.26,50.33,45.295,10.07,15.51,215.8,148.05471556378245,3.6,230852402090.8278,5,56853720.71159631,7074.431281499999,32631937.876691043,2.1048872542055097,2.0871464216650946,2.096016837935302,0.027148639376460615,3.447590014663613e-07,10.07,1.0,2.0,0.305426382516524,1839.0301123652991,0.3835116573228835,0.5414822871716755,0.49240533210602916,0.45845765714861325,0.5997514717919781,0.04689696414413893,0.40133772235890725,0.5833171249092692,1072.7377577664965,0.4166828750907308
NGC5985,1,3.54,8.02,5.779999999999999,4.4799999999999995,5.619999999999999,254.42857142857142,171.006515332304,6.155714285714285,39300022435.63424,7,480240442.70134723,145.52652799999996,270054009.91655797,2.233750916951118,2.140173745820656,2.186962331385887,0.008945074490373628,6.333331194497136e-16,4.4799999999999995,1.0,2.0,1.5299131989122247e-09,534.6926465106048,0.30001295047198334,0.4687480690590138,0.4926953361827047,0.4255656758462434,0.5837401144280984,0.02948658913174783,0.21605635784948513,0.49552700282615486,264.95464455858473,0.5044729971738451
NGC5985,2,8.79,12.56,10.675,3.7700000000000014,5.62,298.6666666666667,212.8164177014081,9.28,112413323015.78105,6,480240442.70134723,226.17549500000007,497018136.36256665,2.167949020096726,2.1880854936943,2.1780172568955134,0.020870553389360058,1.9946854586287671e-07,4.4799999999999995,1.0,2.0,2.0690959131775983,1594.5167924490843,0.5,0.4757698750653208,0.5004290957219724,0.46510338979841576,0.4396998902490052,0.11489029312063477,0.49901724040669676,0.6111023981591965,974.4130357707453,0.3888976018408034
NGC5985,3,13.39,17.89,15.64,4.5,5.619999999999999,294.42857142857144,228.5514375976832,6.645714285714286,189952191648.14297,7,480240442.70134723,395.53559999999993,480240442.70134723,2.1234988570616236,2.16694359215271,2.145221224607167,0.02000324131609421,1.9830109745789354e-08,4.4799999999999995,1.0,2.0,0.19049528143115255,4824.334476117789,0.489390365153078,0.5,0.5,0.5,0.4203154535103453,0.07148833346429034,0.5,0.6118317690166373,2951.6810968510986,0.3881682309833627
NGC5985,4,18.72,22.52,20.619999999999997,3.8000000000000007,5.62,290.5,217.7049921384439,4.056666666666667,227229693128.4864,6,480240442.70134723,440.36072000000013,516008087.93410623,2.1111007225926772,2.1649208259339727,2.138010774263325,0.04435251092815107,0.0002853939746932822,4.4799999999999995,1.0,2.0,6531.599097388368,14659.937744257948,0.6800126825111968,0.5050298355482383,0.500896791174533,0.5307422572042316,0.5330356352743341,0.2632658408059358,0.7072770448662247,0.7331871024344567,10748.47727658201,0.26681289756554327
NGC5985,5,23.23,34.72,28.975,11.489999999999998,5.619999999999999,291.85714285714283,203.18735566590126,4.497142857142857,278135514585.28076,7,480240442.70134723,1871.0258549999994,148654019.84799448,2.0563933600596447,2.056639045442085,2.0565162027508648,0.0814945715124602,0.0043313264118864546,4.4799999999999995,1.0,2.0,52471.834980366926,53483.644616135374,0.7961165640214157,0.5555613058261768,0.4848910321396176,0.5620977133177526,0.5,0.33500403346794005,0.8936725464706076,0.8104148164833127,43343.938036444066,0.18958518351668727
UGC01281,1,0.08,0.69,0.38499999999999995,0.61,11.31,7.756,7.517865646476006,4.0,5059289.0791038815,5,9546723.325059151,2.6561534999999994,1904742.733845722,3.5,2.195158531948089,2.847579265974044,0.08368643491270866,0.015711654335529516,2.0,1.0,2.0,2504.455436735594,824584.5620617756,0.38939529835553144,0.5442923279588365,0.47360353903507363,0.4865380715505956,0.7267772263786932,0.0499400935600317,0.19619577506517213,0.5186012313888335,427630.5692694588,0.4813987686111665
UGC01281,2,0.84,1.46,1.15,0.62,11.31,23.259999999999998,15.803338043385162,5.2059999999999995,66778267.22961664,5,9546723.325059151,8.064029999999999,8281004.315412598,3.5,2.3625314017735057,2.931265700886753,0.11197104237345967,0.021246089106140006,2.0,1.0,2.0,19700.068249672233,1206832.5426392453,0.46041020489638385,0.5970928689338021,0.4977776803671505,0.4934290004161377,0.6215018114321436,0.07851546246679907,0.35754984858719485,0.5821184847821034,702519.5311068906,0.4178815152178966
UGC01281,3,1.61,2.22,1.915,0.6100000000000001,11.31,37.14,21.642519103318925,4.880000000000001,208556650.21085298,5,9546723.325059151,13.211776500000003,15785662.905427815,3.129952180956751,2.452067921148333,2.791010051052542,0.13122739498233038,0.10886993444760118,2.0,1.0,2.0,225525.31262789402,1752370.1968804153,0.5,0.5,0.5077023086513479,0.5,0.31790765216812017,0.12692557716283698,0.5,0.6004217490545887,1052161.1786020729,0.39957825094541133
UGC01281,4,2.38,3.07,2.7249999999999996,0.69,11.31,48.379999999999995,25.118562460484434,6.388,399756665.6176082,5,9546723.325059151,21.265627499999997,18798253.924912784,2.898197237586401,2.439424584257783,2.668810910922092,0.18851771137475026,0.4084178601600267,2.0,1.0,2.0,1447352.7679947338,2427467.316211533,0.5895874796101491,0.36712313026608917,0.510322145807659,0.5056033705366503,0.39542886623712215,0.15141731333478328,0.6006535223338054,0.6513480691744697,1581126.1493985138,0.34865193082553025
UGC01281,5,3.46,4.99,4.225,1.5300000000000002,11.31,55.620000000000005,26.65534840303284,4.0,697967314.7328941,5,9546723.325059151,73.1106675,9546723.325059151,2.587673671026395,2.2402755855796883,2.4139746283030417,0.25483628261905045,0.7135012220964791,2.0,1.0,2.0,1735842.5065499244,2495178.0581213124,0.6600887299275392,0.2281625717542008,0.5,0.5060706793426488,0.5,0.10475409610207034,0.6660714594152128,0.6871486135834708,1714558.1432819567,0.3128513864165292
UGC04278,1,0.14,1.25,0.6950000000000001,1.1099999999999999,7.779999999999999,22.345999999999997,17.252937366659097,5.018,48100605.26856269,5,31383623.388630666,6.001880999999999,8014255.075794188,3.5,2.1710323032436505,2.8355161516218255,0.28927692971947927,0.31353504480973726,2.0,1.0,2.0,726880.5543283414,3262656.8830903205,0.7664399756226514,0.7648895087899087,0.4794160913759821,0.5,0.7597826946896901,0.28105379860695057,0.5191869045358929,0.7110074341218515,2319773.2988660466,0.2889925658781484
UGC04278,2,1.52,2.63,2.075,1.1099999999999999,7.779999999999999,42.42,31.76649967257124,4.0,486851454.8092143,5,31383623.388630666,17.919284999999995,27169133.96986623,2.81282017153329,2.2796582722714023,2.546239221902346,0.20456881930033632,0.7976920972711736,2.0,1.0,2.0,4433538.900457814,5420202.54660344,0.6988520225610094,0.30956240496800846,0.49790274551420816,0.5083201588733559,0.6666167291173081,0.14729690926631236,0.5255092203127687,0.6596343702173548,3575351.8932792633,0.3403656297826452
UGC04278,3,2.91,4.01,3.46,1.0999999999999996,7.779999999999999,55.120000000000005,33.98739353469354,6.544,929290429.4012578,5,31383623.388630666,29.610679999999984,31383623.388630666,2.5957813696082113,2.2569756564340944,2.426378513021153,0.08815240450134132,0.43380445274413143,2.0,1.0,2.0,1200138.1791641032,3643966.1021440825,0.5,0.41652445611990074,0.5,0.5018356548667693,0.4003476590068797,0.11710907252409403,0.5,0.6035793837799304,2199422.8144470803,0.3964206162200696
UGC04278,4,4.29,5.4,4.845000000000001,1.1100000000000003,7.779999999999999,75.44,36.39439984531107,4.0,1492115874.9628184,5,31383623.388630666,41.84045100000001,35662040.90302034,2.488061185895786,2.2518076399035407,2.3699344128996636,0.041689639545345214,0.044163617525277636,2.0,1.0,2.0,65659.7120825961,1887911.2799215,0.3210796614566166,0.5577522331429087,0.5018440907411219,0.49071157064819404,0.4284182530157229,0.05154669506010784,0.411198896122659,0.5637751633593326,1064357.4902456705,0.4362248366406673
UGC04278,5,5.68,6.69,6.1850000000000005,1.0100000000000007,7.779999999999999,89.08000000000001,48.335042283998504,10.664,3359723638.347649,5,31383623.388630666,48.600493000000014,69129414.76432447,2.4353695144747296,2.3583696692630003,2.3968695918688647,0.026935178969201168,0.02173487997844676,2.0,1.0,2.0,40470.632522920314,995933.9687278895,0.23404070323620466,0.5,0.5111812599393932,0.4794058228350019,0.5,0.03183226524202253,0.31909878080478965,0.523665786182318,521536.5447195663,0.47633421381768204
UGC05721,1,0.09,0.81,0.45,0.7200000000000001,1.17,42.86,35.85206097057993,5.208,134487032.773804,5,338250959.87158346,0.37908000000000003,354772166.22824734,3.084805548460877,2.69664115968943,2.8907233540751536,0.31775910081633807,0.29240329403584886,2.0,1.0,2.0,32963232.861664787,165441734.68107304,0.5969998711937171,0.5232242920598704,0.5006063081371436,0.5009000161144894,0.745346472213946,0.16537004744331252,0.5,0.6660608490638946,110194262.27227908,0.33393915093610543
UGC05721,2,0.99,1.53,1.26,0.54,1.17,71.3,45.44545181502869,4.57,605049688.1466572,4,338250959.87158346,0.796068,760047744.8492557,2.491053674824551,2.65487483169308,2.5729642532588155,0.3043823451223844,0.7868540481753241,2.0,1.0,2.0,182034840.24932683,220611060.91127223,0.5866105683826582,0.1700791986927028,0.5100976514201407,0.5046730522671246,0.6492068758405428,0.07016174768326543,0.4962673935927577,0.6225820887756144,137348495.10914415,0.37741791122438567
UGC05721,3,1.71,2.67,2.19,0.96,1.17,82.12,40.42297225977421,7.4959999999999996,832032417.0998001,5,338250959.87158346,2.459808,338250959.87158346,2.259677546836042,2.304239780824728,2.281958663830385,0.21450081438426372,0.3618571108811868,2.0,1.0,2.0,26254581.166641317,154564796.30645168,0.5,0.3798108721568659,0.5,0.5,0.4777410260944548,0.09495271803921647,0.5806079831943466,0.6444083722769733,99602848.79916246,0.3555916277230267
UGC05721,4,3.15,4.49,3.8200000000000003,1.3400000000000003,1.17,78.525,32.80303406408797,4.57,955720800.3313518,4,338250959.87158346,5.988996000000002,159579468.8010063,2.1494019204560963,2.1385233285244793,2.143962624490288,0.09490195906784837,0.023479359331012493,2.0,1.0,2.0,355580.90844677895,68703005.42711177,0.30672627141959624,0.5,0.49025048385519077,0.48901369806284767,0.5,0.03777184080269387,0.5092950095623564,0.6063429183109976,41657580.80741126,0.3936570816890024
UGC05721,5,4.93,6.74,5.835,1.8100000000000005,1.17,78.7,31.605710564737638,4.57,1355225681.695731,5,338250959.87158346,12.356779500000004,109674667.39175288,2.0963306536345634,2.0879788377548123,2.092154745694688,0.051807878795600004,0.0003811707447672103,2.0,1.0,2.0,2165.816698238371,25087451.20751485,0.19454069702714957,0.5339108894308445,0.4852398299956652,0.47467201369082945,0.48584641254193595,0.02392791062564371,0.426179697558848,0.5609852433288633,14073689.920148704,0.43901475667113665
UGC05750,1,0.31,4.09,2.1999999999999997,3.78,2.64,25.28,19.55186144552288,7.7,195541322.45660406,5,8696545.294549238,21.95424,8906768.007300826,2.284775178399065,2.3089584332233937,2.2968668058112294,0.1932360320039792,0.3495117860300859,10.905000000000001,1.0,2.0,601547.7084815778,674092.8057488628,0.5,0.4039361579315639,0.5003780094417328,0.5044949610347143,0.5,0.11130976429087476,0.23678038293261264,0.5102981117593027,343988.2859241751,0.4897018882406973
UGC05750,2,4.82,22.85,13.835,18.03,2.64,68.21666666666665,41.681157619043795,9.233333333333333,5588539864.334183,6,8696545.294549238,658.5349320000001,8486322.581797652,2.0383410299197946,2.1689205176947053,2.10363077380725,0.1932360320039792,0.12857820052758073,10.905000000000001,1.0,2.0,210850.67248396366,417818.6489604317,0.5,0.5693974856591916,0.49962141812817906,0.4954227405538611,0.5,0.11907476068035619,0.6282197758590479,0.6827786717294683,285277.6621610045,0.3172213282705318
UGC05986,1,0.63,3.13,1.88,2.5,1.18,65.62,53.532946336351,2.6319999999999997,1252678973.9118457,5,280998407.210728,5.5459999999999985,225870712.93037254,2.202839410538599,2.2753450915742484,2.239092251056424,0.04310607812080125,0.002351526737358146,2.51,1.0,2.0,22895.4063289526,50145.72220430221,0.4449811422185593,0.461847732542442,0.4971776945358666,0.48840668846249735,0.5265999053417545,0.07831622569427167,0.3309151303643549,0.5473959514692032,27449.56531813436,0.45260404853079683
UGC05986,2,3.77,6.28,5.025,2.5100000000000002,1.18,113.0,72.79067351019327,3.068,6190520797.71245,5,280998407.210728,14.883045000000001,415944505.8260893,2.0940801956775545,2.2978921501936913,2.1959861729356227,0.053765618297356266,0.0035019750235899777,2.51,1.0,2.0,78316.4658327307,101937.64763289006,0.5,0.5,0.5049898680457234,0.5042770515714918,0.5,0.13543659267811167,0.5,0.6235388132564856,63562.07983117007,0.37646118674351436
UGC05986,3,6.9,9.41,8.155000000000001,2.51,1.18,111.6,59.828755730292514,4.101999999999999,6787089127.597766,5,280998407.210728,24.153478999999997,280998407.210728,2.065931902232632,2.197190126690791,2.1315610144617114,0.06442515847391128,0.0032834252118284575,2.51,1.0,2.0,59441.05134922817,83825.61009415772,0.5450946362641487,0.5479031073009865,0.5,0.5,0.47023288488032344,0.149329522491114,0.5524070165216587,0.6500264182029034,54488.86108317848,0.34997358179709664
UGC06667,1,0.87,3.5,2.185,2.63,7.93,49.525000000000006,14.461322096856858,3.5,106244653.66260938,4,5283780.848382281,45.5701415,2331453.231555346,2.6416196343184257,2.160575613510352,2.4010976239143886,0.10136600556891029,0.3769300308902104,3.0549999999999997,1.0,2.0,89079.91236576569,121113.69293927072,0.5,0.3980171019020729,0.4894672434910908,0.4984257284136852,0.5,0.09386135417949781,0.37029529284424795,0.5601858791877399,67846.18056085933,0.4398141208122602
UGC06667,2,4.37,7.85,6.109999999999999,3.4799999999999995,7.93,82.53999999999999,31.2656471036617,3.34,1388723225.6972206,5,5283780.848382281,168.614004,8236108.465209216,2.3091584530189575,2.290304783671999,2.2997316183454783,0.10136600556891029,0.13866480912462506,3.0549999999999997,1.0,2.0,115765.89897149563,140415.3543947599,0.5,0.5724345548100706,0.5101069407260398,0.5015644202966266,0.5,0.150694070982592,0.5853984061241492,0.665962619186353,93511.37718671428,0.33403738081364703
UGC06917,1,1.74,5.24,3.49,3.5,1.95,81.17999999999999,61.92095464486067,3.9799999999999995,3111289038.4167104,5,130149362.79198126,23.819250000000004,130620781.02445333,2.163882616002409,2.2568794830458025,2.2103810495241056,0.07270884445441439,0.018624639235172172,3.93,1.0,2.0,176883.5263948763,195929.83160592447,0.5,0.47047199838403736,0.5000484607286599,0.5053676510265961,0.5,0.12935490035379174,0.4583807139180815,0.6032861444081263,118201.75268407163,0.3967138555918736
UGC06917,2,6.11,10.47,8.290000000000001,4.36,1.95,105.0,68.8610731755489,4.316666666666666,9139906423.706614,6,130149362.79198126,70.48158000000001,129677944.5595092,2.0795574852306355,2.1957869249087474,2.1376722050696912,0.07270884445441439,0.006851621873854858,3.93,1.0,2.0,64602.116692345175,116751.76445957547,0.5,0.5264088047040548,0.4999515298757499,0.4945145735538234,0.5,0.11093849648444123,0.535679469832996,0.6400669995514181,74728.95156997436,0.3599330004485819
UGC07089,1,0.87,3.5,2.185,2.63,9.19,37.974999999999994,36.64117958084035,4.3,682071619.6687983,4,33142347.834162552,52.8107945,12915382.662322914,2.6921941923766677,2.1445733329575205,2.4183837626670943,0.09966522139637402,0.4409146814590795,2.1799999999999997,1.0,2.0,567551.7590939109,623329.859134154,0.5641900035711357,0.31044865951811274,0.4860138661324675,0.5096073407656851,0.577982483907885,0.10295348895685119,0.5,0.6233416059600559,388547.43543553905,0.376658394039944
UGC07089,2,4.37,6.55,5.46,2.1799999999999997,9.19,66.22500000000001,53.57789334738961,4.875,3644211336.501261,4,33142347.834162552,109.38673199999997,33314930.155343357,2.4150479270639633,2.2223891554774773,2.3187185412707203,0.07698665255659609,0.09492076075032813,2.1799999999999997,1.0,2.0,243453.23729756914,376901.9019846911,0.5,0.5,0.5000749728352109,0.5,0.5,0.1250187432088027,0.5514020790310177,0.644850015466263,243045.19732409198,0.35514998453373703
UGC07089,3,6.98,9.16,8.07,2.1799999999999997,9.19,75.175,53.43893757923338,6.3999999999999995,5358322029.581978,4,33142347.834162552,161.675994,33142347.834162552,2.331058929294614,2.19776198581319,2.264410457553902,0.05430808371681817,0.013062368717043969,2.1799999999999997,1.0,2.0,23510.92350144042,135199.8316514482,0.4136348893966662,0.5651377567205386,0.5,0.4792079278200198,0.3866649082031195,0.06630337377859781,0.4750819075114404,0.5938234130794051,80284.82547902396,0.40617658692059494
UGC08490,1,0.34,2.03,1.1849999999999998,1.6899999999999997,1.45,60.900000000000006,42.857470245607225,3.69,506070544.5326532,6,141319636.07975358,2.903842499999999,174276168.39847663,2.403663277385318,2.4597749938886704,2.4317191356369943,0.17682439803229766,0.6796680947260492,2.0,1.0,2.0,20944841.341156054,22250266.697234184,0.7483369568112065,0.17418402378521283,0.5027769216494795,0.5263172204252845,0.5039558520904168,0.09991547041672955,0.4462162776662748,0.6003804198681182,13358624.461863067,0.3996195801318818
UGC08490,2,2.37,4.06,3.215,1.6899999999999995,1.45,78.14999999999999,44.92403110569881,3.69,1508613748.0385149,6,141319636.07975358,7.8783574999999955,191488358.8411056,2.1839852888556264,2.325804186353767,2.2548947376046966,0.12772122262289143,0.14674417922619765,2.0,1.0,2.0,3588941.0732246027,11192604.340059834,0.6823202002206618,0.4308947800068316,0.5040146390151491,0.5159707056176999,0.5,0.22315844336849205,0.6765480972727105,0.7107631182703628,7955290.362307323,0.28923688172963724
UGC08490,3,4.39,6.09,5.24,1.7000000000000002,1.45,79.31666666666666,38.707034034772285,3.69,1825369211.387745,6,141319636.07975358,12.916599999999999,141319636.07975358,2.128177456293837,2.2243759244885855,2.1762766903912114,0.059465412891617,0.0043226250745294235,2.0,1.0,2.0,36325.74395604292,4097921.7013972206,0.5,0.5,0.5,0.5,0.5000890724311363,0.125,0.6395009170471427,0.6820823569779756,2795120.092800212,0.3179176430220244
UGC08490,4,6.42,8.12,7.27,1.6999999999999993,1.45,79.8,34.32792483425858,3.69,1991907456.4012516,6,141319636.07975358,17.920549999999988,111152138.54492484,2.101452208786856,2.1704756148560693,2.1359639118214626,0.031480328243019606,9.502811227765349e-06,2.0,1.0,2.0,33.251341943320924,1485125.6920857506,0.3461440618359022,0.5293073265879347,0.4967805658235225,0.4827601308527945,0.4310614564220079,0.04402331309271572,0.5,0.6001582368266043,891310.4168280745,0.39984176317339576
UGC08490,5,8.46,10.15,9.305,1.6899999999999995,1.45,77.61666666666667,31.63884744527787,3.69,2165695188.373645,6,141319636.07975358,22.801902499999994,94978705.76254089,2.085533996417268,2.1410980713930763,2.113316033905172,0.022647877916290415,3.8456449181962825e-08,2.0,1.0,2.0,0.08272236542142222,536869.3789475574,0.2758125717951308,0.5443130712756851,0.4946497366733959,0.46424147879195893,0.3327354050879074,0.034475190532207996,0.3900652189142346,0.5370632438327115,288332.81017202843,0.46293675616728847
UGC08837,1,0.52,2.09,1.305,1.5699999999999998,0.93,17.752499999999998,19.17745861076016,2.07,111591795.45525987,4,115412041.66949572,1.9054304999999996,58565135.51937995,2.27388953808764,2.224544362866248,2.249216950476944,0.01627559377506227,2.0330986729726434e-07,2.0,1.0,2.0,0.1937913781244377,0.26680466982573003,0.5,0.4920171329349712,0.4925720352912235,0.49573006348972665,0.5,0.11944165244934553,0.4503292928861159,0.6007303874575389,0.16027767267989154,0.39926961254246107
UGC08837,2,2.63,4.2,3.415,1.5700000000000003,0.93,43.225,32.88988635846468,3.0075,858924714.3644816,4,115412041.66949572,4.986241500000001,172258947.8196115,2.125746028086978,2.340136685316785,2.2329413567018817,0.01627559377506227,7.47935203659577e-08,2.0,1.0,2.0,0.2096923596706629,0.27716905001082404,0.5,0.5077358500157848,0.5072136342269377,0.5041982317776889,0.5,0.13054997932803483,0.5414377397713147,0.6419094421826399,0.1779174302827403,0.35809055781736004
UGC12506,1,0.82,9.02,4.92,8.2,1.68,181.83333333333334,109.39646172839652,17.9,13690247488.640131,6,399782756.29640204,67.77792,201986834.18789086,2.0774714484216106,2.135005212645065,2.106238330533338,0.014775209953330037,2.6667588234231397e-12,8.200000000000001,1.0,2.0,7.958669386921046e-06,1.1151409824968341,0.42041006471047565,0.49064071792131875,0.4912314894913573,0.38879133787884435,0.5803252798461801,0.03946210343844008,0.16297791802712802,0.4865999869577554,0.5426275875390181,0.5134000130422446
UGC12506,2,10.65,18.85,14.75,8.200000000000001,1.68,240.0,177.94576202553347,11.6,108594283485.8216,6,399782756.29640204,203.19600000000003,534431206.7453177,2.034720589966421,2.2073064910069147,2.121013540486668,0.02502180792201658,2.6428281072878414e-07,8.200000000000001,1.0,2.0,3.5341047088049335,3.6978620876921013,0.5512461002668075,0.48108731493660956,0.5036373288662472,0.5677913606635387,0.5,0.2089481413545941,0.5214617960850866,0.6395760283631946,2.3650639474809454,0.3604239716368054
