TrackName,Imp,On,Name,TrackRefs,TrackRefsLatex,Notes,from-Members,width_phi2,width_phi2_Ref,width_pm_phi1_cosphi2,width_pm_phi1_cosphi2_Ref,width_pm_phi2,width_pm_phi2_Ref,total_v_sigma,total_v_sigma_Ref,Lv_stream,L_Ref,width_comment,length,ra_o,dec_o,distance_o,ra_f,dec_f,distance_f,ra_mid,dec_mid,distance_mid,ra_pole,dec_pole,InfoFlags,has_empirical_track,has_D,has_pm,has_vrad,DiscoveryRefs,ID,InfoFlags_raw,InfoFlags_str,has_empirical_track_from_flag,has_D_from_flag,has_pm_from_flag,has_vrad_from_flag
Kwando-G17,st,False,Kwando,grillmair2017,Grillmair2017_south,-,0,0.2,Riley2020,-9.0,-----------,-9.0,------------,-9.0,-----------,0.0,--------,apparent,12.518292589676664,18.98590716237328,-23.921984767104007,20.0,30.989651911292363,-29.35089430991618,19.999999999999964,25.57646504858712,-25.377553401287532,19.99999999999997,73.25667981893353,54.81882503598332,1000,1,0,0,0,Grillmair2017_south,,1000,1000,1,0,0,0
Kwando-I21,st,True,Kwando,ibata2021,Ibata2021,-,1,0.97,from-Members,0.31,from-Members,0.3,from-Members,-1.0,from-Members,0.0,--------,apparent,20.6207999488436,14.859317570138163,-14.03524591426475,8.236840507616984,29.339740711581392,-29.566282221815293,6.989647955659185,22.413956101225327,-21.331287069176103,7.745175614724342,93.18996284425218,40.06095965891958,1110,1,1,1,0,Grillmair2017_south,54,1110,1110,1,1,1,0
Kwando-I24,st,False,Kwando,ibata2024,Ibata2024,-,1,3.94,from-Members,0.07,from-Members,0.08,from-Members,-1.0,from-Members,0.0,--------,apparent,63.78048173178826,18.041130991882675,19.160661852065733,1.000000000000001,32.38891423376093,-43.12962121739724,0.9999999999999994,24.72689581439492,-11.975754790099929,1.0000000000000004,111.8995213146025,13.961356093007726,1111,1,1,1,1,Grillmair2017_south,,1111,1111,1,1,1,1
LMS-1-I24,st,False,LMS-1,ibata2024,Ibata2024,-,1,1.37,from-Members,0.58,from-Members,0.41,from-Members,-1.0,from-Members,0.0,--------,apparent,66.25996113505421,201.46983359012685,18.43983853640571,1.0,270.27142820216613,19.24239625419653,0.9999999999999984,236.31556787242803,28.404437671530246,1.0000000000000009,41.985382544702425,60.84290749519865,1111,1,1,1,1,Yuan2020,,1111,1111,1,1,1,1
LMS1-M21,st,False,LMS-1,malhan2021,Malhan2021,-,1,1.7,from-Members,0.19,from-Members,0.26,from-Members,-1.0,from-Members,0.0,--------,apparent,49.60423114441925,195.23773295552488,13.391102838275552,19.00000000000008,245.21687933345007,31.38488320780606,19.0,217.48352104333657,26.57387009450404,18.999999999999996,81.18955350863916,55.32109141194873,1011,1,0,1,1,Yuan2020,,1011,1011,1,0,1,1
LMS1-Y20,st,True,LMS-1,yuan2020,Yuan2020,-,1,8.66,from-Members,0.57,from-Members,0.81,from-Members,-1.0,from-Members,0.0,--------,apparent,179.23328758506904,145.22568560265316,-0.0672377697157783,16.19825733879479,315.89719699862803,-5.631750884122876,16.209787796706728,231.9475259385745,27.78408429160549,18.143220901659365,79.82233281938781,59.264128089595545,1111,1,1,1,1,Yuan2020,55,1111,1111,1,1,1,1
Leiptr-I21,st,True,Leiptr,ibata2021,Ibata2021,-,1,0.5,from-Members,1.66,from-Members,0.55,from-Members,-1.0,from-Members,0.0,--------,apparent,70.37005552701694,57.88629777859073,3.44213110415857,8.902443635598416,115.75182651137948,-44.47076414287865,6.017408242735117,82.56817058673072,-22.156808916171883,7.074944576182244,152.1284643789294,40.61385277371601,1111,1,1,1,1,Ibata2019,56,1111,1111,1,1,1,1
Leiptr-I24,st,False,Leiptr,ibata2024,Ibata2024,-,1,0.62,from-Members,0.82,from-Members,0.42,from-Members,-1.0,from-Members,0.0,--------,apparent,72.24509433864114,58.799313733554925,1.5457263439320588,1.000000000000003,120.44115997222308,-46.54540218777028,0.9999999999999998,84.86007978096085,-24.239786504243064,0.9999999999999998,152.7030327115297,39.948218970044216,1111,1,1,1,1,Ibata2019,,1111,1111,1,1,1,1
Lethe-G09,ep,True,Lethe,grillmair2009,Grillmair2009,-,0,0.2,Riley2020,-9.0,-----------,-9.0,------------,-9.0,-----------,0.0,--------,apparent,81.23032801463268,171.0,18.0,13.0,258.0,20.0,13.0,214.17321565663357,25.392841044476352,13.0,37.91848801706455,64.55967256976363,0,0,0,0,0,Grillmair2009,57,0,0000,0,0,0,0
M2-G22,st,False,M2,grillmair2022,"Grillmair2022,Baumgardt2021",GC,1,0.82,from-Members,0.19,from-Members,0.18,from-Members,-1.0,from-Members,0.0,--------,apparent,73.31939523484125,281.1263540458077,-16.181344696856325,11.693000000000003,347.4174729443269,-9.717064732089788,11.69299999999999,311.8346272310595,-4.783926018993506,11.692999999999987,235.4125469918404,70.68404063157178,1010,1,0,1,0,Grillmair1995,,1010,1010,1,0,1,0
