galaxy,source_file,beta_mode,beta,a_newton_source,rmse_kmps,mean_absolute_fractional_error,chi2,n_points,status
NGC0100,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0100_normalized.csv,structural,572.6412977099235,computed_from_baryonic_velocity,233.6568251422356,7.88167763339026,44342.61476492408,21,ok
NGC0247,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0247_normalized.csv,structural,449.4103549864976,computed_from_baryonic_velocity,103.93986367444921,1.3061248263103065,147840.78635615343,26,ok
NGC0289,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0289_normalized.csv,structural,465.23016957284534,computed_from_baryonic_velocity,137.55307392212052,0.7588339057204718,12845.988182138182,28,ok
NGC0300,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0300_normalized.csv,structural,412.2658018867924,computed_from_baryonic_velocity,82.30499127321049,0.9999999705015702,12407.14182299248,25,ok
NGC0801,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0801_normalized.csv,structural,3441.5983909348447,computed_from_baryonic_velocity,210.08514336070047,0.9999999807813774,32885.25906010019,13,ok
NGC0891,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0891_normalized.csv,structural,7672.427715856535,computed_from_baryonic_velocity,219.63960089527066,0.9999999867182727,78385.71259955323,18,ok
NGC1003,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC1003_normalized.csv,structural,194.6186893538341,computed_from_baryonic_velocity,88.8580074836462,0.8950614687218573,49910.035822899765,36,ok
NGC1090,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC1090_normalized.csv,structural,1645.2062744877437,computed_from_baryonic_velocity,548.9496210131872,6.247516983506547,140309.0855085624,24,ok
NGC1705,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC1705_normalized.csv,structural,322.24443263991054,computed_from_baryonic_velocity,69.90562346542372,0.9999999764742297,3468.434954718099,14,ok
NGC2366,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2366_normalized.csv,structural,273.39292671882924,computed_from_baryonic_velocity,147.1236162498355,8.068649403353927,136836.70753126836,26,ok
NGC2403,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2403_normalized.csv,structural,2903.4940633245387,computed_from_baryonic_velocity,1336.3802806663793,9.992763736027012,48931629.652290225,73,ok
NGC2683,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2683_normalized.csv,structural,1302.1040439052572,computed_from_baryonic_velocity,178.9545357898429,0.9999999760832371,7184.054470725932,11,ok
NGC2841,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2841_normalized.csv,structural,5366.0651961550775,computed_from_baryonic_velocity,301.8852387729723,0.9999999850305487,150480.1027085132,50,ok
NGC2903,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2903_normalized.csv,structural,4686.78359837963,computed_from_baryonic_velocity,872.3496916129717,1.9800250802864194,986080.7365157747,34,ok
NGC2915,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2915_normalized.csv,structural,156.23544051830063,computed_from_baryonic_velocity,76.21049791793506,0.9999999707437758,3480.578984080053,30,ok
NGC2955,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2955_normalized.csv,structural,11234.73445360696,computed_from_baryonic_velocity,253.2879586800528,0.9999999873325575,32420.609589123174,24,ok
NGC2976,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2976_normalized.csv,structural,2782.7392511013213,computed_from_baryonic_velocity,2077.6212799208715,65.01914451318808,12154518.10772256,27,ok
