r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_total,struct_to_bar_ratio,sigma_flip_severity
0.7,59.5,6.7,43.996096213242936,61.13488774832256,5339.249285714286,-1701.4952480469742,-1934.7891458363722,-1320.4986818078019,106.19937203902049,2.3589290776494254,0.5835716310597702,0.48987027713437836,0.7890617135232932,-189331.84711423318,-2574.025739992958,2765.2235457213283,0.48209506660047324,34.00755459839502
0.87,59.1,5.1,47.260607563348024,66.16646053704248,5032.184482758621,-2011.9936054421767,-1764.113968347194,-1269.8712282215922,104.14735375248716,2.3700347404002207,0.5880138961600883,0.49310101538915513,0.7880429989108199,-155074.67187927515,-2464.8683594749564,2567.3161232836646,0.48982074642138845,50.62745358620964
1.05,62.6,5.5,49.48547879987114,69.76248347070222,4635.051523809524,-2051.380489380603,-1628.1294338817077,-1195.6211149826893,99.12375287470522,2.379862518072084,0.5919450072288337,0.4959600052573336,0.7893404280272116,-114609.34497410269,-2302.84903614048,2332.202487669044,0.4968335355736846,74.25011323890294
1.22,65.6,4.8,51.51871108153859,72.54878083055566,4314.20131147541,-1523.810476190476,-1364.648033251905,-1052.2950873137618,91.52228012443318,2.3721529205389067,0.5888611682155627,0.493717213247682,0.7920625741214612,-78976.72837379052,-2138.64590860406,2175.55540287135,0.495722325918228,143.3260276689275
1.4,70.7,4.6,54.06198089312761,75.77865794536085,4101.717857142858,-851.9673503483069,-936.159865317852,-784.2369713121814,80.54338632982294,2.34280381585089,0.5771215263403561,0.4851792918838953,0.7966475581025857,-47840.5238342713,-2014.076587079361,2087.6412700634964,0.49103245450488164,268.0581160015804
1.57,73.9,4.0,57.3189399164515,79.40491168687237,4016.0127388535025,-384.08824489796245,-424.2986354689423,-440.121696135932,69.42579803290784,2.326736354476089,0.5706945417904355,0.48050512130213496,0.8014044614599721,-23583.0117497921,-1923.3625011810332,2092.6502376724693,0.478923406435737,344.1152751762494
1.75,78.5,4.2,60.34173140056873,83.32317924803397,3967.2869714285707,130.44723422808866,-67.48348668564094,-171.6417889062819,62.89506966208784,2.3010006613701086,0.5604002645480435,0.47301837421675896,0.8039778382213683,-9799.254224350087,-1886.644372332352,2080.642599096219,0.4755502654381956,268.47990722965005
1.92,82.4,4.6,64.37125140870322,88.30857829225879,4061.6692708333335,507.92565986394544,-33.26187278701916,-115.73377808186606,62.488078140148815,2.3071520153793155,0.5628608061517262,0.47480785901943723,0.8026982367401856,-6074.714073890231,-1903.5140583737107,2158.155212459623,0.4686531402354102,55.90801082441584
2.1,87.1,4.9,67.59052236441313,93.2985959165517,4145.060952380952,260.26526772603046,-248.5662390938177,-264.53779172527624,65.79858479296396,2.3431756381032933,0.5772702552413174,0.4852874583573218,0.7993776514945654,-9523.051953027745,-1969.594898336079,2175.4660540448726,0.4751666913859807,148.80401364341017
2.27,89.6,5.4,69.90348602985468,97.09155473057375,4152.762114537444,-680.859280855198,-533.5559535733706,-505.10077769979,74.21565655719387,2.3902972198098946,0.5961188879239578,0.49899555485378755,0.7928947161977945,-16591.961735993104,-2000.120106111855,2152.642008425589,0.48163608965466553,240.56298597451377
2.45,94.9,5.7,68.92633790980743,97.83436257266666,3906.7602040816323,-1460.6100764319551,-823.1226354692366,-729.6310332806509,83.85717393092952,2.415124547236296,0.6060498188945184,0.5062180501051042,0.7858836237764899,-23886.304213936804,-1967.6418132012416,1939.1183908803907,0.5036505212542929,224.53025558086085
2.62,98.1,5.0,67.85371472599911,97.67731210470527,3641.5485877862598,-1294.5013381696758,-1055.076049460638,-879.4314612796936,89.88745273982664,2.452107177382093,0.6208428709528372,0.5169766334202452,0.7806154445233668,-28650.200703422135,-1884.248357970508,1757.3002298157517,0.5174305141198088,149.80042799904277
2.79,99.3,5.7,68.12744063449217,98.34580316414117,3466.6297491039427,-939.9077496153843,-1122.6489071954231,-932.0383642928738,92.21443286362981,2.4687756354759793,0.6275102541903917,0.521825639411194,0.7776754941352775,-29926.39361516409,-1803.0640977038513,1663.5656514000914,0.5201201824826862,52.60690301318016
