_Glon,_Glat,_RAJ2000,_DEJ2000,_RAB1950,_DEB1950,_Elon2000,_Elat2000,recno,Name,Band,RAJ2000,DEJ2000,PA,h,e_h,z0,e_z0,S0,e_S0,gradz0,mag,B/T,Type,RV,AName,NED,preferred_name,catalog_name_normalized,z0_over_h,h_over_z0,thickness_flag
103.26741896,-56.77934231,002.20289500,+04.45611389,001.56149225,+04.17791982,003.79399455,+03.21256993,117,EON_2.203_4.456,r,2.202895,4.456114,124.31,4.84,0.06,1.86,0.23,21.63,0.24,-0.091,16.59,0.07,SC,,PGC090455,NED,PGC90455,PGC90455,0.3842975206611571,2.6021505376344085,thick_like
108.16126978,-46.00738285,002.26288000,+15.64520111,001.61955121,+15.36703483,008.40415207,+13.43264270,120,EON_2.263_15.645,r,2.26288,15.645201,75.82,4.88,0.23,0.85,0.12,22.43,0.17,-0.012,17.49,0.05,SD,15578.0,SDSSJ000903.08+153842.7,NED,SDSSJ000903.08+153842.7,,0.17418032786885246,5.741176470588235,intermediate
101.16612124,-60.48060042,002.33144889,+00.59924000,001.69065802,+00.32106089,002.37744867,-00.37731129,123,EON_2.331_0.599,r,2.331449,0.59924,38.52,5.5,0.11,1.71,0.18,21.38,0.2,0.071,15.68,0.19,SB,17989.0,UGC00083,NED,UGC00083,UGC00083,0.3109090909090909,3.216374269005848,thick_like
101.16188313,-60.54491303,002.35070806,+00.53784306,001.70992703,+00.25966715,002.37071771,-00.44130473,126,EON_2.351_0.538,r,2.350708,0.537843,173.46,3.9,0.33,0.87,0.1,21.69,0.25,-0.015,17.58,0.08,SD,23895.0,SDSSJ000924.18+003216.2,NED,SDSSJ000924.18+003216.2,,0.2230769230769231,4.482758620689655,thick_like
099.51718213,-62.69675656,002.35192806,-01.75141306,001.71154135,-02.02959245,001.46127099,-02.54231760,129,EON_2.352_-1.751,r,2.351928,-1.751413,43.73,8.45,0.14,1.41,0.13,22.49,0.13,-0.084,15.99,0.09,SB,21518.0,PGC090457,NED,PGC90457,PGC90457,0.1668639053254438,5.99290780141844,intermediate
111.99413013,-33.43822969,002.47484111,+28.54975306,001.82847425,+28.27164348,014.37435804,+25.04923407,132,EON_2.475_28.550,r,2.474841,28.549753,43.47,7.98,0.88,1.78,0.2,22.33,0.13,-0.1,15.44,0.3,SB,,PGC090459,NED,PGC90459,PGC90459,0.22305764411027568,4.48314606741573,thick_like
112.23252109,-33.03025845,002.60945389,+28.98824694,001.96262404,+28.71016331,014.70443909,+25.39132873,135,EON_2.609_28.988,r,2.609454,28.988247,7.35,14.16,0.54,3.2,0.24,22.51,0.16,-0.155,14.77,0.11,SB,7842.0,UGC00095,NED,UGC00095,UGC00095,0.22598870056497175,4.425,thick_like
108.51977794,-46.65628853,002.66902500,+15.07164000,002.02527275,+14.79354660,008.53098445,+12.74920128,138,EON_2.669_15.072,r,2.669025,15.07164,37.22,6.32,0.7,1.01,0.09,22.16,0.32,0.04,16.95,0.08,SD,,2MASXJ00104055+1504181,NED,2MASXJ00104055+1504181,,0.15981012658227847,6.257425742574258,intermediate
100.84724152,-62.00803087,002.69438611,-00.89235194,002.05388184,-01.17046601,002.11753137,-01.89026702,141,EON_2.694_-0.892,r,2.694386,-0.892352,61.28,13.82,0.69,1.01,0.12,23.32,0.2,-0.211,16.89,0.05,SD,11496.0,PGC090460,NED,PGC90460,PGC90460,0.07308248914616498,13.683168316831683,thin_like
113.44414173,-28.22474429,002.78143306,+33.90324000,002.13274127,+33.62519800,017.33927497,+29.71878492,144,EON_2.781_33.903,r,2.781433,33.90324,109.14,5.74,0.1,1.58,0.15,21.38,0.2,0.079,15.89,0.11,SB,,PGC090461,NED,PGC90461,PGC90461,0.27526132404181186,3.632911392405063,thick_like
102.80412287,-60.21870509,003.01638611,+01.10534694,002.37545399,+00.82730528,003.20703274,-00.18499938,147,EON_3.016_1.105,r,3.016386,1.105347,12.29,3.56,0.09,1.09,0.11,21.95,0.25,-0.034,17.35,0.06,SD,25757.0,PGC1184724,NED,PGC1184724,PGC1184724,0.3061797752808989,3.2660550458715596,thick_like
102.79340821,-60.82873643,003.19828111,+00.52303500,002.55747643,+00.24503536,003.14264353,-00.79164623,150,EON_3.198_0.523,r,3.198281,0.523035,166.81,5.2,0.57,1.26,0.13,22.39,0.25,0.053,17.37,0.06,SC,14012.0,PGC1168181,NED,PGC1168181,PGC1168181,0.2423076923076923,4.126984126984127,thick_like
106.12685657,-55.65746144,003.42070806,+05.97755694,002.77845840,+05.69962241,005.51572955,+04.12544418,153,EON_3.421_5.978,r,3.420708,5.977557,55.09,8.8,0.16,1.69,0.19,22.48,0.2,-0.133,15.8,0.06,SB,,,NED,NED,,0.19204545454545452,5.207100591715977,intermediate
093.81177956,-70.69716998,003.45880194,-09.98213306,002.82081244,-10.26008288,359.15865731,-10.52545006,156,EON_3.459_-9.982,r,3.458802,-9.982133,16.47,3.14,0.05,0.78,0.15,22.24,0.28,-0.125,18.02,0.05,SD,,,NED,NED,,0.2484076433121019,4.0256410256410255,thick_like
104.33208659,-59.59406160,003.56418806,+01.92826806,002.92298567,+01.65036557,004.03641006,+00.35278355,159,EON_3.564_1.928,r,3.564188,1.928268,126.44,8.41,0.27,2.06,0.23,22.6,0.13,-0.108,15.95,0.18,SB,,PGC090466,NED,PGC90466,PGC90466,0.24494649227110582,4.08252427184466,thick_like
107.02478873,-54.42487536,003.60882500,+07.30005194,002.96610922,+07.02217043,006.21632133,+05.26403190,162,EON_3.609_7.300,r,3.608825,7.300052,107.13,5.79,0.28,1.02,0.11,22.17,0.19,0.032,16.78,0.05,SD,,PGC090467,NED,PGC90467,PGC90467,0.1761658031088083,5.676470588235294,intermediate
103.34955810,-61.34274889,003.61001500,+00.11439000,002.96931151,-00.16350270,003.35825511,-01.33019751,165,EON_3.610_0.114,r,3.610015,0.11439,169.96,4.7,0.43,0.66,0.1,21.62,0.3,-0.075,17.53,0.06,SD,16649.0,PGC1157455,NED,PGC1157455,PGC1157455,0.14042553191489363,7.121212121212121,intermediate
110.89684173,-43.42893583,003.66685389,+18.58187694,003.02072901,+18.30402959,010.91267105,+15.56020240,168,EON_3.667_18.582,r,3.666854,18.581877,125.82,15.68,0.33,6.99,1.13,20.62,0.21,0.215,12.78,0.14,SC,5408.0,NGC0052,NED,NGC00052,NGC00052,0.4457908163265306,2.2432045779685263,thick_like
096.22232302,-69.77380308,003.81245694,-08.80108111,003.17441474,-09.07892969,359.96654006,-09.58531249,171,EON_3.812_-8.801,r,3.812457,-8.801081,184.83,6.86,0.09,2.63,0.16,22.12,0.12,0.073,16.25,0.06,SC,5493.0,PGC999009,NED,PGC999009,PGC999009,0.3833819241982507,2.608365019011407,thick_like
110.59654389,-46.01569636,003.98084806,+16.00370611,003.33509121,+15.72594783,010.10476624,+13.08549518,174,EON_3.981_16.004,r,3.980848,16.003706,57.34,8.97,0.11,2.0,0.18,22.28,0.15,0.07,15.88,0.07,SD,8362.0,PGC090468,NED,PGC90468,PGC90468,0.22296544035674468,4.485,thick_like
110.28851753,-47.38830194,004.05022389,+14.61655694,003.40484173,+14.33881819,009.59014866,+11.79084197,177,EON_4.050_14.617,r,4.050224,14.616557,49.51,4.1,0.5,0.83,0.06,21.77,0.31,-0.052,17.53,0.07,SD,25868.0,SDSSJ001612.05+143659.7,NED,SDSSJ001612.05+143659.7,,0.20243902439024392,4.9397590361445785,thick_like
107.71600163,-55.07287410,004.15605611,+06.76706611,003.51318359,+06.48934882,006.50323825,+04.55881810,180,EON_4.156_6.767,r,4.156056,6.767066,30.83,5.49,0.11,1.41,0.12,22.01,0.15,-0.139,16.66,0.06,SD,,PGC1307089,NED,PGC1307089,PGC1307089,0.2568306010928961,3.893617021276596,thick_like
