galaxy,source_file,beta_mode,beta_raw,beta_formula,beta,beta_clipped,beta_hit_lower,beta_hit_upper,beta_saturation_ratio,beta_z,beta_numerator,beta_denominator,beta_g_choice,beta_sigma_choice,gbar_char_median,gbar_char_logmean,sigma_char_mean,sigma_char_median,sigma_char_rms,n_sigma_positive,use_dimension_proxy,d_eff_proxy,d_eff_ratio,d_eff_g_hat,d_eff_sigma_hat,d_eff_signed_delta,d_eff_response,formula_g0,formula_sigma0,formula_p,formula_q,formula_lambda_beta,formula_d_ref,formula_dim_sensitivity,formula_dim_g_power,formula_dim_sigma_power,formula_d_min,formula_d_max,formula_dim_response_lambda,formula_dim_transition,formula_dim_response_min,formula_dim_response_max,use_cinfo_ceiling,c_info_kmps,cinfo_quantile,cinfo_margin,sigma_soft_power,sigma_floor_fraction,sigma_weight_mode,sigma_weight_value,sigma_weight_u,sigma_weight_v,sigma_weight_lambda,sigma_weight_g_choice,sigma_weight_sigma_choice,structural_mode,sigma_proxy_mode,sigma_damping_mode,sigma_positive_only,D_bg,upsilon_disk,upsilon_bul,rmse_kmps,mae_kmps,mean_absolute_fractional_error,median_absolute_fractional_error,chi_square,reduced_chi_square,n_points_total,n_points_valid,detail_table,plot_path,status,error
NGC2403,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2403_normalized.csv,formula,,29957.648207037335,21688.391710750104,21688.391710750104,False,False,,29957.648207037335,,,gbar_char_logmean,sigma_char_rms,2903.4940633245387,1627.839132371277,0.5405311111773551,0.17352505063759832,0.7701686671088848,45,True,3.55561318240216,0.5034411328887711,2.901358401681839,1.4606631606590594,-0.5556131824021602,0.723968435735062,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,30.15323346680552,22.585526265244273,0.21080631284213255,0.11532094453577564,81221.05342283877,1128.0701864283162,73,73,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\NGC2403_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\NGC2403_rotation_curve.png,ok,
NGC2683,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2683_normalized.csv,formula,,17192.239598509605,10897.116970252595,10897.116970252595,False,False,,17192.239598509605,,,gbar_char_logmean,sigma_char_rms,1302.1040439052572,1621.6863857390554,0.37862394875537136,0.3318407592899799,0.46092402358568696,9,True,3.8849981425495272,0.3024383137044202,2.8903921318706374,0.8741653223074798,-0.8849981425495272,0.6338392917230671,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,15.929552276612322,13.835815840253202,0.07888721152927382,0.09560419587380922,41.98887959357386,4.1988879593573865,11,11,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\NGC2683_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\NGC2683_rotation_curve.png,ok,
NGC2841,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2841_normalized.csv,formula,,60963.85862315547,38349.39859852448,38349.39859852448,False,False,,60963.85862315547,,,gbar_char_logmean,sigma_char_rms,5366.0651961550775,2991.9490590728083,0.6407082625153864,0.37700911985542185,0.8120869910180712,49,True,3.9101410445988085,0.2888169602954683,5.332662403378732,1.5401633456257717,-0.9101410445988085,0.6290513669021354,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,20.036304801183153,18.75102767690905,0.061963858409833344,0.05778570886757309,739.6674279230965,15.095253631083603,50,50,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\NGC2841_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\NGC2841_rotation_curve.png,ok,
NGC2903,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2903_normalized.csv,formula,,126014.27241324855,74493.46148643395,74493.46148643395,False,False,,126014.27241324855,,,gbar_char_logmean,sigma_char_rms,4686.78359837963,5772.488506353423,0.6018087113822022,0.5240021837604898,0.8276934794512066,16,True,4.181578700174914,0.15257409103594724,10.288521570386024,1.5697618267053841,-1.1815787001749136,0.5911509867877638,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,60.346570642808395,46.19355424300135,0.30814279148985296,0.18671835868969217,6118.959225069203,185.42300682027889,34,34,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\NGC2903_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\NGC2903_rotation_curve.png,ok,
NGC2915,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2915_normalized.csv,formula,,10568.457232974702,18880.54565073021,18880.54565073021,False,False,,10568.457232974702,,,gbar_char_logmean,sigma_char_rms,156.23544051830063,240.3151449459124,1.8871416740362552,2.14376335050724,1.9770456280400464,27,True,1.7363949062993909,8.754067386530998,0.4283226462460945,3.74956530841559,1.2636050937006091,1.7864996975926548,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,109.46647502130881,104.01006557738609,1.3609091127313337,1.4751005475549,7553.9440145564,260.4808280881517,30,30,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\NGC2915_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\NGC2915_rotation_curve.png,ok,
NGC2955,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2955_normalized.csv,formula,,73422.15390742633,42005.55725531098,42005.55725531098,False,False,,73422.15390742633,,,gbar_char_logmean,sigma_char_rms,11234.73445360696,9207.559022348612,0.2616342451801848,0.29524182865531357,0.31377421698393765,6,True,4.431688906413941,0.03626160955547047,16.410975874230026,0.5950883995755748,-1.4316889064139406,0.5721101196278349,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,22.16405277901101,17.187781210124545,0.06747601762620507,0.05305196883146436,344.99928555388067,14.999968937125246,24,24,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\NGC2955_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\NGC2955_rotation_curve.png,ok,
NGC2976,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2976_normalized.csv,formula,,21262.8218346065,12496.51867816204,12496.51867816204,False,False,,21262.8218346065,,,gbar_char_logmean,sigma_char_rms,2782.7392511013213,2670.8003207066026,0.1970587095816181,0.09445359089770154,0.34111510888192464,3,True,4.217018733446761,0.1359045104469695,4.760267028602968,0.6469417601191365,-1.2170187334467606,0.5877168503487724,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,14.385332571546273,10.415318562029686,0.36656491696501087,0.14057250327012913,753.1047905609887,28.965568867730333,27,27,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\NGC2976_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\NGC2976_rotation_curve.png,ok,
NGC2998,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2998_normalized.csv,formula,,38867.96579678794,23404.04002220008,23404.04002220008,False,False,,38867.96579678794,,,gbar_char_logmean,sigma_char_rms,3718.225576,2920.4902123052666,0.41237234819658547,0.3024832377345734,0.5470843091017871,11,True,4.0845098424131505,0.19933007869463143,5.2052986354728175,1.0375725866378542,-1.0845098424131505,0.6021421379385437,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,29.10799176584563,16.196610355536738,0.13107195564887136,0.053667681045828274,211.5383046886411,17.62819205738676,13,13,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\NGC2998_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\NGC2998_rotation_curve.png,ok,
NGC3109,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3109_normalized.csv,formula,,3969.636099689553,7155.129553384384,7155.129553384384,False,False,,3969.636099689553,,,gbar_char_logmean,sigma_char_rms,113.16475728155339,110.90795345704184,1.693312294445431,1.7026466348491278,1.7210726359991049,25,True,1.620006796152905,16.512424407955006,0.19767538215350777,3.2640998051234154,1.379993203847095,1.8024648541320838,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,66.242048019533,65.51938883303879,2.414682479306854,1.2092728667303103,41678.59561314304,1736.6081505476268,25,25,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\NGC3109_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\NGC3109_rotation_curve.png,ok,
NGC3198,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3198_normalized.csv,formula,,23340.865733521736,17827.946455402693,17827.946455402693,False,False,,23340.865733521736,,,gbar_char_logmean,sigma_char_rms,2740.306332179931,1354.2513600641344,0.5384237256225726,0.38612071141969306,0.7337636077769368,33,True,3.4534745259827613,0.576542361076295,2.4137327106687163,1.3916191560160274,-0.4534745259827613,0.7638082776766294,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,19.346338233414503,11.26015225751384,0.15890573002277328,0.03313408623791071,766.1723133308263,18.242197936448246,43,43,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\NGC3198_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\NGC3198_rotation_curve.png,ok,
NGC3521,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3521_normalized.csv,formula,,220195.76093421984,125765.91125726115,125765.91125726115,False,False,,220195.76093421984,,,gbar_char_logmean,sigma_char_rms,20126.36903797468,17557.361539792415,0.44212865212117863,0.4843234706976023,0.45762000792218344,4,True,4.449284646775421,0.027734483756762286,31.29314033668524,0.8678990923658795,-1.4492846467754212,0.5711550064527892,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,105.84157419110561,98.32178731572544,0.4880685817593644,0.44048771492851907,5606.595438112912,140.1648859528228,41,41,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\NGC3521_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\NGC3521_rotation_curve.png,ok,
NGC3726,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3726_normalized.csv,formula,,20102.391508102275,12831.835139066952,12831.835139066952,False,False,,20102.391508102275,,,gbar_char_logmean,sigma_char_rms,2181.7475889344114,1709.7227242590675,0.42768521255905617,0.37538864879213085,0.5057297493726675,4,True,3.8625912395003095,0.31475102414833855,3.0473025816435615,0.9591416084621871,-0.8625912395003095,0.6383238100747902,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,12.218320950242955,11.095544079400822,0.07295008896202955,0.0659602685163019,46.25038747705078,4.204580679731889,12,12,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\NGC3726_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\NGC3726_rotation_curve.png,ok,
NGC3741,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3741_normalized.csv,formula,,3309.1461090504336,5981.4781898641395,5981.4781898641395,False,False,,3309.1461090504336,,,gbar_char_logmean,sigma_char_rms,62.766108949416356,82.1108933908245,1.8393174454187142,2.1079942362039925,1.9622657306952844,21,True,1.5747236381504262,25.42912263546512,0.14634930790859887,3.7215344984232064,1.4252763618495738,1.80755941041858,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,68.37022920055931,66.85042981545698,1.9266244005219848,1.8129230519415247,18865.08624071842,943.2543120359211,21,21,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\NGC3741_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\NGC3741_rotation_curve.png,ok,
NGC3769,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3769_normalized.csv,formula,,14559.305853643486,16721.709870772687,16721.709870772687,False,False,,14559.305853643486,,,gbar_char_logmean,sigma_char_rms,779.5212131601876,761.1889148261585,0.7218358197150522,0.5886272411551368,0.841149455817426,9,True,2.8626867888414957,1.175858458454736,1.3566953941455233,1.5952817547525955,0.13731321115850426,1.1485238402755347,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,26.078973544259057,19.861799557049107,0.17531747309489076,0.13208312649070353,90.13171744608816,8.193792495098924,12,12,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\NGC3769_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\NGC3769_rotation_curve.png,ok,
NGC3877,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3877_normalized.csv,formula,,84600.48623426518,49576.973837405,49576.973837405,False,False,,84600.48623426518,,,gbar_char_logmean,sigma_char_rms,5055.686628571429,5252.418023885908,0.39234481883601136,0.29823046717297913,0.6276516135536617,2,True,4.235765014366541,0.12715507576981852,9.361580551603769,1.1903724843644368,-1.2357650143665406,0.5860128711331822,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,27.40556366068095,19.320430174107322,0.21677370114163985,0.09102401350603018,163.97637031210522,13.664697526008768,13,13,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\NGC3877_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\NGC3877_rotation_curve.png,ok,
NGC3893,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3893_normalized.csv,formula,,34311.25250943927,20085.930876916525,20085.930876916525,False,False,,34311.25250943927,,,gbar_char_logmean,sigma_char_rms,3104.9381882295975,3494.771820901558,0.3524948328580021,0.384935579855525,0.40705924962904944,6,True,4.242674681437327,0.1239404694428704,6.228862166351362,0.7720081009925226,-1.242674681437327,0.5854036040039851,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,10.656210980914802,8.609427365998831,0.0503981833291127,0.03995466206114265,22.717110051658647,2.524123339073183,10,10,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\NGC3893_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\NGC3893_rotation_curve.png,ok,
NGC3917,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3917_normalized.csv,formula,,13939.102578043212,9537.798479786621,9537.798479786621,False,False,,13939.102578043212,,,gbar_char_logmean,sigma_char_rms,1401.0041762452108,1242.4668338034214,0.465520461208338,0.4216181300687724,0.494850734602309,16,True,3.6771225996370087,0.4238027291122329,2.2144949801123217,0.9385090161769418,-0.6771225996370087,0.6842476713537141,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,10.063069509414573,8.756881049569827,0.12286857324432254,0.06715255296006332,102.27464924801212,6.392165578000758,17,17,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\NGC3917_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\NGC3917_rotation_curve.png,ok,
NGC3949,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3949_normalized.csv,formula,,80094.56300207828,45974.44347618556,45974.44347618556,False,False,,80094.56300207828,,,gbar_char_logmean,sigma_char_rms,8354.517986270024,8026.112084205152,0.34094728468702734,0.39212800350173194,0.39033402412222773,1,True,4.398920616999666,0.05174942432345947,14.30523893010673,0.7402878794425646,-1.398920616999666,0.5740020514874726,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,38.4787145117254,28.05518890898921,0.20327412627037914,0.1341004595322126,326.8613689452914,54.476894824215236,7,7,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\NGC3949_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\NGC3949_rotation_curve.png,ok,
NGC3953,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3953_normalized.csv,formula,,23901.026379373838,13653.46458322242,13653.46458322242,False,False,,23901.026379373838,,,gbar_char_logmean,sigma_char_rms,6368.252248779825,6146.810842889016,0.15616428757057232,0.16688180510181988,0.1652712752721417,0,True,4.447497708944135,0.028610263908040157,10.955690232477762,0.3134451888459266,-1.4474977089441348,0.571250136563387,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,13.343890571247691,12.627612686597523,0.05939560331338673,0.06404019712774345,37.624208971037575,5.374886995862511,8,8,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\NGC3953_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\NGC3953_rotation_curve.png,ok,
NGC3972,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3972_normalized.csv,formula,,17350.86413733769,10643.769609516861,10643.769609516861,False,False,,17350.86413733769,,,gbar_char_logmean,sigma_char_rms,1960.3350696361863,1827.6612023242815,0.3963626592880308,0.3816671960566589,0.4124915597226402,9,True,4.0030025491560846,0.24015614751876987,3.2575087300346626,0.7823107471138852,-1.0030025491560846,0.6134431994434393,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,13.916816717121858,8.764075328743981,0.14838142497867612,0.044080496608799355,78.79801314073488,8.755334793414987,10,10,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\NGC3972_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\NGC3972_rotation_curve.png,ok,
NGC3992,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3992_normalized.csv,formula,,19129.259990102615,12157.701538856792,12157.701538856792,False,False,,19129.259990102615,,,gbar_char_logmean,sigma_char_rms,1655.6918095930232,1691.0865557017491,0.4325344688025493,0.42398698459331413,0.48821343807137674,9,True,3.876300552660523,0.307197888763874,3.014086643321591,0.9259210533797845,-0.8763005526605232,0.6355552460025703,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,35.971343682570975,33.80942561182223,0.13539242942638907,0.14407206083982285,297.6441081697121,37.205513521214016,9,9,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\NGC3992_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\NGC3992_rotation_curve.png,ok,
