r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,eta_profile,a_struct_raw,a_struct,struct_to_bar_ratio,a_total
12.78,229.0,1.74,118.03707853199796,2132.8782081377153,-243.76307804378504,100.97556598527554,2.3488775032669436,0.5825850021779624,0.5478284933961882,-1919.043034134969,-1042.6785282966312,0.488859853468627,1090.1996798410842
14.93,228.0,1.64,111.72507439827848,1629.9148292029472,-200.9563639642745,102.4906405126067,2.356806403828005,0.5878709358853367,0.5553420367477934,-1376.1291929633846,-793.847029517692,0.4870481667473969,836.0677996852552
17.08,226.0,1.34,107.70211136742384,1268.7658430913352,-144.6992812293373,103.90217444628959,2.364365797691867,0.592910531794578,0.5626361492957637,-879.1226998265414,-589.6238762879998,0.4647223752898227,679.1419668033354
19.23,226.0,1.39,104.31433320312085,1007.7079199167968,-107.53324943142317,105.19253717072813,2.3713997060563217,0.5975998040375478,0.5697865072766046,-587.8175225425211,-441.8483197289798,0.4384686385768029,565.859600187817
21.27,227.0,1.11,102.19454854163605,818.201527973672,-78.44872999283989,106.29663075343518,2.3775036213204923,0.6016690808803282,0.5767229393615569,-391.8998446067007,-327.1942053771131,0.3998943954399967,491.0073225965589
23.42,227.0,1.37,101.14380609064092,679.0077412467975,-58.74663868711327,107.33174891715275,2.3833035561451914,0.6055357040967942,0.5831724086458051,-269.1739405279242,-242.19862465836155,0.3566949387257871,436.809116588436
25.57,224.0,2.79,98.34116814751341,565.5909816190849,-47.570246378747875,108.41437627109636,2.3894643472039836,0.609642898135989,0.5890465572172485,-201.66552585962694,-187.3748943051426,0.3312904561680867,378.21608731394235
27.72,218.0,9.41,96.17033307587711,474.4556818181818,-37.25301516620134,109.4090000084053,2.3951843548318763,0.6134562365545841,0.5942402616453032,-147.02274423336567,-140.807306496207,0.29677652074186006,333.6483753219748
29.87,215.0,8.18,94.87578153560762,405.40301640441913,-28.79276565386587,110.21224563609894,2.3998623457244412,0.6165748971496274,0.5985196436296727,-106.23217446309053,-104.05002269861585,0.25665823510996855,301.35299370580327
32.02,219.0,5.06,93.2807893314346,350.64678950655843,-23.022540090708667,110.84425430356657,2.4035809622947606,0.6190539748631737,0.6019302372458185,-79.6949988437901,-78.90082891019733,0.22501511855057663,271.7459605963611
34.05,211.0,7.05,90.94283363444741,309.168798825257,-20.432507724779093,111.26617612783906,2.4060723009980083,0.6207148673320055,0.6044179888348191,-66.766201593175,-66.27308694676125,0.2143589107263666,242.89571187849575
