galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,Dw_smooth_i,dDw_dr_i,propagation_source_i,propagation_term_i,delta_struct_i,DeltaD_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
NGC2403,2.28,98.2,106.99600226176678,1.6,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.334024546161019,2.282367013692562,-0.047449981936934206,0.5665793524873297,0.07216650076612818,0.49661598816632235,0.49661598816632235,3495337280.6652403,1.584417030821918,2,106.99600226176678,0.08957232445791011,0.04448304842301947
NGC2403,2.37,98.2,106.47681531676274,1.0,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.329216573776596,2.2781596682540273,-0.0471870505839673,0.565061766060597,0.07407353295617666,0.5026684926328105,0.5026684926328105,3520534601.384029,1.741806957055215,2,106.47681531676274,0.08428528835807267,0.04236755885007416
NGC2403,2.47,97.2,105.8918665431864,1.12,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3211742448271764,2.2737397363344747,-0.046733307392959465,0.5623508591414054,0.07651147493600534,0.5085984762612784,0.5085984762612784,3430418561.1802335,2.025272417177915,2,105.8918665431864,0.08942249530027153,0.045480144853199435
NGC2403,2.57,98.2,105.44533797186104,1.41,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.313131915877756,2.269319804414922,-0.046279564201951645,0.5596399522222139,0.07894941691583401,0.5145284598897463,0.5145284598897463,3340302520.9764385,2.3087378773006133,2,105.44533797186104,0.07378144574196571,0.037962653646052495
NGC2403,2.68,98.2,104.8043329256954,1.12,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.304285354033394,2.2644578793034142,-0.04578044669184303,0.5566579546111031,0.08163115309364556,0.5210514418810609,0.5210514418810609,3241174876.7522635,2.620549883435584,2,104.8043329256954,0.06725389944700003,0.03504274127898325
NGC2403,2.78,98.2,104.27580016475538,1.6,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.296243025083974,2.260037947383861,-0.0453267035008352,0.5539470476919116,0.08406909507347424,0.5269814255095288,0.5269814255095288,3151058836.5484686,2.9040153435582825,2,104.27580016475538,0.06187169210545192,0.03260523250441771
NGC2403,2.88,99.1,103.74163339759018,2.69,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.288200696134554,2.2556180154643086,-0.044872960309827375,0.5512361407727201,0.08650703705330291,0.5329114091379966,0.5329114091379966,3060942796.3446736,3.187480803680982,2,103.74163339759018,0.04683787484954777,0.02496043788710163
NGC2403,2.98,100.0,103.37419407182821,2.69,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.280158367185134,2.251198083544756,-0.04441921711881955,0.5485252338535286,0.08894497903313159,0.5388413927664645,0.5388413927664645,2970826756.140878,3.4709462638036817,2,103.37419407182821,0.03374194071828214,0.01818155433128263
NGC2403,3.08,102.0,103.28898876453384,3.16,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.2721160382357137,2.246778151625203,-0.04396547392781172,0.545814326934337,0.09138292101296028,0.5447713763949323,0.5447713763949323,2880710715.9370832,3.7544117239263812,2,103.28898876453384,0.01263714475033177,0.006884354739340232
NGC2403,3.19,101.0,103.25176850785657,3.4,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.263269476391352,2.241916226513695,-0.04346635641770311,0.5428323293232263,0.09406465719077181,0.5512943583862471,0.5512943583862471,2781583071.7129083,4.066223730061351,2,103.25176850785657,0.022294737701550174,0.012290963116565776
NGC2403,3.29,101.0,103.60889247550135,3.4,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.2552271474419316,2.2374962945941426,-0.04301261322669528,0.5401214224040348,0.0965025991706005,0.5572243420147149,0.5572243420147149,2691467031.5091133,4.34968919018405,2,103.60889247550135,0.025830618569320292,0.014393449436122576
NGC2403,3.39,103.0,104.08061731177423,2.93,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.2471848184925114,2.23307636267459,-0.04255887003568745,0.5374105154848432,0.09894054115042918,0.5631543256431828,0.5631543256431828,2601350991.305318,4.63315465030675,2,104.08061731177423,0.010491430211400322,0.005908294305733663
NGC2403,3.49,107.0,104.47720373363751,2.46,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.2391424895430916,2.228656430755037,-0.042105126844679625,0.5346996085656517,0.10137848313025787,0.5690843092716507,0.5690843092716507,2511234951.1015224,4.9166201104294505,2,104.47720373363751,0.023577535199649446,0.013417605333420535
NGC2403,3.59,110.0,104.53593688296863,2.46,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.2311001605936713,2.2242364988354844,-0.0416513836536718,0.5319887016464602,0.10381642511008653,0.5750142929001185,0.5750142929001185,2421118910.897728,5.200085570552148,3,104.53593688296863,0.049673301063921566,0.028562858087285564
NGC2403,3.69,112.0,104.8995328874252,3.4,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.2230578316442515,2.2198165669159318,-0.04119764046266397,0.5292777947272687,0.1062543670899152,0.5809442765285864,0.5809442765285864,2331002870.6939325,5.483551030674849,3,104.8995328874252,0.06339702779084647,0.03683014044401599
NGC2403,3.79,114.0,104.90110819243047,5.1,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.2150155026948313,2.215396634996379,-0.04074389727165614,0.526566887808077,0.10869230906974389,0.5868742601570542,0.5868742601570542,2240886830.490137,5.767016490797548,3,104.90110819243047,0.07981484041727657,0.04684127541944254
