galaxy,source_file,beta_mode,beta,a_newton_source,rmse_kmps,mean_absolute_fractional_error,chi2,n_points,status,error
NGC0247_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0247_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
NGC0289_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0289_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
NGC0300_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0300_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
NGC0801_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0801_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
NGC0891_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0891_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
NGC1003_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC1003_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
NGC1090_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC1090_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
NGC1705_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC1705_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
NGC2366_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2366_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
NGC2403_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2403_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
NGC2683_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2683_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
NGC2841_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2841_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
NGC2903_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2903_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
NGC2915_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2915_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
NGC2955_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2955_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
NGC2976_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2976_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
NGC2998_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2998_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
NGC3109_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3109_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
