galaxy_id,Name,SimbadName,NEDname,S4G,EDD,RA_deg,DEC_deg,Type,Dist,inclination_deg,L3p6,Reff,Rdisk,MHI,RHI,Vflat,e_Vflat,Qual,Ref,name_normalized,simbad_normalized,ned_normalized,s4g_name_normalized
UGC05750,UGC05750,UGC05750,UGC05750,0,0,158.9379583,20.9901944,8,58.7,64.0,3.336,8.8,3.46,1.099,16.79,0.0,0.0,1,"dB01,VdH93    ",UGC05750,UGC05750,UGC05750,0
UGC05764,UGC05764,UGC05764,UGC05764,1,0,159.1797589,31.5472581,10,7.47,60.0,0.085,1.2,1.17,0.163,3.51,0.0,0.0,2,vZ97          ,UGC05764,UGC05764,UGC05764,1
UGC05829,UGC05829,UGC05829,UGC05829,1,0,160.6782789,34.4492761,10,8.64,34.0,0.564,2.91,1.99,1.023,7.87,0.0,0.0,2,"Sw09,Sw02     ",UGC05829,UGC05829,UGC05829,1
UGC05918,UGC05918,UGC05918,UGC05918,1,0,162.4017181,65.5336311,10,7.66,46.0,0.233,2.63,1.66,0.297,5.9,0.0,0.0,2,"Sw09,Sw02     ",UGC05918,UGC05918,UGC05918,1
UGC05986,UGC05986,UGC05986,UGC05986,0,0,163.1297167,36.6187778,9,8.63,90.0,4.695,3.12,1.67,2.667,16.53,113.0,4.1,2,"Sw09,Sw02     ",UGC05986,UGC05986,UGC05986,0
UGC05999,UGC05999,UGC05999,UGC05999,0,0,163.2443831,7.6197961,10,47.7,22.0,3.384,4.83,3.22,2.022,15.26,0.0,0.0,2,"dB97,VH93     ",UGC05999,UGC05999,UGC05999,0
UGC06399,UGC06399,UGC06399,UGC06399,1,0,170.8467681,50.8926819,9,18.0,75.0,2.296,3.45,2.05,0.674,8.8,85.0,3.8,1,"VS01,SV98     ",UGC06399,UGC06399,UGC06399,1
UGC06446,UGC06446,UGC06446,UGC06446,1,0,171.6685439,53.7466711,7,12.0,51.0,0.988,2.06,1.49,1.379,10.33,82.2,4.3,1,"VS01,SV98     ",UGC06446,UGC06446,UGC06446,1
UGC06614,UGC06614,UGC06614,UGC06614,0,0,174.8118458,17.1435778,1,88.7,36.0,124.35,3.68,5.1,21.888,60.63,199.8,16.0,1,"dB01,VH93     ",UGC06614,UGC06614,UGC06614,0
UGC06628,UGC06628,UGC06628,UGC06628,1,0,175.0239169,45.9421569,9,15.1,20.0,3.739,4.14,2.82,1.5,10.47,41.8,6.4,2,"Sw09,Sw02     ",UGC06628,UGC06628,UGC06628,1
UGC06667,UGC06667,UGC06667,UGC06667,1,0,175.6096208,51.5980056,6,18.0,89.0,1.397,3.5,5.15,0.809,8.59,83.8,3.1,1,"VS01,SV98     ",UGC06667,UGC06667,UGC06667,1
UGC06786,UGC06786,UGC06786,UGC06786,0,0,177.2893083,27.022075,0,29.3,64.0,73.407,3.42,3.6,5.03,20.31,219.4,7.8,1,"No07,No05     ",UGC06786,UGC06786,UGC06786,0
UGC06787,UGC06787,UGC06787,UGC06787,0,0,177.3140417,56.08435,2,21.3,66.0,98.256,2.88,5.37,5.03,26.44,248.1,4.8,2,"No07,No05     ",UGC06787,UGC06787,UGC06787,0
UGC06818,UGC06818,UGC06818,UGC06818,1,0,177.6956369,45.8071969,9,18.0,75.0,1.588,2.12,1.39,1.079,6.96,71.2,4.0,2,"VS01,SV98     ",UGC06818,UGC06818,UGC06818,1
UGC06917,UGC06917,UGC06917,UGC06917,1,0,179.1198875,50.4283944,9,18.0,56.0,6.832,4.52,2.76,2.023,12.67,108.7,3.5,1,"VS01,SV98     ",UGC06917,UGC06917,UGC06917,1
UGC06923,UGC06923,UGC06923,UGC06923,0,0,179.2063583,53.1603361,10,18.0,65.0,2.89,1.66,1.44,0.809,6.75,79.6,2.5,2,"VS01,SV98     ",UGC06923,UGC06923,UGC06923,0
UGC06930,UGC06930,UGC06930,UGC06930,1,0,179.3224792,49.2832528,7,18.0,32.0,8.932,4.38,3.94,3.237,16.76,107.2,5.1,1,"VS01,SV98     ",UGC06930,UGC06930,UGC06930,1
UGC06973,UGC06973,UGC06973,UGC06973,0,0,179.7176042,42.7224028,2,18.0,71.0,53.87,1.61,1.07,1.753,11.57,174.2,6.2,3,"VS01,SV98     ",UGC06973,UGC06973,UGC06973,0
UGC06983,UGC06983,UGC06983,UGC06983,1,0,179.7863917,52.7077861,6,18.0,49.0,5.298,3.95,3.21,2.967,16.07,109.0,5.8,1,"VS01,SV98     ",UGC06983,UGC06983,UGC06983,1
UGC07089,UGC07089,UGC07089,UGC07089,1,0,181.4906089,43.1433561,8,18.0,80.0,3.585,3.9,2.26,1.214,9.29,0.0,0.0,2,"VS01,SV98     ",UGC07089,UGC07089,UGC07089,1
UGC07125,UGC07125,UGC07125,UGC07125,1,0,182.172975,36.8022972,9,19.8,90.0,2.712,3.92,3.38,4.629,23.04,65.2,2.1,1,"Sw09,Sw02     ",UGC07125,UGC07125,UGC07125,1
UGC07151,UGC07151,UGC07151,UGC07151,0,0,182.4941708,46.4571806,6,6.87,90.0,2.284,2.17,1.25,0.616,6.39,73.5,2.8,1,"Sw09,Sw02     ",UGC07151,UGC07151,UGC07151,0
UGC07232,UGC07232,UGC07232,UGC07232,0,0,183.4339917,36.631275,10,2.83,59.0,0.113,0.46,0.29,0.046,1.54,0.0,0.0,2,"Sw09,Sw02     ",UGC07232,UGC07232,UGC07232,0
UGC07261,UGC07261,UGC07261,UGC07261,0,0,183.8098292,20.6590778,8,13.1,30.0,1.753,2.66,1.2,1.388,10.1,74.7,3.4,2,"Sw09,Sw02     ",UGC07261,UGC07261,UGC07261,0
UGC07323,UGC07323,UGC07323,UGC07323,0,0,184.375725,45.6192944,8,8.0,47.0,4.109,3.26,2.26,0.722,7.14,0.0,0.0,1,"Sw09,Sw02     ",UGC07323,UGC07323,UGC07323,0
UGC07399,UGC07399,UGC07399,UGC07399,0,0,185.1588292,46.2910194,8,8.43,55.0,1.156,1.27,1.64,0.745,7.85,103.0,3.3,1,"Sw09,Sw02     ",UGC07399,UGC07399,UGC07399,0
UGC07524,UGC07524,UGC07524,UGC07524,0,0,186.4538417,33.54675,9,4.74,46.0,2.436,3.61,3.46,1.779,12.11,79.5,3.6,1,"Sw09,Sw02     ",UGC07524,UGC07524,UGC07524,0
UGC07559,UGC07559,UGC07559,UGC07559,1,0,186.7731919,37.1417739,10,4.97,61.0,0.109,0.98,0.58,0.169,3.76,0.0,0.0,2,"Sw09,Sw02     ",UGC07559,UGC07559,UGC07559,1
UGC07577,UGC07577,UGC07577,UGC07577,1,0,186.9245319,43.4994689,10,2.59,63.0,0.045,0.77,0.9,0.044,2.07,0.0,0.0,2,"Sw09,Sw02     ",UGC07577,UGC07577,UGC07577,1
UGC07603,UGC07603,UGC07603,UGC07603,0,0,187.1837989,22.8204411,7,4.7,78.0,0.376,0.85,0.53,0.258,4.37,61.6,2.8,1,"Sw09,Sw02     ",UGC07603,UGC07603,UGC07603,0
UGC07608,UGC07608,UGC07608,UGC07608,1,0,187.1836589,43.22383,10,8.21,25.0,0.264,1.6,1.5,0.535,6.73,0.0,0.0,1,"Sw09,Sw02     ",UGC07608,UGC07608,UGC07608,1
UGC07690,UGC07690,UGC07690,UGC07690,1,0,188.1120561,42.7041211,10,8.11,41.0,0.858,0.86,0.57,0.39,5.5,57.4,3.2,2,"Sw09,Sw02     ",UGC07690,UGC07690,UGC07690,1
UGC07866,UGC07866,UGC07866,UGC07866,0,0,190.5631489,38.5016269,10,4.57,44.0,0.124,0.95,0.61,0.118,3.3,0.0,0.0,2,"Sw09,Sw02     ",UGC07866,UGC07866,UGC07866,0
UGC08286,UGC08286,UGC08286,UGC08286,0,0,198.0491625,44.0380222,6,6.5,90.0,1.255,2.25,1.05,0.642,8.07,82.4,2.3,1,"Sw09,Sw02     ",UGC08286,UGC08286,UGC08286,0
UGC08490,UGC08490,UGC08490,UGC08490,0,0,202.4021167,58.4187306,9,4.65,50.0,1.017,1.14,0.67,0.72,7.8,78.6,3.8,1,"Sw09,Sw02     ",UGC08490,UGC08490,UGC08490,0
UGC08550,UGC08550,UGC08550,UGC08550,0,0,203.5117958,47.9154667,7,6.7,90.0,0.289,1.01,0.45,0.288,5.59,56.9,1.9,1,"Sw09,Sw02     ",UGC08550,UGC08550,UGC08550,0
UGC08699,UGC08699,UGC08699,UGC08699,0,0,206.2861167,41.5033028,2,39.3,73.0,50.302,1.91,3.09,3.738,19.05,182.4,6.9,2,"No07,No05     ",UGC08699,UGC08699,UGC08699,0
UGC08837,UGC08837,UGC08837,UGC08837,1,0,208.6900069,53.9055731,10,7.21,80.0,0.501,2.25,1.72,0.32,4.75,0.0,0.0,2,"Sw09,Sw02     ",UGC08837,UGC08837,UGC08837,1
UGC09037,UGC09037,UGC09037,UGC09037,0,0,212.121275,7.058,6,83.6,65.0,68.614,5.69,4.28,19.078,39.72,152.3,9.6,2,Ha14          ,UGC09037,UGC09037,UGC09037,0
UGC09133,UGC09133,UGC09133,UGC09133,0,0,214.0321333,35.3437167,2,57.1,53.0,282.926,5.92,6.97,33.428,60.35,226.8,4.2,1,"No07,No05     ",UGC09133,UGC09133,UGC09133,0
UGC09992,UGC09992,UGC09992,UGC09992,1,0,235.4500417,67.2538889,10,10.7,30.0,0.336,1.62,1.04,0.318,5.45,33.6,3.3,2,"Sw09,Sw02     ",UGC09992,UGC09992,UGC09992,1
UGC10310,UGC10310,UGC10310,UGC10310,1,0,244.0745881,47.0453189,9,15.2,34.0,1.741,3.12,1.8,1.196,9.58,71.4,3.9,1,"Sw09,Sw02     ",UGC10310,UGC10310,UGC10310,1
UGC11455,UGC11455,UGC11455,UGC11455,0,0,292.4844042,72.1128167,6,78.6,90.0,374.322,10.06,5.93,13.335,43.44,269.4,7.4,1,SG06          ,UGC11455,UGC11455,UGC11455,0
UGC11557,UGC11557,UGC11557,UGC11557,0,0,306.0028561,60.1948361,8,24.2,30.0,12.101,4.18,2.75,2.605,16.66,0.0,0.0,2,"Sw02,dB01     ",UGC11557,UGC11557,UGC11557,0
UGC11820,UGC11820,UGC11820,UGC11820,0,0,327.3693333,14.2309444,9,18.1,45.0,0.97,2.74,2.08,1.977,12.99,0.0,0.0,1,"KN08,vZ97     ",UGC11820,UGC11820,UGC11820,0
UGC11914,UGC11914,UGC11914,UGC11914,0,0,331.9682,31.3592556,2,16.9,31.0,150.028,3.12,2.44,0.888,9.26,288.1,10.5,1,"No07,No05     ",UGC11914,UGC11914,UGC11914,0
UGC12506,UGC12506,UGC12506,UGC12506,0,0,349.8769833,16.0747917,6,100.6,86.0,139.571,12.36,7.38,35.556,59.01,234.0,16.8,2,Ha14          ,UGC12506,UGC12506,UGC12506,0
UGC12632,UGC12632,UGC12632,UGC12632,0,0,352.4949167,40.9903333,9,9.77,46.0,1.301,3.94,2.42,1.744,12.6,71.7,2.8,1,"Sw09,Sw02     ",UGC12632,UGC12632,UGC12632,0
UGC12732,UGC12732,UGC12732,UGC12732,1,0,355.1665,26.2360556,9,13.2,39.0,1.667,3.12,1.98,3.66,17.41,0.0,0.0,1,"Sw09,Sw02     ",UGC12732,UGC12732,UGC12732,1
UGCA281,UGCA281,UGCA281,UGCA281,0,0,186.56675,48.4935,11,5.68,67.0,0.194,1.57,1.72,0.062,1.83,0.0,0.0,3,Le14          ,UGCA281,UGCA281,UGCA281,0
UGCA442,UGCA442,UGCA442,UGCA442,0,0,355.9397875,-31.9567694,9,4.35,64.0,0.14,1.71,1.18,0.263,4.37,56.4,2.1,1,Co00          ,UGCA442,UGCA442,UGCA442,0
UGCA444,UGCA444,UGCA444,UGCA444,0,0,0.49125,-15.4638889,10,0.98,78.0,0.012,0.41,0.83,0.067,2.08,37.0,4.8,2,Ke07          ,UGCA444,UGCA444,UGCA444,0
