galaxy_id,filename,filepath,catalog_prefix,catalog_number,name_normalized,row_count,source_expected,s4g_name_normalized,Name,RAJ2000,DEJ2000,amaj,PA,ell,3.6,e_3.6,4.5,e_4.5,c31,c42,M3.6,M4.5,logM*,Dmean,e_Dmean,TT,e_TT,Vr,e_Vr,match_status
UGC05721,UGC05721.csv,data/derived/sparc/UGC05721.csv,UGC,05721,UGC05721,23,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC05750,UGC05750.csv,data/derived/sparc/UGC05750.csv,UGC,05750,UGC05750,11,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC05764,UGC05764.csv,data/derived/sparc/UGC05764.csv,UGC,05764,UGC05764,10,SPARC,UGC05764,UGC05764,159.18245,31.54773,38.1,47.9,0.521,16.199,0.028,16.707,0.007,2.346,2.345,-12.995,-12.488,7.383,6.9,,9.9,0.3,581.9,3.3,matched
UGC05829,UGC05829.csv,data/derived/sparc/UGC05829.csv,UGC,05829,UGC05829,11,SPARC,UGC05829,UGC05829,160.6758,34.44885,86.0,76.2,0.301,13.871,0.003,14.424,0.006,2.458,2.495,-15.644,-15.091,8.477,8.0,,9.8,0.6,630.0,2.6,matched
UGC05918,UGC05918.csv,data/derived/sparc/UGC05918.csv,UGC,05918,UGC05918,8,SPARC,UGC05918,UGC05918,162.40275,65.53083,45.9,90.0,0.551,15.756,0.049,16.213,0.003,2.532,2.575,-13.552,-13.094,7.569,7.27,0.24,9.8,0.5,339.1,3.4,matched
UGC05986,UGC05986.csv,data/derived/sparc/UGC05986.csv,UGC,05986,UGC05986,15,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC05999,UGC05999.csv,data/derived/sparc/UGC05999.csv,UGC,05999,UGC05999,5,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC06399,UGC06399.csv,data/derived/sparc/UGC06399.csv,UGC,06399,UGC06399,9,SPARC,UGC06399,UGC06399,170.84669,50.89274,87.7,-39.1,0.725,14.081,0.019,14.622,0.001,2.929,2.871,-17.278,-16.737,9.122,18.7,2.542,8.8,1.0,795.9,8.9,matched
UGC06446,UGC06446.csv,data/derived/sparc/UGC06446.csv,UGC,06446,UGC06446,17,SPARC,UGC06446,UGC06446,171.66855,53.74677,71.3,19.6,0.252,14.04,0.008,14.51,0.025,2.92,2.87,-16.967,-16.497,8.945,15.9,1.577,6.6,0.7,645.2,3.7,matched
UGC06614,UGC06614.csv,data/derived/sparc/UGC06614.csv,UGC,06614,UGC06614,13,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC06628,UGC06628.csv,data/derived/sparc/UGC06628.csv,UGC,06628,UGC06628,7,SPARC,UGC06628,UGC06628,175.02492,45.94317,88.8,-51.9,0.07,13.307,0.001,13.684,0.003,2.535,2.502,-17.845,-17.468,9.227,17.0,,8.8,1.0,849.6,4.3,matched
UGC06667,UGC06667.csv,data/derived/sparc/UGC06667.csv,UGC,06667,UGC06667,9,SPARC,UGC06667,UGC06667,175.60879,51.59786,110.5,87.3,0.805,13.571,0.003,14.049,0.017,2.959,2.944,-17.865,-17.387,9.309,19.373,2.624,5.9,0.5,974.6,4.6,matched
UGC06786,UGC06786.csv,data/derived/sparc/UGC06786.csv,UGC,06786,UGC06786,45,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC06787,UGC06787.csv,data/derived/sparc/UGC06787.csv,UGC,06787,UGC06787,71,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC06818,UGC06818.csv,data/derived/sparc/UGC06818.csv,UGC,06818,UGC06818,8,SPARC,UGC06818,UGC06818,177.6956,45.80708,58.5,74.7,0.559,14.464,0.003,14.923,0.002,2.866,2.861,-17.217,-16.758,9.037,21.689,4.732,,,825.5,7.6,matched
UGC06917,UGC06917.csv,data/derived/sparc/UGC06917.csv,UGC,06917,UGC06917,11,SPARC,UGC06917,UGC06917,179.1198,50.42834,109.3,-53.1,0.401,13.025,0.002,13.474,0.002,2.516,2.564,-18.354,-17.904,9.484,18.867,1.503,8.8,1.0,913.1,4.1,matched
UGC06923,UGC06923.csv,data/derived/sparc/UGC06923.csv,UGC,06923,UGC06923,6,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC06930,UGC06930.csv,data/derived/sparc/UGC06930.csv,UGC,06930,UGC06930,10,SPARC,UGC06930,UGC06930,179.32252,49.28326,107.8,33.8,0.193,12.431,0.006,12.883,0.002,2.903,2.936,-18.721,-18.269,9.633,17.0,,6.6,0.8,777.8,5.0,matched
UGC06973,UGC06973.csv,data/derived/sparc/UGC06973.csv,UGC,06973,UGC06973,9,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC06983,UGC06983.csv,data/derived/sparc/UGC06983.csv,UGC,06983,UGC06983,17,SPARC,UGC06983,UGC06983,179.78991,52.70756,97.2,86.7,0.349,13.22,0.001,13.594,0.001,3.215,3.208,-18.307,-17.933,9.409,20.2,2.292,5.9,0.5,1080.5,3.3,matched
UGC07089,UGC07089.csv,data/derived/sparc/UGC07089.csv,UGC,07089,UGC07089,12,SPARC,UGC07089,UGC07089,181.49115,43.14402,109.4,36.9,0.755,13.504,0.001,13.949,0.002,2.617,2.663,-17.206,-16.761,9.021,13.867,2.118,7.9,0.8,773.5,5.5,matched
UGC07125,UGC07125.csv,data/derived/sparc/UGC07125.csv,UGC,07125,UGC07125,13,SPARC,UGC07125,UGC07125,182.1747,36.80256,90.6,82.9,0.674,14.083,0.009,14.505,0.001,3.218,3.115,-16.824,-16.401,8.852,15.18,10.632,8.8,0.7,1070.3,8.3,matched
UGC07151,UGC07151.csv,data/derived/sparc/UGC07151.csv,UGC,07151,UGC07151,11,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC07232,UGC07232.csv,data/derived/sparc/UGC07232.csv,UGC,07232,UGC07232,4,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC07261,UGC07261.csv,data/derived/sparc/UGC07261.csv,UGC,07261,UGC07261,7,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC07323,UGC07323.csv,data/derived/sparc/UGC07323.csv,UGC,07323,UGC07323,10,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC07399,UGC07399.csv,data/derived/sparc/UGC07399.csv,UGC,07399,UGC07399,10,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC07524,UGC07524.csv,data/derived/sparc/UGC07524.csv,UGC,07524,UGC07524,31,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC07559,UGC07559.csv,data/derived/sparc/UGC07559.csv,UGC,07559,UGC07559,7,SPARC,UGC07559,UGC07559,186.77327,37.14248,63.5,-30.6,0.38,14.504,0.056,15.183,0.006,2.945,2.883,-13.678,-12.999,7.784,4.33,0.871,9.9,0.4,216.7,5.2,matched
UGC07577,UGC07577.csv,data/derived/sparc/UGC07577.csv,UGC,07577,UGC07577,9,SPARC,UGC07577,UGC07577,186.9237,43.49405,121.6,-58.2,0.373,13.08,0.004,13.612,0.002,2.347,2.341,-14.282,-13.749,7.917,2.967,0.839,9.8,0.9,195.8,2.6,matched
UGC07603,UGC07603.csv,data/derived/sparc/UGC07603.csv,UGC,07603,UGC07603,12,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC07608,UGC07608.csv,data/derived/sparc/UGC07608.csv,UGC,07608,UGC07608,8,SPARC,UGC07608,UGC07608,187.1868,43.22476,52.8,85.2,0.229,14.988,0.223,15.421,0.023,3.142,3.082,-14.416,-13.983,7.897,7.6,,9.9,0.5,536.4,5.0,matched
UGC07690,UGC07690.csv,data/derived/sparc/UGC07690.csv,UGC,07690,UGC07690,7,SPARC,UGC07690,UGC07690,188.11232,42.70405,63.8,17.7,0.196,13.543,0.001,13.968,0.003,3.34,3.232,-15.832,-15.407,8.457,7.5,,9.9,0.4,537.3,9.1,matched
UGC07866,UGC07866.csv,data/derived/sparc/UGC07866.csv,UGC,07866,UGC07866,7,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC08286,UGC08286.csv,data/derived/sparc/UGC08286.csv,UGC,08286,UGC08286,17,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC08490,UGC08490.csv,data/derived/sparc/UGC08490.csv,UGC,08490,UGC08490,30,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC08550,UGC08550.csv,data/derived/sparc/UGC08550.csv,UGC,08550,UGC08550,11,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC08699,UGC08699.csv,data/derived/sparc/UGC08699.csv,UGC,08699,UGC08699,41,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC08837,UGC08837.csv,data/derived/sparc/UGC08837.csv,UGC,08837,UGC08837,8,SPARC,UGC08837,UGC08837,208.68976,53.90395,128.1,21.8,0.714,13.797,0.002,14.278,0.006,2.581,2.526,-15.106,-14.625,8.208,6.033,1.329,9.8,0.6,139.9,2.7,matched
UGC09037,UGC09037.csv,data/derived/sparc/UGC09037.csv,UGC,09037,UGC09037,22,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC09133,UGC09133.csv,data/derived/sparc/UGC09133.csv,UGC,09133,UGC09133,68,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC09992,UGC09992.csv,data/derived/sparc/UGC09992.csv,UGC,09992,UGC09992,5,SPARC,UGC09992,UGC09992,235.45098,67.25383,43.2,-25.5,0.358,15.201,0.02,15.698,0.005,3.169,3.196,-15.045,-14.548,8.196,11.2,,9.9,0.5,427.7,4.4,matched
UGC10310,UGC10310.csv,data/derived/sparc/UGC10310.csv,UGC,10310,UGC10310,7,SPARC,UGC10310,UGC10310,244.07449,47.04523,70.5,38.6,0.309,14.269,0.001,14.73,0.012,2.647,2.697,-16.724,-16.263,8.841,15.8,,9.2,0.6,715.9,3.0,matched
UGC11455,UGC11455.csv,data/derived/sparc/UGC11455.csv,UGC,11455,UGC11455,36,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC11557,UGC11557.csv,data/derived/sparc/UGC11557.csv,UGC,11557,UGC11557,12,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC11820,UGC11820.csv,data/derived/sparc/UGC11820.csv,UGC,11820,UGC11820,10,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC11914,UGC11914.csv,data/derived/sparc/UGC11914.csv,UGC,11914,UGC11914,65,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC12506,UGC12506.csv,data/derived/sparc/UGC12506.csv,UGC,12506,UGC12506,31,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC12632,UGC12632.csv,data/derived/sparc/UGC12632.csv,UGC,12632,UGC12632,15,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC12732,UGC12732.csv,data/derived/sparc/UGC12732.csv,UGC,12732,UGC12732,16,SPARC,UGC12732,UGC12732,355.16605,26.23644,79.9,4.0,0.291,13.854,0.001,14.189,0.004,3.079,3.018,-16.613,-16.279,8.703,12.4,,8.7,0.5,747.0,3.0,matched
UGCA281,UGCA281.csv,data/derived/sparc/UGCA281.csv,UGC,281,UGCA281,7,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGCA442,UGCA442.csv,data/derived/sparc/UGCA442.csv,UGC,442,UGCA442,8,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGCA444,UGCA444.csv,data/derived/sparc/UGCA444.csv,UGC,444,UGCA444,36,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
