Structural coupling rotation pipeline run log
started_at: 2026-03-23T15:17:01.871254
project_root: C:\Users\mincu\Desktop\topological_gravity_project
data_dir: C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized
output_root: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling
run_dir: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling\2026-03-23_151701_local_structural_coupling
beta_mode: local_structural_coupling
beta_value: 200.0
n_input_files: 175
------------------------------------------------------------------------
[101/175] [OK] UGC00891 | beta_mean=85.8339 | beta_max=136.014 | d_eff_mean=2.43198 | rmse=51.1934 | mafe=1
[102/175] [OK] UGC01230 | beta_mean=81.1116 | beta_max=146.543 | d_eff_mean=2.40713 | rmse=57.8406 | mafe=0.5836
[103/175] [OK] UGC01281 | beta_mean=61.9221 | beta_max=121.929 | d_eff_mean=2.31574 | rmse=43.9593 | mafe=1.45506
[104/175] [OK] UGC02023 | beta_mean=69.4319 | beta_max=88.0498 | d_eff_mean=2.34939 | rmse=64.4541 | mafe=2.3484
[105/175] [OK] UGC02259 | beta_mean=78.9339 | beta_max=139.772 | d_eff_mean=2.39235 | rmse=75.3116 | mafe=0.861828
[106/175] [OK] UGC02455 | beta_mean=87.8785 | beta_max=133.195 | d_eff_mean=2.43811 | rmse=78.7648 | mafe=2.50607
[107/175] [OK] UGC02487 | beta_mean=124.567 | beta_max=140.444 | d_eff_mean=2.61259 | rmse=122.46 | mafe=0.33821
[108/175] [OK] UGC02885 | beta_mean=121.367 | beta_max=136.27 | d_eff_mean=2.5904 | rmse=76.5495 | mafe=0.234522
[109/175] [OK] UGC02916 | beta_mean=112.142 | beta_max=137.137 | d_eff_mean=2.54827 | rmse=187.888 | mafe=0.840941
[110/175] [OK] UGC02953 | beta_mean=108.753 | beta_max=138.255 | d_eff_mean=2.53008 | rmse=249.285 | mafe=0.845137
[111/175] [OK] UGC03205 | beta_mean=100.004 | beta_max=142.933 | d_eff_mean=2.49525 | rmse=162.679 | mafe=0.714505
[112/175] [OK] UGC03546 | beta_mean=125.857 | beta_max=144.263 | d_eff_mean=2.61343 | rmse=197.896 | mafe=0.896221
[113/175] [OK] UGC03580 | beta_mean=108.714 | beta_max=141.697 | d_eff_mean=2.52921 | rmse=127.722 | mafe=1.23566
[114/175] [OK] UGC04278 | beta_mean=89.7245 | beta_max=138.107 | d_eff_mean=2.4437 | rmse=65.2873 | mafe=2.2104
[115/175] [OK] UGC04305 | beta_mean=88.2373 | beta_max=135.626 | d_eff_mean=2.433 | rmse=61.8308 | mafe=3.98587
[116/175] [OK] UGC04325 | beta_mean=65.376 | beta_max=128.045 | d_eff_mean=2.33397 | rmse=66.9241 | mafe=0.669345
[117/175] [OK] UGC04483 | beta_mean=77.4408 | beta_max=109.258 | d_eff_mean=2.38473 | rmse=72.5093 | mafe=6.08268
[118/175] [OK] UGC04499 | beta_mean=82.092 | beta_max=107.516 | d_eff_mean=2.40361 | rmse=62.7661 | mafe=1
[119/175] [OK] UGC05005 | beta_mean=77.5043 | beta_max=126.491 | d_eff_mean=2.38267 | rmse=44.1882 | mafe=0.520262
[120/175] [OK] UGC05253 | beta_mean=110.994 | beta_max=139.334 | d_eff_mean=2.53656 | rmse=222.976 | mafe=0.878962
[121/175] [OK] UGC05414 | beta_mean=60.5694 | beta_max=92.9646 | d_eff_mean=2.3122 | rmse=50.5282 | mafe=1.19258
[122/175] [OK] UGC05716 | beta_mean=90.6477 | beta_max=139.163 | d_eff_mean=2.44614 | rmse=60.4873 | mafe=0.932283
[123/175] [OK] UGC05721 | beta_mean=103.647 | beta_max=140.608 | d_eff_mean=2.50725 | rmse=79.4518 | mafe=1.37924
[124/175] [OK] UGC05750 | beta_mean=60.312 | beta_max=135.56 | d_eff_mean=2.31098 | rmse=30.7641 | mafe=1.98517
[125/175] [OK] UGC05764 | beta_mean=62.4243 | beta_max=128.248 | d_eff_mean=2.32012 | rmse=45.6098 | mafe=1.08199
[126/175] [OK] UGC05829 | beta_mean=57.7413 | beta_max=95.0655 | d_eff_mean=2.29633 | rmse=24.6254 | mafe=0.536087
[127/175] [OK] UGC05918 | beta_mean=42.2518 | beta_max=66.6003 | d_eff_mean=2.23531 | rmse=27.4307 | mafe=0.534389
[128/175] [OK] UGC05986 | beta_mean=89.1984 | beta_max=142.239 | d_eff_mean=2.44823 | rmse=95.4192 | mafe=0.833089
[129/175] [OK] UGC05999 | beta_mean=77.5078 | beta_max=90.5023 | d_eff_mean=2.3825 | rmse=48.7467 | mafe=0.570746
[130/175] [OK] UGC06399 | beta_mean=66.0534 | beta_max=128.885 | d_eff_mean=2.3388 | rmse=65.1597 | mafe=0.843067
[131/175] [OK] UGC06446 | beta_mean=77.7557 | beta_max=136.709 | d_eff_mean=2.38808 | rmse=66.9426 | mafe=0.879447
[132/175] [OK] UGC06614 | beta_mean=118.507 | beta_max=155.7 | d_eff_mean=2.58704 | rmse=81.0602 | mafe=0.363201
[133/175] [OK] UGC06628 | beta_mean=47.4309 | beta_max=72.0727 | d_eff_mean=2.25964 | rmse=21.0146 | mafe=0.487982
[134/175] [OK] UGC06667 | beta_mean=60.2985 | beta_max=112.922 | d_eff_mean=2.31233 | rmse=45.3296 | mafe=0.463203
[135/175] [OK] UGC06786 | beta_mean=104.416 | beta_max=144.287 | d_eff_mean=2.51415 | rmse=188.935 | mafe=0.85894
[136/175] [OK] UGC06787 | beta_mean=120.345 | beta_max=141.38 | d_eff_mean=2.58566 | rmse=220.553 | mafe=0.90624
[137/175] [OK] UGC06818 | beta_mean=86.578 | beta_max=129.802 | d_eff_mean=2.4224 | rmse=54.3868 | mafe=0.897286
[138/175] [OK] UGC06917 | beta_mean=87.7196 | beta_max=107.907 | d_eff_mean=2.42549 | rmse=86.5729 | mafe=0.912483
[139/175] [OK] UGC06923 | beta_mean=97.0108 | beta_max=116.723 | d_eff_mean=2.46944 | rmse=69.3863 | mafe=1
[140/175] [OK] UGC06930 | beta_mean=98.8183 | beta_max=142.798 | d_eff_mean=2.48875 | rmse=79.5859 | mafe=0.800175
[141/175] [OK] UGC06973 | beta_mean=134.253 | beta_max=139.689 | d_eff_mean=2.66515 | rmse=173.815 | mafe=1
[142/175] [OK] UGC06983 | beta_mean=106.757 | beta_max=136.052 | d_eff_mean=2.51778 | rmse=87.8079 | mafe=0.867646
[143/175] [OK] UGC07089 | beta_mean=83.8766 | beta_max=126.005 | d_eff_mean=2.41156 | rmse=64.282 | mafe=1.12625
[144/175] [OK] UGC07125 | beta_mean=83.0974 | beta_max=153.493 | d_eff_mean=2.41778 | rmse=38.0487 | mafe=0.585485
[145/175] [OK] UGC07151 | beta_mean=71.9039 | beta_max=107.684 | d_eff_mean=2.35969 | rmse=67.8233 | mafe=1.18207
[146/175] [OK] UGC07232 | beta_mean=68.1455 | beta_max=120.637 | d_eff_mean=2.33675 | rmse=136.33 | mafe=4.57389
[147/175] [OK] UGC07261 | beta_mean=96.2512 | beta_max=127.863 | d_eff_mean=2.46842 | rmse=72.8759 | mafe=1.05449
[148/175] [OK] UGC07323 | beta_mean=36.6009 | beta_max=113.103 | d_eff_mean=2.2063 | rmse=43.1819 | mafe=0.604635
[149/175] [OK] UGC07399 | beta_mean=96.8943 | beta_max=118.171 | d_eff_mean=2.46905 | rmse=89.903 | mafe=1
[150/175] [OK] UGC07524 | beta_mean=37.5447 | beta_max=119.181 | d_eff_mean=2.20808 | rmse=34.8207 | mafe=0.555817
[151/175] [OK] UGC07559 | beta_mean=50.0693 | beta_max=81.8598 | d_eff_mean=2.26762 | rmse=32.6183 | mafe=1.71583
[152/175] [OK] UGC07577 | beta_mean=63.143 | beta_max=134.481 | d_eff_mean=2.3202 | rmse=54.503 | mafe=6.49085
[153/175] [OK] UGC07603 | beta_mean=97.5477 | beta_max=136.159 | d_eff_mean=2.4796 | rmse=54.1388 | mafe=0.920744
[154/175] [OK] UGC07608 | beta_mean=14.9501 | beta_max=38.9982 | d_eff_mean=2.10646 | rmse=31.8073 | mafe=0.606775
[155/175] [OK] UGC07690 | beta_mean=115.148 | beta_max=139.318 | d_eff_mean=2.56423 | rmse=56.6756 | mafe=1
[156/175] [OK] UGC07866 | beta_mean=47.8366 | beta_max=91.5366 | d_eff_mean=2.24378 | rmse=22.9245 | mafe=0.720356
[157/175] [OK] UGC08286 | beta_mean=81.8427 | beta_max=134.798 | d_eff_mean=2.4084 | rmse=70.7493 | mafe=0.838288
[158/175] [OK] UGC08490 | beta_mean=113.37 | beta_max=140.309 | d_eff_mean=2.55372 | rmse=75.3937 | mafe=0.9701
[159/175] [OK] UGC08550 | beta_mean=78.0837 | beta_max=136.354 | d_eff_mean=2.38923 | rmse=46.0955 | mafe=0.917555
[160/175] [OK] UGC08699 | beta_mean=110.476 | beta_max=151.595 | d_eff_mean=2.54011 | rmse=164.483 | mafe=0.856228
[161/175] [OK] UGC08837 | beta_mean=43.1569 | beta_max=79.9476 | d_eff_mean=2.22786 | rmse=32.6288 | mafe=0.901864
[162/175] [OK] UGC09037 | beta_mean=114.199 | beta_max=134.248 | d_eff_mean=2.55436 | rmse=59.9739 | mafe=0.444851
[163/175] [OK] UGC09133 | beta_mean=119.558 | beta_max=138.527 | d_eff_mean=2.58233 | rmse=205.863 | mafe=0.664451
[164/175] [OK] UGC09992 | beta_mean=84.473 | beta_max=121.466 | d_eff_mean=2.41602 | rmse=32.0947 | mafe=1
[165/175] [OK] UGC10310 | beta_mean=70.1174 | beta_max=131.921 | d_eff_mean=2.35831 | rmse=56.597 | mafe=0.82422
[166/175] [OK] UGC11455 | beta_mean=85.6198 | beta_max=141.639 | d_eff_mean=2.43188 | rmse=68.6256 | mafe=0.404026
[167/175] [OK] UGC11557 | beta_mean=61.4002 | beta_max=143.599 | d_eff_mean=2.31979 | rmse=67.3646 | mafe=3.32793
[168/175] [OK] UGC11820 | beta_mean=76.8314 | beta_max=128.991 | d_eff_mean=2.38712 | rmse=68.5291 | mafe=2.04922
[169/175] [OK] UGC11914 | beta_mean=102.94 | beta_max=139.514 | d_eff_mean=2.49688 | rmse=280.634 | mafe=1
[170/175] [OK] UGC12506 | beta_mean=95.8435 | beta_max=133.538 | d_eff_mean=2.47052 | rmse=87.3442 | mafe=0.36686
[171/175] [OK] UGC12632 | beta_mean=44.2746 | beta_max=86.9232 | d_eff_mean=2.23209 | rmse=38.2968 | mafe=0.589519
[172/175] [OK] UGC12732 | beta_mean=59.0118 | beta_max=112.478 | d_eff_mean=2.30357 | rmse=55.7083 | mafe=0.690772
[173/175] [OK] UGCA281 | beta_mean=86.0669 | beta_max=122.888 | d_eff_mean=2.42124 | rmse=157.379 | mafe=9.75986
[174/175] [OK] UGCA442 | beta_mean=95.1846 | beta_max=149.482 | d_eff_mean=2.47418 | rmse=50.2155 | mafe=1.35138
[175/175] [OK] UGCA444 | beta_mean=95.0597 | beta_max=149.81 | d_eff_mean=2.46896 | rmse=57.9161 | mafe=2.40908
------------------------------------------------------------------------
finished_at: 2026-03-23T15:17:27.218610
successful_files: 175
failed_files: 0
summary_csv: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling\2026-03-23_151701_local_structural_coupling\summaries\rotation_pipeline_summary_local_structural_coupling.csv
