galaxy,n_points,chi2,reduced_chi2,rmse_kmps,mae_kmps,mean_abs_residual_kmps,max_abs_residual_kmps,status,source_file,rs_kpc
NGC7331,36,5917.256242500696,169.06446407144847,71.04385658685518,56.208862038615656,56.208862038615656,135.35044961004849,success,data\raw\sparc_csv\NGC7331.csv,5.0
NGC7793,46,116.89254652096827,2.597612144910406,11.486837363798388,8.568020960240137,8.568020960240137,23.093032042444648,success,data\raw\sparc_csv\NGC7793.csv,5.0
NGC7814,18,2543.3692222437808,149.60995424963417,51.67704354593281,46.424249678525904,46.424249678525904,82.4947778024873,success,data\raw\sparc_csv\NGC7814.csv,5.0
PGC51017,6,24.386074460347665,4.877214892069533,4.815588881343433,4.3801123034082785,4.3801123034082785,8.581879342782269,success,data\raw\sparc_csv\PGC51017.csv,5.0
UGC00128,22,88657.9858527221,4221.808850129623,61.90798295215949,59.617252602225555,59.617252602225555,79.36791411516259,success,data\raw\sparc_csv\UGC00128.csv,5.0
UGC00191,9,4689.449609516049,586.1812011895062,23.831490758619328,21.37283710710186,21.37283710710186,37.404311287268,success,data\raw\sparc_csv\UGC00191.csv,5.0
UGC00634,4,4754.900715337168,1584.9669051123892,48.762603305365005,46.3345980739374,46.3345980739374,61.50792133421234,success,data\raw\sparc_csv\UGC00634.csv,5.0
UGC00731,12,2089.646000504063,189.96781822764208,36.16596928486053,35.838749791274196,35.838749791274196,41.13369778688222,success,data\raw\sparc_csv\UGC00731.csv,5.0
UGC00891,5,7359.361068517001,1839.8402671292502,25.538963308819817,22.640719531656053,22.640719531656053,37.00899590516467,success,data\raw\sparc_csv\UGC00891.csv,5.0
UGC01230,11,163.8754343782509,16.38754343782509,43.09018329129464,40.072985680915956,40.072985680915956,51.67736673556944,success,data\raw\sparc_csv\UGC01230.csv,5.0
UGC01281,25,432.63452216217394,18.026438423423915,18.461825570134042,15.644643360869201,15.644643360869201,29.712778140016585,success,data\raw\sparc_csv\UGC01281.csv,5.0
UGC02023,5,5.180715630751629,1.2951789076879072,8.845647965450617,6.423782028364076,6.423782028364076,17.38293950556124,success,data\raw\sparc_csv\UGC02023.csv,5.0
UGC02259,8,3455.5034045332095,493.6433435047442,39.09287169975365,38.786450326557436,38.786450326557436,47.737930312892566,success,data\raw\sparc_csv\UGC02259.csv,5.0
UGC02455,8,755.7110788807568,107.95872555439382,35.37808204018852,33.10474494883046,33.10474494883046,50.56471608531322,success,data\raw\sparc_csv\UGC02455.csv,5.0
UGC02487,17,21499.868178260105,1343.7417611412566,106.11217535726804,98.90348691973338,98.90348691973338,157.00697436498768,success,data\raw\sparc_csv\UGC02487.csv,5.0
UGC02885,19,650.0822222242452,36.11567901245807,58.49346442234044,50.14442575263611,50.14442575263611,98.75279970982675,success,data\raw\sparc_csv\UGC02885.csv,5.0
UGC02916,43,10627.990489389125,253.047392604503,40.1237090532165,32.16407443289101,32.16407443289101,73.828212200481,success,data\raw\sparc_csv\UGC02916.csv,5.0
UGC02953,115,60566.77525603057,531.2875022458821,62.15460764705954,53.59917174691548,53.59917174691548,149.5902032922327,success,data\raw\sparc_csv\UGC02953.csv,5.0
UGC03205,48,7834.5160453857025,166.69183075288728,33.47165451523416,25.083210153712187,25.083210153712187,99.42483294759613,success,data\raw\sparc_csv\UGC03205.csv,5.0
UGC03546,30,2432.569623663456,83.88171116080882,72.18296074645906,61.3269897617034,61.3269897617034,135.97377313084337,success,data\raw\sparc_csv\UGC03546.csv,5.0
UGC03580,47,14922.498399621842,324.40213912221395,39.24379360017751,35.64497834681562,35.64497834681562,65.73465918937448,success,data\raw\sparc_csv\UGC03580.csv,5.0
UGC04278,25,789.4740447221604,32.89475186342335,27.66685900630416,23.33394545935331,23.33394545935331,43.644144754583635,success,data\raw\sparc_csv\UGC04278.csv,5.0
UGC04305,22,54.0146971678187,2.5721284365627954,5.062102565910229,4.535251635608995,4.535251635608995,10.058671109343358,success,data\raw\sparc_csv\UGC04305.csv,5.0
UGC04325,8,1071.7265124995738,153.1037874999391,35.331222541708,34.849333573595274,34.849333573595274,40.51527174626136,success,data\raw\sparc_csv\UGC04325.csv,5.0
UGC04483,8,171.8106694761895,24.544381353741358,7.079526352533245,6.1887150426910615,6.1887150426910615,10.035127059801761,success,data\raw\sparc_csv\UGC04483.csv,5.0
UGC04499,9,552.4819588259073,69.06024485323842,21.50254779202607,19.913979674327265,19.913979674327265,28.129192977963783,success,data\raw\sparc_csv\UGC04499.csv,5.0
UGC05005,11,117.88790749400457,11.788790749400457,33.6105146121397,27.089254493195984,27.089254493195984,52.552806194675746,success,data\raw\sparc_csv\UGC05005.csv,5.0
UGC05253,73,12206.801220381341,169.53890583862974,44.11479672149503,40.81382805055727,40.81382805055727,87.58487663842786,success,data\raw\sparc_csv\UGC05253.csv,5.0
UGC05414,6,156.68058745615127,31.336117491230254,12.492346698655776,10.588449198109409,10.588449198109409,19.89521834776143,success,data\raw\sparc_csv\UGC05414.csv,5.0
UGC05716,12,23613.513068319808,2146.6830062108916,34.85016584625407,33.87458071290356,33.87458071290356,43.261490243049906,success,data\raw\sparc_csv\UGC05716.csv,5.0
UGC05721,23,1439.4237211969412,65.42835096349732,36.993423389983725,33.28926902487841,33.28926902487841,48.697879943094826,success,data\raw\sparc_csv\UGC05721.csv,5.0
UGC05750,11,86.20098510014236,8.620098510014236,20.787271481906608,17.56648943622191,17.56648943622191,33.386538255149176,success,data\raw\sparc_csv\UGC05750.csv,5.0
UGC05764,10,19741.71359545095,2193.5237328278836,27.9551391121523,27.41212957678049,27.41212957678049,32.74932322034773,success,data\raw\sparc_csv\UGC05764.csv,5.0
UGC05829,11,187.5089756647981,18.75089756647981,20.89128746050334,20.091786116564347,20.091786116564347,28.52350189949226,success,data\raw\sparc_csv\UGC05829.csv,5.0
UGC05918,8,174.95036709011455,24.99290958430208,18.378285164393436,17.99227596764144,17.99227596764144,21.430557007157713,success,data\raw\sparc_csv\UGC05918.csv,5.0
UGC05986,15,2612.37730332137,186.5983788086693,38.97404649965343,35.09265477037129,35.09265477037129,53.414943031520394,success,data\raw\sparc_csv\UGC05986.csv,5.0
UGC05999,5,276.66669531488907,69.16667382872227,37.193191266338594,34.05701963478664,34.05701963478664,47.325514394685875,success,data\raw\sparc_csv\UGC05999.csv,5.0
UGC06399,9,354.4885822281997,44.31107277852496,28.750319030139067,26.554073158420877,26.554073158420877,39.446869260659696,success,data\raw\sparc_csv\UGC06399.csv,5.0
UGC06446,17,1210.1033940262878,75.63146212664299,37.53259665468298,36.53751918731076,36.53751918731076,44.586919119797344,success,data\raw\sparc_csv\UGC06446.csv,5.0
UGC06614,13,198.2379517174073,16.51982930978394,48.91934080062853,42.543719473791874,42.543719473791874,88.47135290347822,success,data\raw\sparc_csv\UGC06614.csv,5.0
UGC06628,7,6.670312378891293,1.1117187298152154,8.072900058646603,6.5691968556030185,6.5691968556030185,14.002395153314751,success,data\raw\sparc_csv\UGC06628.csv,5.0
UGC06667,9,1737.859220831554,217.23240260394425,45.27733630984675,44.06960845491823,44.06960845491823,52.25051653963486,success,data\raw\sparc_csv\UGC06667.csv,5.0
UGC06786,45,26768.805727653722,608.3819483557664,51.589408933621336,37.80216226629477,37.80216226629477,112.29290848717811,success,data\raw\sparc_csv\UGC06786.csv,5.0
UGC06787,71,41538.57541253535,593.4082201790765,64.41336932437486,52.17813772296677,52.17813772296677,139.19653691616816,success,data\raw\sparc_csv\UGC06787.csv,5.0
UGC06818,8,106.95768491030458,15.279669272900653,20.175495852306163,16.75964923752816,16.75964923752816,33.84398195088675,success,data\raw\sparc_csv\UGC06818.csv,5.0
UGC06917,11,596.9613475787024,59.69613475787024,30.603998657699744,28.466253429309383,28.466253429309383,41.0414617324294,success,data\raw\sparc_csv\UGC06917.csv,5.0
UGC06923,6,58.34697475112888,11.669394950225776,15.1054378478316,13.9940109859468,13.9940109859468,20.755929868793224,success,data\raw\sparc_csv\UGC06923.csv,5.0
UGC06930,10,260.04668697769443,28.894076330854936,31.485550365605146,29.676196301069137,29.676196301069137,42.644890023809154,success,data\raw\sparc_csv\UGC06930.csv,5.0
UGC06973,9,3517.653585133075,439.7066981416344,88.41815539120155,65.45113733694694,65.45113733694694,187.2829861608302,success,data\raw\sparc_csv\UGC06973.csv,5.0
UGC06983,17,1098.4419386335956,68.65262116459972,42.35043357382856,40.49480044222983,40.49480044222983,52.25614169546595,success,data\raw\sparc_csv\UGC06983.csv,5.0
UGC07089,12,76.082767344901,6.916615213172818,14.928726535103594,12.011735271494151,12.011735271494151,26.495722607377253,success,data\raw\sparc_csv\UGC07089.csv,5.0
UGC07125,13,475.0170558639129,39.58475465532607,14.698599189568334,13.431233675807308,13.431233675807308,21.64131185530472,success,data\raw\sparc_csv\UGC07125.csv,5.0
UGC07151,11,394.979383103902,39.497938310390204,15.566865119323268,14.17969959856331,14.17969959856331,20.616228987230457,success,data\raw\sparc_csv\UGC07151.csv,5.0
UGC07232,4,30.458056720101787,10.152685573367263,9.106155029455469,6.197250856988819,6.197250856988819,16.548899839897125,success,data\raw\sparc_csv\UGC07232.csv,5.0
