galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,v_obs_segment_kms,v_vis_segment_kms,v_err_segment_kms,mass_bar_segment_msun,n_points,density_ref_gal_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_density_eff_msun_per_kpc3,alpha_geom_i,alpha_dens_i,Dw_i,sigma_i,ell_info_kpc,c_info_gal,tau_struct_gal,propagation_source_i,propagation_term_i,delta_struct_i,DeltaD_i
NGC4013,4,21.48,25.2,23.34,3.719999999999999,1.6299999999999997,172.5,126.15143218923197,5.0,86362432811.85263,6,610229883.7962602,141.52442399999995,610229883.7962602,2.035453023653029,2.152436619017898,2.0939448213354632,0.016686232970035242,4.42,1.0,2.0,0.3488544566938156,0.08539193597683783,0.42267791947723043,0.42267791947723043
NGC4013,5,25.9,31.01,28.455,5.110000000000003,1.63,177.5,114.36964773183456,6.125,86540580121.68549,8,610229883.7962602,237.01023150000012,365134363.9216919,2.026729381330184,2.0988697214062424,2.0627995513682134,0.031145269967249867,4.42,1.0,2.0,0.5,0.11663407967699828,0.5,0.5
NGC4068,1,0.21,2.33,1.27,2.12,0.7400000000000001,24.763333333333335,22.163802660980462,2.9866666666666664,145054736.8955648,6,72804900.72936271,1.9923760000000004,72804900.72936271,2.206228003956993,2.3840140594118235,2.295121031684408,0.0,2.12,1.0,2.0,0.0,0.0,0.0,0.0
NGC4088,1,1.74,6.98,4.36,5.24,1.41,140.475,206.23582623980633,8.925,43117577877.2855,4,1338497201.579239,32.213424,1338497201.579239,2.0886953301209505,2.2378253204756997,2.1632603252983253,0.036533128614173016,5.24,1.0,2.0,0.4482153891180077,0.12640735408925513,0.42092604874546985,0.42092604874546985
NGC4088,2,8.72,13.94,11.33,5.219999999999999,1.41,176.5,228.6614531039015,6.625,137738539364.0437,4,1338497201.579239,83.39106599999998,1651718175.2304704,2.0438904639887947,2.2095639293795095,2.1267271966841523,0.04497484612552172,5.24,1.0,2.0,0.5,0.17390039466138707,0.5,0.5
NGC4088,3,15.68,21.48,18.58,5.800000000000001,1.41,169.5,176.15766912675343,6.975,134056681773.51591,4,1338497201.579239,151.94724,882258090.199703,2.029469563753979,2.117151702340585,2.073310633047282,0.05341656363687042,5.24,1.0,2.0,0.5428986510699197,0.21306613312727674,0.550606106282246,0.550606106282246
NGC4157,1,1.74,6.98,4.36,5.24,14.28,161.6,215.8670910476772,9.475,47238816982.59291,4,119491006.83341289,326.246592,144794821.28227997,2.474583496171718,2.272356849047882,2.3734701726098,0.1254597241737856,5.2299999999999995,1.0,2.0,0.599321603110757,0.120185426724086,0.4773872325562797,0.4773872325562797
NGC4157,2,8.72,13.94,11.33,5.219999999999999,14.28,192.75,227.09331741195047,6.525,135855825077.28787,4,119491006.83341289,844.5563279999999,160860585.10627592,2.273680400740038,2.2223404961319906,2.2480104484360144,0.10069780356274993,5.2299999999999995,1.0,2.0,0.5455678236327723,0.14068902333789973,0.5167445759734649,0.5167445759734649
NGC4157,3,15.68,20.9,18.29,5.219999999999999,14.28,182.5,173.7702629094548,6.699999999999999,128411602923.09045,4,119491006.83341289,1363.3658639999996,94187192.38454579,2.209174753176511,2.1349743777920893,2.1720745654843,0.0670552054901512,5.2299999999999995,1.0,2.0,0.44427513265950175,0.12593290097737525,0.4890519118528935,0.4890519118528935
NGC4157,4,22.65,29.61,26.13,6.960000000000001,14.279999999999998,185.2,143.6010859755771,10.84,125283680563.79454,5,119491006.83341289,2597.0293439999996,48241149.393726125,2.1550088044298645,2.0727912704815594,2.113900037455712,0.058174528028588135,5.2299999999999995,1.0,2.0,0.4095325953089992,0.13720961387517375,0.5104887606428204,0.5104887606428204
