_RAJ2000,_DEJ2000,UGC,RAJ2000,DEJ2000,Type,f_Type,HRV,Dist,Bmag,Ksmag,KMag,B-K,mu0,hR,r23.5,Sel,Ha,f_Ha,sigma,n_sigma,Spz,HI,2M,Simbad,NED
186.625417,+8.872500,7537,12 26 30.1,+08 52 21,SBc,,1281,13.8,13.5,,,,21.3,21.0,45.9,4,,,,,,,2M,Simbad,NED
186.695000,+7.919167,7541,12 26 46.8,+07 55 09,SBcd,3,1392,13.8,13.1,10.59,-20.1,2.4,20.4,16.2,40.4,"4,d",S,,,,,,2M,Simbad,NED
188.112500,+42.704167,7690,12 32 27.0,+42 42 15,Im,2,537,8.9,13.5,11.31,-18.4,2.1,20.8,14.3,31.3,d,,,,,,,2M,Simbad,NED
188.482083,+3.546667,7715,12 33 55.7,+03 32 48,Im,,1138,13.5,14.6,,,,21.2,14.1,29.2,d,,,,,,,2M,Simbad,NED
189.034167,+19.322500,7768,12 36 08.2,+19 19 21,SBcd,,1407,14.1,13.2,10.35,-20.4,2.7,19.8,12.9,42.6,d,S,,,,,,2M,Simbad,NED
190.436250,+35.063056,7856,12 41 44.7,+35 03 47,SBb,1,6927,102.2,13.5,9.78,-25.3,3.7,18.9,7.6,31.9,4,,,,,,,2M,Simbad,NED
190.470000,+41.274167,7861,12 41 52.8,+41 16 27,SABm,1,609,10.2,13.0,,,,19.9,13.0,41.0,d,S,,,,,,2M,Simbad,NED
191.109167,+37.121389,7917,12 44 26.2,+37 07 17,SBbc,,6985,102.9,13.8,9.68,-25.4,4.0,20.6,16.4,41.9,"4,d",S,,"P,M",,y,W,2M,Simbad,NED
191.690833,+5.955278,7943,12 46 45.8,+05 57 19,Scd,,836,13.6,13.6,,,,20.8,17.4,42.8,4,,,,,,,2M,Simbad,NED
193.462083,+9.710278,8022,12 53 50.9,+09 42 37,SBbc,3,2830,45.7,13.0,9.76,-23.5,3.2,20.2,18.9,50.7,4,,,,,,,2M,Simbad,NED
194.787500,+37.310556,8099,12 59 09.0,+37 18 38,Sab,,4665,71.5,13.1,9.45,-24.8,3.6,19.6,11.4,37.4,4,S,,,,,,2M,Simbad,NED
195.234167,+27.790833,8128,13 00 56.2,+27 47 27,SABbc,,7985,117.2,13.6,,,,20.5,12.3,29.6,d,,,,,,,2M,Simbad,NED
195.657500,+50.438611,8150,13 02 37.8,+50 26 19,Sc,,7088,103.4,14.2,10.66,-24.4,3.4,20.8,11.3,24.5,4,,,,,,,2M,Simbad,NED
196.518750,+55.656111,8196,13 06 04.5,+55 39 22,Sb,,8329,119.7,14.0,9.96,-25.4,4.0,20.3,10.7,29.9,"4,d",S,,P,,y,W,2M,Simbad,NED
197.174167,+52.774167,8230,13 08 41.8,+52 46 27,SABab,,7152,104.1,14.5,10.14,-25.0,4.3,20.0,9.7,30.1,4,S,,M,,y,W,2M,Simbad,NED
198.635000,+30.706111,8319,13 14 32.4,+30 42 22,Scd,,7477,110.2,13.6,10.38,-24.8,3.2,20.7,10.8,29.1,"4,d",S,,,,,,2M,Simbad,NED
199.542083,-1.243889,8360,13 18 10.1,-01 14 38,SABcd,1,5733,87.8,13.8,10.43,-24.3,3.2,19.3,7.9,30.6,4,,,,,,,2M,Simbad,NED
201.619167,+36.010556,8447,13 26 28.6,+36 00 38,Scd,,5579,84.2,14.3,10.77,-23.9,3.5,20.9,14.0,28.9,"4,d",S,,,,,,2M,Simbad,NED
203.205000,+7.169722,8523,13 32 49.2,+07 10 11,Sa,,6866,103.1,13.8,9.60,-25.5,4.1,20.5,14.8,39.8,d,,,,,,,2M,Simbad,NED
203.883333,+13.675833,8573,13 35 32.0,+13 40 33,Sc,,6852,102.7,12.9,9.72,-25.3,3.1,19.8,16.9,51.4,"p,4",S,,,,,,2M,Simbad,NED
204.109167,+7.369722,8589,13 36 26.2,+07 22 11,SBbc,,7018,105.5,13.6,10.05,-25.1,3.4,20.7,13.8,38.7,d,,,,,,,2M,Simbad,NED
204.205833,+44.881111,8611,13 36 49.4,+44 52 52,SABcd,,2640,43.7,14.6,,,,20.8,11.5,30.0,"4,d",S,g,,,,,2M,Simbad,NED
207.412083,+4.238333,8740,13 49 38.9,+04 14 18,SABab,,7034,105.6,13.8,9.40,-25.7,4.3,20.0,12.0,37.5,"4,d",S,,,,,,2M,Simbad,NED
208.017500,-2.205833,8768,13 52 04.2,-02 12 21,SABb,,4364,68.4,13.5,9.79,-24.4,3.5,20.0,11.2,36.5,"4,d",S,,,,,,2M,Simbad,NED
207.947083,+50.978333,8775,13 51 47.3,+50 58 42,Scd,,4055,62.6,14.1,10.50,-23.5,3.5,20.1,9.8,30.4,4,S,,,,,,2M,Simbad,NED
209.658333,+60.796667,8909,13 58 38.0,+60 47 48,SABcd,,1670,29.8,14.3,,,,21.0,13.6,30.1,4,S,g,,,,,2M,Simbad,NED
214.498333,+25.136667,9149,14 17 59.6,+25 08 12,S0/a,5,5149,79.1,13.0,9.34,-25.2,3.6,20.4,14.4,41.7,d,,,,,,,2M,Simbad,NED
215.127083,+10.432222,9177,14 20 30.5,+10 25 56,Scd,,9009,132.4,14.0,11.01,-24.6,2.8,20.8,11.4,28.4,d,S,,P,,y,G,2M,Simbad,NED
215.735833,+40.417222,9216,14 22 56.6,+40 25 02,Scd,,5517,83.2,14.4,10.81,-23.8,3.6,20.2,10.8,31.9,d,S,,,,,,2M,Simbad,NED
217.546667,+27.531944,9317,14 30 11.2,+27 31 55,SBc,,4496,70.1,14.3,11.40,-22.8,2.8,21.2,11.0,23.6,4,S,,,,,,2M,Simbad,NED
217.543750,+31.215556,9318,14 30 10.5,+31 12 56,Sb,2,3562,57.0,13.0,9.14,-24.6,3.9,20.3,13.0,37.7,d,S,,,,,,2M,Simbad,NED
219.047917,+48.585556,9406,14 36 11.5,+48 35 08,SBcd,,2279,38.7,14.0,10.67,-22.3,3.2,19.7,11.2,38.9,d,S,,,,,,2M,Simbad,NED
221.332083,+38.731111,9505,14 45 19.7,+38 43 52,SBb,,4561,70.3,,9.90,-24.3,,20.2,12.9,35.1,d,S,,,,,,2M,Simbad,NED
222.177500,+12.457222,9535,14 48 42.6,+12 27 26,Sa,2,1792,31.6,13.7,10.54,-22.0,3.0,21.7,17.3,28.6,d,,,,,,,2M,Simbad,NED
222.399583,+25.381389,9544,14 49 35.9,+25 22 53,S0,,10178,147.4,14.2,10.25,-25.6,3.8,21.2,15.4,33.5,d,S,,,,,,2M,Simbad,NED
223.033750,-2.529444,9564,14 52 08.1,-02 31 46,Sc,,1962,31.9,13.3,9.64,-22.9,3.3,19.6,11.7,40.2,d,S,,,,,,2M,Simbad,NED
223.000000,+43.720833,9569,14 52 00.0,+43 43 15,SBcd,,2493,41.9,14.0,11.35,-21.8,2.6,20.7,14.6,35.6,4,S,,,,,,2M,Simbad,NED
224.007500,-1.388333,9601,14 56 01.8,-01 23 18,SBcd,1,1839,30.4,13.9,11.30,-21.1,2.3,20.7,14.5,35.7,4,,,,,,,2M,Simbad,NED
223.973333,+49.726111,9610,14 55 53.6,+49 43 34,S,,4171,64.3,14.2,10.07,-24.0,4.1,20.2,9.2,29.0,dD,S,g,,,,,2M,Simbad,NED
225.515417,+1.840556,9661,15 02 03.7,+01 50 26,SBdm,,1242,22.0,14.4,11.14,-20.6,3.1,20.3,11.3,32.3,d,,,,,,,2M,Simbad,NED
227.805417,+46.151667,9761,15 11 13.3,+46 09 06,SB0/a,,5578,83.5,14.0,9.50,-25.1,4.3,19.6,10.0,35.3,4,,,,,,,2M,Simbad,NED
228.392917,+41.958611,9774,15 13 34.3,+41 57 31,SBb,,5381,81.2,13.9,10.15,-24.4,3.7,19.5,9.4,31.7,4,S,,,,,,2M,Simbad,NED
230.309167,+41.725833,9823,15 21 14.2,+41 43 33,SABbc,,5568,83.7,14.1,10.36,-24.3,3.7,20.3,14.0,40.8,"4,d",S,,,,,,2M,Simbad,NED
230.965833,+58.053056,9837,15 23 51.8,+58 03 11,SABc,,2657,43.2,14.1,11.28,-21.9,2.8,21.1,16.6,35.9,"p,4,d",S,,"P,M,C",g,y,W,2M,Simbad,NED
232.939167,+67.556111,9896,15 31 45.4,+67 33 22,Scd,2,6471,93.6,14.1,10.40,-24.5,3.6,20.5,11.6,29.8,"p,d",S,,,,,,2M,Simbad,NED
233.744167,+11.750278,9908,15 34 58.6,+11 45 01,Scd,,1899,33.0,13.1,9.76,-22.8,3.2,19.8,10.2,34.0,"4,d",S,,,,,,2M,Simbad,NED
235.028333,+20.680833,9965,15 40 06.8,+20 40 51,Sc,,4528,70.6,14.0,10.63,-23.6,3.2,20.9,15.9,29.9,"4,d","S,D",g,"P,M,C",g,y,G,2M,Simbad,NED
236.435417,+20.560278,10020,15 45 44.5,+20 33 37,Scd,,2093,36.3,13.5,11.21,-21.6,2.1,21.3,16.3,33.2,"p,4,d",S,,,,,,2M,Simbad,NED
237.607917,+18.139722,10055,15 50 25.9,+18 08 23,Scd,,13989,199.3,14.1,10.66,-25.9,3.3,21.1,12.6,25.9,4,S,g,,,,,2M,Simbad,NED
238.233333,+21.100833,10076,15 52 56.0,+21 06 03,SBb,,4869,75.2,13.8,10.09,-24.3,3.5,19.4,8.8,32.5,4,S,,,,,,2M,Simbad,NED
239.366250,+30.059722,10104,15 57 27.9,+30 03 35,Sbc,,9841,142.3,13.5,10.61,-25.2,2.8,21.5,17.2,31.1,"4,d",S,,,,,,2M,Simbad,NED
240.669167,+37.359722,10149,16 02 40.6,+37 21 35,Sc,,9392,135.6,14.1,10.04,-25.6,4.0,18.9,8.8,36.9,p,S,,M,,,"G,W",2M,Simbad,NED
243.147083,+29.365000,10269,16 12 35.3,+29 21 54,Sa,,10202,147.0,13.9,9.90,-26.0,3.8,20.9,14.2,34.4,"4,d",S,g,P,g,,,2M,Simbad,NED
244.419167,+35.004167,10316,16 17 40.6,+35 00 15,E/S0,,8857,128.4,14.4,10.13,-25.4,4.2,21.0,12.5,28.2,d,S,g,,,,,2M,Simbad,NED
247.766250,+41.155833,10436,16 31 03.9,+41 09 21,Sc,,9064,130.6,14.3,10.66,-24.9,3.6,20.4,8.9,23.7,"p,4","S,D",,,,,,2M,Simbad,NED
248.028333,+58.439167,10443,16 32 06.8,+58 26 21,Scd,,3351,52.2,13.3,10.03,-23.6,3.3,20.5,13.6,38.4,d,S,,"P,M",g,,"G,W",2M,Simbad,NED
248.673333,+46.392222,10458,16 34 41.6,+46 23 32,Scd,,5439,81.1,14.3,10.60,-23.9,3.6,20.7,12.0,28.1,4,S,g,,,,,2M,Simbad,NED
249.747500,+57.724167,10500,16 38 59.4,+57 43 27,S0/a,,5218,77.3,13.9,10.03,-24.4,3.8,21.0,15.1,35.0,"4,d",S,,,,,,2M,Simbad,NED
250.835417,+70.632222,10537,16 43 20.5,+70 37 56,SBa,,4437,65.7,13.5,10.13,-24.0,3.2,20.6,12.4,36.0,"4,d",S,,,,,,2M,Simbad,NED
252.702500,+45.401944,10586,16 50 48.6,+45 24 07,S0/a,1,9384,134.4,14.4,10.59,-25.1,3.7,20.9,11.2,26.9,"p,4,d",S,,,,,,2M,Simbad,NED
262.406667,+75.704444,10897,17 29 37.6,+75 42 16,Sc,,1313,23.7,12.6,9.35,-22.5,3.1,20.2,25.6,65.8,4,S,,,,,,2M,Simbad,NED
267.970000,+31.462222,11014,17 51 52.8,+31 27 44,Sbc,,4743,71.6,13.7,10.44,-23.9,3.1,20.4,10.1,27.1,"4,d",S,,,,,,2M,Simbad,NED
279.801250,+55.641944,11318,18 39 12.3,+55 38 31,SBbc,,5886,85.1,13.8,9.93,-24.7,3.7,20.6,16.9,34.9,4,S,,P,,y,"V,W",2M,Simbad,NED
340.544167,+19.996944,12158,22 42 10.6,+19 59 49,Sb/Ia,,9289,126.7,14.5,10.53,-25.0,3.8,20.7,11.9,30.3,"4,d",S,,,,,,2M,Simbad,NED
342.183750,+27.584167,12193,22 48 44.1,+27 35 03,SBbc,,9566,130.4,13.9,10.28,-25.3,3.4,20.3,12.5,32.7,4,S,,,,,,2M,Simbad,NED
342.762917,+7.296111,12213,22 51 03.1,+07 17 46,SABdm,,3206,44.8,,11.46,-21.8,,21.5,15.5,25.7,"4,d",S,,,,,,2M,Simbad,NED
343.160417,+6.093611,12224,22 52 38.5,+06 05 37,Scd,,3506,48.7,14.3,10.33,-23.1,3.7,21.2,20.6,36.7,"4,dD",S,,,,,,2M,Simbad,NED
344.542083,+14.308611,12270,22 58 10.1,+14 18 31,SABcd,,2116,30.3,13.8,11.20,-21.2,2.5,20.8,18.4,43.7,"4,d",S,,,,,,2M,Simbad,NED
345.204583,+26.740833,12303,23 00 49.1,+26 44 27,Sb,,7962,108.4,14.2,10.22,-25.0,3.8,20.5,10.3,29.2,"4,d",S,,,,,,2M,Simbad,NED
346.520000,+14.866944,12359,23 06 04.8,+14 52 01,S,,10703,145.2,,10.09,-25.8,,20.8,13.5,32.1,d,S,g,,,,,2M,Simbad,NED
347.238750,+12.047778,12391,23 08 57.3,+12 02 52,SABc,,4887,66.8,14.0,10.33,-23.8,3.4,20.6,15.4,39.2,"4,d",S,,"P,M",,y,G,2M,Simbad,NED
348.203750,+12.678611,12418,23 12 48.9,+12 40 43,S,,4475,61.3,13.6,9.29,-24.7,4.2,19.9,13.7,42.8,"4,d",S,,,,,,2M,Simbad,NED
348.552917,+13.581944,12438,23 14 12.7,+13 34 55,Scd,,4604,64.4,14.6,,,,21.0,14.4,32.1,"4,d",S,,,,,,2M,Simbad,NED
351.205833,+15.275833,12586,23 24 49.4,+15 16 33,Sb,,4265,58.3,13.5,9.66,-24.2,3.6,20.1,12.7,39.2,"4,d",S,,,,,,2M,Simbad,NED
354.131250,+0.297222,12702,23 36 31.5,+00 17 50,SABb,,2571,35.6,12.8,9.27,-23.5,3.4,19.6,14.3,49.8,4,S,,M,,,G,2M,Simbad,NED
355.870000,+13.209444,12753,23 43 28.8,+13 12 34,SABbc,,11867,160.2,14.3,9.87,-26.2,4.2,20.5,13.7,37.8,"4,d",,,,,,,2M,Simbad,NED
356.066250,+10.767222,12760,23 44 15.9,+10 46 02,S0/a,2,1663,23.6,12.6,8.61,-23.3,3.8,20.0,12.4,39.5,"4,d",S,,,,,,2M,Simbad,NED
357.018750,+17.475000,12784,23 48 04.5,+17 28 30,SABbc,,9953,134.3,14.5,,,,20.5,8.9,24.0,4,D,,,,,,2M,Simbad,NED
357.766667,+20.150278,12808,23 51 04.0,+20 09 01,Sab,4,4211,57.2,12.9,8.91,-24.9,3.7,19.6,13.4,52.2,4,S,,,,,,2M,Simbad,NED
359.029583,-0.916389,12852,23 56 07.1,-00 54 59,Sbc,1,7334,98.2,13.8,10.01,-25.0,3.7,20.3,10.6,30.4,d,,,,,,,2M,Simbad,NED
000.117500,+17.218889,12893,00 00 28.2,+17 13 08,Sdm,,1108,16.5,14.4,11.82,-19.3,2.5,21.5,19.8,35.5,d,,,,,,,2M,Simbad,NED
