galaxy,source_file,beta_mode,status,error
NGC4085,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4085_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC4088,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4088_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC4100,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4100_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC4138,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4138_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC4157,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4157_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC4183,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4183_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC4214,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4214_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC4217,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4217_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC4389,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4389_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC4559,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4559_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC5005,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5005_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC5033,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5033_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC5055,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5055_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC5371,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5371_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5585_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC5907,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5907_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC5985,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5985_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC6015,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6015_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6195_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC6503,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6503_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC6674,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6674_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC6789,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6789_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC6946,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6946_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC7331,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC7331_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC7793,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC7793_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC7814,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC7814_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
PGC51017,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\PGC51017_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC00128,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC00128_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC00191,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC00191_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC00634,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC00634_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC00731,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC00731_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC00891,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC00891_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC01230,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC01230_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC01281,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC01281_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
