r_kpc,v_obs_kmps,v_err_kmps,v_baryon_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,a_struct,a_total
3.35,266.0,11.8,326.1291514109096,0.0,31749.32041791045,-6785.7483528142375,64.58354462197656,2.243359741433176,0.5074680679861727,-60322.29069547298,-28572.970277562526
3.43,267.0,12.7,327.15898719124317,0.0,31204.95711370263,-6369.68995730072,66.58768374464694,2.2554033919796677,0.515261018339785,-58967.56450222619,-27762.60738852356
4.21,280.0,5.52,332.56960098601917,0.0,26271.387054631832,-6238.578147607824,68.74115482325392,2.264772432310166,0.5213233385536369,-49104.051636837394,-22832.66458220556
4.29,282.0,2.35,332.9454246569548,0.0,25839.7799067599,-5396.697420477339,70.315542852635,2.2733426373342542,0.5268687653339292,-45844.50325154711,-20004.72334478721
4.38,283.0,5.1,333.24209578023004,0.0,25353.948493150685,-5268.381410908203,71.60722465278934,2.2830843890062633,0.5331722517099351,-45157.31338017739,-19803.364887026702
4.47,285.0,4.61,333.5639016740271,0.0,24891.471252796426,-4887.11144202544,72.69531587336844,2.2907674195357566,0.5381436244054896,-43155.31296975287,-18263.841716956445
4.8,290.0,10.8,334.4346514642285,0.0,23301.3616875,-4311.146441314093,73.70861712587667,2.2873799560085954,0.5359517362408559,-37992.536757653965,-14691.175070153964
5.25,296.0,2.85,336.19351480955135,0.0,21528.777028571432,-3881.409368674083,74.59896355856594,2.2901282629506214,0.5377300524974609,-33055.311006796765,-11526.533978225332
5.32,298.0,1.92,336.4902870812173,0.0,21283.028815789476,-3533.916733562202,75.33309428730735,2.295472134258424,0.5411878515789803,-31108.061233614826,-9825.03241782535
5.41,299.0,4.29,336.76657405389864,0.0,20963.35035120148,-3560.2920069112524,76.05793971652757,2.302675211030045,0.5458486659606172,-31027.781173297146,-10064.430822095666
5.5,300.0,4.92,336.9450539776478,0.0,20642.17625454545,-3609.073855897378,77.00096688427914,2.3070498443677057,0.5486793110614566,-31159.54455627451,-10517.36830172906
5.58,301.0,2.24,336.97466892928315,0.0,20349.807795698925,-3786.390977562749,77.93603521037828,2.3112339133623414,0.5513866498226915,-32010.209901103943,-11660.402105405017
5.67,302.0,4.59,336.7364505069209,0.0,19998.489788359784,-3708.0761990989995,78.70009975972839,2.3189442444734327,0.5563756876004564,-31409.423511060348,-11410.933722700564
5.76,303.0,5.07,336.705152173233,0.0,19682.354079861107,-3397.103954625598,79.19970247897658,2.3240884146414813,0.559704268297429,-29468.69020327346,-9786.336123412355
6.0,306.0,7.89,336.5481732233887,0.0,18877.445483333337,-3298.5117943988375,79.51480505550742,2.326698370164117,0.5613930630473698,-27876.820048079786,-8999.37456474645
6.18,307.0,4.41,336.2667557163509,0.0,18296.979126213595,-3174.477571327324,79.53814536047344,2.3254656611312785,0.5605954277908273,-26414.64170182904,-8117.662575615446
6.27,308.0,3.2,336.1361481602358,0.0,18020.33653907496,-3005.2228709979217,79.20882753169428,2.3223600856887825,0.558585937798624,-25016.76649314035,-6996.429954065388
6.36,309.0,6.66,336.04822287880063,0.0,17756.039009433967,-2865.064665834174,78.6286141149857,2.319482156315072,0.5567237482038699,-23717.554299803767,-5961.5152903698
6.45,310.0,5.83,336.0131405168554,0.0,17504.624899224807,-2734.803920010639,77.81149040445393,2.312152345816936,0.5519809296462528,-22428.262405346482,-4923.637506121675
6.53,310.0,3.83,336.0223636902758,0.0,17291.12234303216,-2580.5768569175575,76.92917792523593,2.3059692601321187,0.5479801094972532,-21047.177589586667,-3756.055246554508
6.61,311.0,2.41,336.1195509041388,0.0,17091.732602117998,-2387.259612217275,76.1838284106333,2.3012228996449493,0.544908935064379,-19497.897933979224,-2406.165331861226
6.7,312.0,1.25,336.3501612902839,0.0,16885.288208955222,-2189.3562987900555,75.77088194069856,2.2946128867098263,0.5406318678710641,-17979.983799049165,-1094.6955900939429
6.79,312.0,3.61,336.71506218166127,0.0,16697.64846833579,-2266.532576010244,75.91684834844193,2.29096902909902,0.5382740776523072,-18226.52364861795,-1528.8751802821607
6.87,313.0,13.8,336.68211505810643,0.0,16499.97767103348,-2235.2808820293253,76.69286234442143,2.293236638212054,0.5397413541372115,-18017.24180810966,-1517.2641370761776
6.96,313.0,4.58,337.0027433122763,0.0,16317.650718390803,-2032.7034521560595,77.9015074048495,2.3032434796906625,0.5462163692116051,-16851.913523555068,-534.2628051642641
7.05,314.0,3.05,337.26153338321876,0.0,16134.09104964539,-2106.244544220944,79.5638852626785,2.317929243849139,0.5557189224906194,-17442.909227721353,-1308.8181780759624
7.2,315.0,1.38,337.4129437351211,0.0,15812.152027777776,-2259.5619903205484,81.47120492511417,2.3370118246721843,0.5680664747878839,-18405.3696645342,-2593.2176367564225
7.39,316.0,0.75,336.9770873516477,0.0,15365.839972936405,-2421.017178590905,83.38204179397123,2.3498828759835693,0.5763948021070153,-19278.229378069474,-3912.38940513307
7.47,316.0,8.57,336.50234189378233,0.0,15158.477389558233,-2489.558966158087,84.95246507342648,2.36179470884667,0.5841024586654924,-19815.99414174154,-4657.516752183306
7.99,318.0,1.36,332.92358838027684,0.0,13872.10459324155,-2422.265137078098,86.22151978558632,2.3681939732344284,0.5882431591516889,-18444.457549155017,-4572.352955913466
8.08,318.0,16.0,332.4780246873468,0.0,13680.895655940592,-2126.1399804289535,86.92682937056676,2.3709229875530413,0.5900089919460856,-16742.756744641276,-3061.8610887006835
8.16,318.0,5.5,332.0346248510839,0.0,13510.660796568629,-1940.8016124847572,87.30134231548331,2.3674693996946483,0.5877743174494783,-15562.239222766664,-2051.5784261980352
8.25,319.0,2.94,331.88162784342256,0.0,13350.959381818184,-1757.6736233562292,87.64897963147438,2.3706020309344003,0.5898013141340237,-14334.435045483116,-983.4756636649327
8.34,319.0,1.74,331.72321504531453,0.0,13194.279544364508,-1740.2240533910622,88.48923299522706,2.3666532888123117,0.5872462457020841,-14206.334037343888,-1012.0544929793796
8.4,319.0,2.2,331.5951997541581,0.0,13089.925773809524,-1674.296144355007,90.08797711590324,2.3657720083561413,0.5866760054069149,-13937.441375857434,-847.5156020479099
9.59,319.0,3.23,326.28594177500196,0.0,11101.40936392075,-1514.607093253969,92.49328287651015,2.376803170621414,0.5938138162844444,-11585.802398827402,-484.39303490665225
10.8,317.0,4.08,319.55059458558355,109.20950289993051,9454.868749999998,-1131.441231497827,95.24126054993651,2.405405494680619,0.6123212024404006,-8350.54323855093,1104.3255114490676
12.02,312.0,2.62,316.84558731344197,163.89100351262763,8352.00717138103,-856.6324713056842,98.50110527900696,2.4437487210990834,0.637131525417054,-6117.376469852235,2234.6307015287957
13.22,308.0,0.76,312.3901986298546,156.51483123566743,7381.818169440242,-815.3594461198121,102.23054203915673,2.4793120601332963,0.6601430977333094,-5528.800590262522,1853.01757917772
