galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,beta_mode
NGC2841,38.9,275.0,2.83,0.9815018107879488,671.8279717223651,44.13315568120072,715.9611274035658,161.66047166824671,41.43404102907063,166.88585277368094,,1749.1355972338743,1749.1355972338743,formula
NGC2841,40.99,272.0,2.83,0.9961449452719677,613.452088314223,42.50774783556449,655.9598361497875,158.5730150435439,41.74197628023604,163.97497883451547,,1749.1355972338743,1749.1355972338743,formula
NGC2841,43.08,271.0,2.83,1.0257156238138048,560.2544289693593,41.64613997798689,601.9005689473462,155.35688204904216,42.35700308392551,161.0275644424012,,1749.1355972338743,1749.1355972338743,formula
NGC2841,45.16,274.0,4.24,1.0864690972638176,509.8222896368468,42.081084440183695,551.9033740770304,151.7352121295515,43.59336845574904,157.8732288050089,,1749.1355972338743,1749.1355972338743,formula
NGC2841,47.1,277.0,4.24,1.1508231829519713,464.1975265392782,42.73770266291474,506.93522920219294,147.8638005057357,44.86586447872463,154.5207083061144,,1749.1355972338743,1749.1355972338743,formula
NGC2841,49.19,281.0,4.24,1.2233705447456487,420.96993901199437,43.501544387517995,464.47148339951235,143.90104690376648,46.25841510927509,151.15340640694146,,1749.1355972338743,1749.1355972338743,formula
NGC2841,51.27,286.0,4.24,1.2945457002428211,385.61084844938557,44.16493010611996,429.77577855550555,140.6067857537466,47.58503931427157,148.44057452913867,,1749.1355972338743,1749.1355972338743,formula
NGC2841,53.36,282.0,4.24,1.2992610403401654,358.2723500749625,42.589650220354194,400.8620002953167,138.26573183547686,47.67162401007648,146.25319256603632,,1749.1355972338743,1749.1355972338743,formula
NGC2841,55.3,283.0,4.24,1.3206705277410247,339.70945931283904,41.772727527838576,381.4821868406776,137.06178570265308,48.06279051708788,145.2445005233915,,1749.1355972338743,1749.1355972338743,formula
NGC2841,57.38,288.0,5.66,1.36248948788682,323.1677291739282,41.5332670637816,364.7009962377098,136.17402211875802,48.817812979687936,144.66009527205415,,1749.1355972338743,1749.1355972338743,formula
NGC2841,59.47,287.0,5.66,1.3663027251120223,308.29526483941476,40.1857866670773,348.48105150649207,135.4042813207913,48.88607913395271,143.95891126669125,,1749.1355972338743,1749.1355972338743,formula
NGC2841,61.56,289.0,7.07,1.3934673197438168,292.71247888239117,39.59329585032467,332.30577473271586,134.23628496051282,49.36965963571135,143.02707258608766,,1749.1355972338743,1749.1355972338743,formula
NGC2841,63.64,294.0,7.07,1.4438987203243607,276.51932903834074,39.685333917658355,316.2046629559991,132.65628556536626,50.255095766695916,141.8564935084742,,1749.1355972338743,1749.1355972338743,formula
