galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,sigma_i,beta_i,S_i,I_int_i,eta_obs_i,I_ext_i,DeltaD_i,eta_sigma_term_i,eta_dw_term_i,eta_density_term_i,eta_flow_term_i,eta_transition_term_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
NGC3198,6.74,144.0,142.80586577588468,1.23,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.2162440436481576,0.11205690987006553,0.0854995700403939,4819081.601078281,7776295.799616699,0.6240484423198841,4842791.688373663,0.3759515576801159,0.6176316960570343,0.4495777920616557,0.5068197913728925,0.5035723844177628,0.43459799861690523,504082406.9900824,63.2204538773006,3,142.80586577588468,0.008292598778578587,0.003117615428022846
NGC3198,7.06,146.0,141.5263950646663,1.57,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.205743777858537,0.11441897153440755,0.08171581130327732,4513596.968625868,7586040.311742149,0.6253876651496133,4735062.4714890625,0.37461233485038675,0.622785892370237,0.45923953250493127,0.5063123107653479,0.5031949119029345,0.42924507145428775,483046293.9225778,68.90695085889567,3,141.5263950646663,0.030641129694066415,0.011478545137147736
NGC3198,8.04,147.0,136.66636199153032,3.0,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.1735867138778246,0.12165278538145499,0.07012805017085777,3578050.281740355,7003382.880126339,0.6294890350656588,4405141.744779973,0.3705109649343413,0.6385706185794202,0.48882861261246263,0.5047581514047427,0.5020389023262729,0.4128517320187717,418623197.65334487,86.32184786503063,3,136.66636199153032,0.07029685720047399,0.026045756393199216
NGC3198,9.04,148.0,132.3148706684173,3.0,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.15464937131909,0.12108866320255987,0.06194830291268479,3034842.7044211486,6435944.878450754,0.6309123951595906,4061209.8499628473,0.3690876048404095,0.635992511598494,0.5042897858279242,0.5030511416685901,0.49957738346415065,0.4121760228991558,376492716.81031334,120.65531658227842,3,132.3148706684173,0.10598060359177491,0.0391161271392291
NGC3198,10.04,152.0,130.27030513513046,2.0,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.1438614185580023,0.11585809815765419,0.05590897558191984,2733269.7345066993,5884428.856513236,0.6307137978533327,3713003.5201306148,0.36928620214666735,0.6224406918079116,0.511098969681772,0.5012729904246551,0.49636299256438554,0.42092778942639486,348226883.30439395,164.71635877637124,3,130.27030513513046,0.14295851884782595,0.05279260848982641
NGC3198,11.04,155.0,129.53229442884117,2.0,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.133073465796915,0.1106275331127485,0.04986964825115488,2431696.76459225,5332912.834575716,0.6305152005470748,3364797.190298382,0.3694847994529252,0.6088888720173293,0.5179081535356199,0.49949483918072013,0.49314860166462043,0.42967955595363394,319961049.7984745,208.77740097046407,3,129.53229442884117,0.16430777787844408,0.0607092263579727
NGC3198,12.05,156.0,128.5558730669276,2.0,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.122177633508216,0.10534466241739375,0.04376992764708227,2127108.064978656,4775881.652418822,0.6303146172677543,3013108.797167827,0.36968538273224566,0.5952015340288411,0.5247854292280063,0.4976989064243458,0.4899020668558577,0.4385188401461454,291412557.9574958,253.2790535864979,3,128.5558730669276,0.17592389059661792,0.06503649082695641
NGC3198,14.05,157.0,123.04960300626736,2.0,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.10060172798604,0.09488353232758237,0.03169127298555236,1523962.1251497574,3672849.608543785,0.6299174226552385,2316696.1375033623,0.37008257734476147,0.5680978944476763,0.5384037969357022,0.49414260393647574,0.4834732850563275,0.4560223732006236,234880890.94565696,341.40113797468354,4,123.04960300626736,0.2162445668390614,0.08002834663260139
NGC3198,16.07,153.0,114.18718535807773,2.0,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.0788100634086426,0.08431779093687289,0.019491831777407154,914784.7259225701,2558787.2442299975,0.6295162560965977,1613319.3512422526,0.37048374390340233,0.5407232184707,0.5521583483204748,0.490550738423727,0.4769802154388019,0.4737009415856465,177783907.2636997,430.404443206751,4,114.18718535807773,0.2536785270713874,0.0939837704573082
NGC3198,18.13,153.0,107.92139546910983,2.0,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.056586880720802,0.07354282694436717,0.007050817476031354,293544.40789880464,1422664.2390387096,0.6291071456457064,896014.311787854,0.3708928543542936,0.5128064697021004,0.5661852670594015,0.4868877468612209,0.4703585701852858,0.49172958063175903,119556290.24150574,521.1701901265822,4,107.92139546910983,0.29463140216268086,0.10927668173052449
