galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,sigma_i,beta_i,S_i,I_int_i,eta_obs_i,I_ext_i,DeltaD_i,eta_sigma_term_i,eta_dw_term_i,eta_density_term_i,eta_flow_term_i,eta_transition_term_i,propagation_source_i,propagation_term_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
NGC2403,2.28,98.2,106.99600226176678,1.6,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.334024546161019,0.11516859569009126,0.23503266733297207,98031796.49171075,108575853.1298624,0.6122195909639195,66613770.47733016,0.38778040903608046,0.6755846046302834,0.31317762114776393,0.5108792497138743,0.5070313727044148,0.5073070719962931,0.16041901526903696,0.4639575084057086,3495337280.6652403,1.584417030821918,2,106.99600226176678,0.08957232445791011,0.0347343926166009
NGC2403,2.37,98.2,106.47681531676274,1.0,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.329216573776596,0.11806844582549104,0.23837143282073484,99505843.3067296,108900935.90842625,0.6185461284216222,67253729.86112827,0.3814538715783778,0.6846140875025499,0.318240027449293,0.5109999658765179,0.5070738938036334,0.5041610170604822,0.16539493866546642,0.47760169984282175,3520534601.384029,1.741806957055215,2,106.47681531676274,0.08428528835807267,0.03215094956128679
NGC2403,2.47,97.2,105.8918665431864,1.12,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3211742448271764,0.11909951091701014,0.23170127848816843,95992284.59877764,107065019.54015438,0.6239184796960026,66470906.91229721,0.37608152030399744,0.6862671599655507,0.32581335963890573,0.5105416339649963,0.506779148228482,0.5013286153194036,0.16895605325701032,0.48968635463501314,3430418561.1802335,2.025272417177915,2,105.8918665431864,0.08942249530027153,0.03363014798190318
NGC2403,2.57,98.2,105.44533797186104,1.41,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.313131915877756,0.12013057600852924,0.22503112415560203,92478725.89082569,105229103.17188251,0.629290830970383,65688083.96346615,0.3707091690296171,0.6879202324285514,0.33338669182851854,0.5100833020534747,0.5064844026533306,0.49849621357832513,0.1725171678485542,0.5017710094272044,3340302520.9764385,2.3087378773006133,2,105.44533797186104,0.07378144574196571,0.02735145844080789
NGC2403,2.68,98.2,104.8043329256954,1.12,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.304285354033394,0.12126474760920024,0.21769395438977895,88613811.31207852,103209595.16678344,0.6352004173722013,64826978.719751984,0.36479958262779866,0.6897386121378521,0.3417173572370926,0.509579136950801,0.5061601825206641,0.4953805716631387,0.1764343938992525,0.515064129698615,3241174876.7522635,2.620549883435584,2,104.8043329256954,0.06725389944700003,0.024534194448357548
NGC2403,2.78,98.2,104.27580016475538,1.6,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.296243025083974,0.12229581270071933,0.21102380005721258,85100252.60412657,101373678.79851158,0.6405727686465816,64044155.770920925,0.3594272313534183,0.6913916846008529,0.3492906894267054,0.5091208050392795,0.5058654369455128,0.49254816992206013,0.17999550849079637,0.5271487844908063,3151058836.5484686,2.9040153435582825,2,104.27580016475538,0.06187169210545192,0.02223837099261373
NGC2403,2.88,99.1,103.74163339759018,2.69,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.288200696134554,0.12332687779223843,0.20435364572464618,81586693.89617462,99537762.4302397,0.645945119920962,63261332.822089866,0.35405488007903796,0.6930447570638536,0.3568640216163182,0.5086624731277578,0.5055706913703614,0.4897157681809815,0.18355662308234028,0.5392334392829977,3060942796.3446736,3.187480803680982,2,103.74163339759018,0.04683787484954777,0.016583178163013624
NGC2403,2.98,100.0,103.37419407182821,2.69,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.280158367185134,0.12435794288375752,0.19768349139207975,78073135.18822266,97701846.06196782,0.6513174711953424,62478509.87325881,0.3486825288046576,0.6946978295268543,0.364437353805931,0.5082041412162362,0.50527594579521,0.48688336643990293,0.18711773767388418,0.5513180940751891,2970826756.140878,3.4709462638036817,2,103.37419407182821,0.03374194071828214,0.011765225216427462
NGC2403,3.08,102.0,103.28898876453384,3.16,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.2721160382357137,0.1253890079752766,0.19101333705951334,74559576.4802707,95865929.69369595,0.6566898224697227,61695686.92442775,0.3433101775302772,0.696350901989855,0.37201068599554377,0.5077458093047147,0.5049812002200585,0.48405096469882436,0.19067885226542805,0.5634027488673805,2880710715.9370832,3.7544117239263812,2,103.28898876453384,0.01263714475033177,0.004338460407712211
NGC2403,3.19,101.0,103.25176850785657,3.4,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.263269476391352,0.1265231795759476,0.1836761672936903,70694661.90152356,93846421.68859689,0.6625994088715411,60834581.68071358,0.3374005911284588,0.6981692816991558,0.38034135140411784,0.507241644202041,0.504656980087392,0.48093532278363793,0.19459607831612633,0.5766958691387909,2781583071.7129083,4.066223730061351,2,103.25176850785657,0.022294737701550174,0.007522257679556966
