galaxy,source_file,status,n_rows,has_nan,missing_columns,non_positive_r,non_positive_v_err,negative_v_obs,not_monotonic_r,duplicate_r_count,r_min,r_max,v_obs_min,v_obs_max,notes
NGC6674,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC6674.csv,ok,15,False,,0,0,0,False,0,2.5,72.41,206.0,291.0,
NGC6789,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC6789.csv,warning,4,False,,0,0,0,False,0,0.1,0.71,13.9,60.4,too_few_points
NGC6946,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC6946.csv,ok,58,False,,0,0,0,False,0,0.19,20.4,128.0,181.0,
NGC7331,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC7331.csv,ok,36,False,,0,0,0,False,0,2.67,36.31,221.0,257.0,
NGC7793,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC7793.csv,ok,46,False,,0,0,0,False,0,0.11,7.87,9.1,116.0,
NGC7814,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC7814.csv,ok,18,False,,0,0,0,False,0,0.63,19.53,214.0,265.0,
PGC51017,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\PGC51017.csv,ok,6,False,,0,0,0,False,0,0.33,3.63,18.2,20.5,
UGC00128,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC00128.csv,ok,22,False,,0,0,0,False,0,1.25,53.75,34.1,134.0,
UGC00191,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC00191.csv,ok,9,False,,0,0,0,False,0,0.62,9.98,29.9,83.85,
UGC00634,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC00634.csv,warning,4,False,,0,0,0,False,0,4.51,18.01,69.75,108.0,too_few_points
UGC00731,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC00731.csv,ok,12,False,,0,0,0,False,0,0.91,10.91,29.6,74.0,
UGC00891,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC00891.csv,ok,5,False,,0,0,0,False,0,1.48,7.39,24.35,63.75,
UGC01230,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC01230.csv,ok,11,False,,0,0,0,False,0,0.78,36.54,19.8,113.0,
UGC01281,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC01281.csv,ok,25,False,,0,0,0,False,0,0.08,4.99,1.41,56.9,
UGC02023,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC02023.csv,ok,5,False,,0,0,0,False,0,0.76,3.78,15.1,58.8,
UGC02259,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC02259.csv,ok,8,False,,0,0,0,False,0,1.02,8.14,56.1,90.0,
UGC02455,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC02455.csv,ok,8,False,,0,0,0,False,0,0.5,4.03,16.9,61.0,
UGC02487,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC02487.csv,ok,17,False,,0,0,0,False,0,9.93,80.38,329.0,383.0,
UGC02885,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC02885.csv,ok,19,False,,0,0,0,False,0,1.7,74.07,256.0,305.0,
UGC02916,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC02916.csv,ok,43,False,,0,0,0,False,0,0.37,38.0,181.0,218.0,
UGC02953,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC02953.csv,ok,115,False,,0,0,0,False,0,0.09,62.39,231.0,319.0,
UGC03205,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC03205.csv,ok,48,False,,0,0,0,False,0,0.28,40.04,107.0,237.0,
UGC03546,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC03546.csv,ok,30,False,,0,0,0,False,0,0.63,29.23,190.0,262.0,
UGC03580,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC03580.csv,ok,47,False,,0,0,0,False,0,0.11,27.06,56.2,131.0,
