galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,Dw_smooth_i,dDw_dr_i,propagation_source_i,propagation_term_i,delta_struct_i,DeltaD_i,causal_horizon_kpc,ell_info_kpc,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
UGC12506,33.6,244.0,154.95305514897083,12.9,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.0903035794333196,2.0824169650984965,-0.001218257226113262,0.562929485789395,0.11096512219035977,0.5337582909055838,0.5337582909055838,8.200000000000001,8.200000000000001,474353725.623555,393.57152353024935,4,154.95305514897083,0.3649464952911031,0.19479321759856189
UGC12506,35.24,239.0,151.39043067512557,16.2,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.0912158246478727,2.0790333282763114,-0.0012022068188620588,0.5597806274772019,0.10642969096980653,0.5243860252074923,0.5243860252074923,8.200000000000001,8.200000000000001,489277019.05815303,388.37299200000024,4,151.39043067512557,0.3665672356689307,0.19222273568372866
UGC12506,36.88,238.0,148.93430095179554,18.4,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.0860337249566725,2.078473726732629,-0.001058636138714476,0.5106589117843428,0.10101360387865632,0.5092759939878291,0.5092759939878291,8.200000000000001,8.200000000000001,456418557.02696383,447.73875553024936,4,148.93430095179554,0.3742256262529599,0.19058412778569397
UGC12506,38.52,241.0,147.86294194286816,24.9,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.0808516252654727,2.0779141251889466,-0.0009150654585668933,0.4615371960914836,0.0955975167875061,0.49416596276816577,0.49416596276816577,8.200000000000001,8.200000000000001,423560094.9957747,507.10451906049855,4,147.86294194286816,0.3864608218138251,0.19097578408380542
UGC12506,40.16,237.0,146.86702999652442,23.0,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.0756695255742725,2.0773545236452646,-0.0007714947784193112,0.4124154803986247,0.0901814296963559,0.47905593154850257,0.47905593154850257,8.200000000000001,8.200000000000001,390701632.96458566,566.4702825907475,5,146.86702999652442,0.38030789031002354,0.18218875066771406
UGC12506,41.8,228.0,145.3176358877339,14.0,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.0704874258830728,2.0767949221015822,-0.0006279240982717284,0.3632937647057655,0.08476534260520568,0.4639459003288393,0.4639459003288393,8.200000000000001,8.200000000000001,357843170.93339646,625.8360461209966,5,145.3176358877339,0.3626419478608162,0.16824624499729038
UGC12506,43.44,233.0,144.56442508445846,16.9,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.0653053261918726,2.0762353205579,-0.00048435341812414563,0.3141720490129064,0.07934925551405547,0.44883586910917606,0.44883586910917606,8.200000000000001,8.200000000000001,324984708.90220726,685.2018096512458,5,144.56442508445846,0.3795518236718521,0.17035647264972847
UGC12506,45.08,233.0,145.48456034919994,13.7,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.060139025585097,2.075677425116485,-0.00034122045346481733,0.26520009464837896,0.07394968088354899,0.43377190505786534,0.43377190505786534,8.200000000000001,8.200000000000001,292226425.10891795,744.3865800000004,5,145.48456034919994,0.37560274528240367,0.1629259183661124
UGC12506,46.71,230.0,141.73603987694875,11.6,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.060139025585097,2.075677425116485,-0.00034122045346481733,0.26520009464837896,0.07394968088354899,0.43377190505786534,0.43377190505786534,8.200000000000001,8.200000000000001,292226425.10891795,744.3865800000004,5,141.73603987694875,0.3837563483610924,0.16646272230664086
UGC12506,48.35,226.0,141.77505633925875,11.6,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.060139025585097,2.075677425116485,-0.00034122045346481733,0.26520009464837896,0.07394968088354899,0.43377190505786534,0.43377190505786534,8.200000000000001,8.200000000000001,292226425.10891795,744.3865800000004,5,141.77505633925875,0.3726767418616869,0.16165670028810225
UGC12506,49.99,225.0,142.74005919853053,11.6,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.060139025585097,2.075677425116485,-0.00034122045346481733,0.26520009464837896,0.07394968088354899,0.43377190505786534,0.43377190505786534,8.200000000000001,8.200000000000001,292226425.10891795,744.3865800000004,5,142.74005919853053,0.36559973689541986,0.1585868943617806
