galaxy_id,filename,filepath,catalog_prefix,catalog_number,name_normalized,row_count,source_expected
NGC5055,NGC5055.csv,data/derived/sparc/NGC5055.csv,NGC,5055,NGC5055,28,SPARC
NGC5371,NGC5371.csv,data/derived/sparc/NGC5371.csv,NGC,5371,NGC5371,19,SPARC
NGC5585,NGC5585.csv,data/derived/sparc/NGC5585.csv,NGC,5585,NGC5585,24,SPARC
NGC5907,NGC5907.csv,data/derived/sparc/NGC5907.csv,NGC,5907,NGC5907,19,SPARC
NGC5985,NGC5985.csv,data/derived/sparc/NGC5985.csv,NGC,5985,NGC5985,33,SPARC
NGC6015,NGC6015.csv,data/derived/sparc/NGC6015.csv,NGC,6015,NGC6015,44,SPARC
NGC6195,NGC6195.csv,data/derived/sparc/NGC6195.csv,NGC,6195,NGC6195,23,SPARC
NGC6503,NGC6503.csv,data/derived/sparc/NGC6503.csv,NGC,6503,NGC6503,31,SPARC
NGC6674,NGC6674.csv,data/derived/sparc/NGC6674.csv,NGC,6674,NGC6674,15,SPARC
NGC6789,NGC6789.csv,data/derived/sparc/NGC6789.csv,NGC,6789,NGC6789,4,SPARC
NGC6946,NGC6946.csv,data/derived/sparc/NGC6946.csv,NGC,6946,NGC6946,58,SPARC
NGC7331,NGC7331.csv,data/derived/sparc/NGC7331.csv,NGC,7331,NGC7331,36,SPARC
NGC7793,NGC7793.csv,data/derived/sparc/NGC7793.csv,NGC,7793,NGC7793,46,SPARC
NGC7814,NGC7814.csv,data/derived/sparc/NGC7814.csv,NGC,7814,NGC7814,18,SPARC
PGC51017,PGC51017.csv,data/derived/sparc/PGC51017.csv,PGC,51017,PGC51017,6,SPARC
UGC00128,UGC00128.csv,data/derived/sparc/UGC00128.csv,UGC,00128,UGC00128,22,SPARC
UGC00191,UGC00191.csv,data/derived/sparc/UGC00191.csv,UGC,00191,UGC00191,9,SPARC
UGC00634,UGC00634.csv,data/derived/sparc/UGC00634.csv,UGC,00634,UGC00634,4,SPARC
UGC00731,UGC00731.csv,data/derived/sparc/UGC00731.csv,UGC,00731,UGC00731,12,SPARC
UGC00891,UGC00891.csv,data/derived/sparc/UGC00891.csv,UGC,00891,UGC00891,5,SPARC
UGC01230,UGC01230.csv,data/derived/sparc/UGC01230.csv,UGC,01230,UGC01230,11,SPARC
UGC01281,UGC01281.csv,data/derived/sparc/UGC01281.csv,UGC,01281,UGC01281,25,SPARC
UGC02023,UGC02023.csv,data/derived/sparc/UGC02023.csv,UGC,02023,UGC02023,5,SPARC
UGC02259,UGC02259.csv,data/derived/sparc/UGC02259.csv,UGC,02259,UGC02259,8,SPARC
UGC02455,UGC02455.csv,data/derived/sparc/UGC02455.csv,UGC,02455,UGC02455,8,SPARC
UGC02487,UGC02487.csv,data/derived/sparc/UGC02487.csv,UGC,02487,UGC02487,17,SPARC
UGC02885,UGC02885.csv,data/derived/sparc/UGC02885.csv,UGC,02885,UGC02885,19,SPARC
UGC02916,UGC02916.csv,data/derived/sparc/UGC02916.csv,UGC,02916,UGC02916,43,SPARC
UGC02953,UGC02953.csv,data/derived/sparc/UGC02953.csv,UGC,02953,UGC02953,115,SPARC
UGC03205,UGC03205.csv,data/derived/sparc/UGC03205.csv,UGC,03205,UGC03205,48,SPARC
