galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,volume_kpc3,m_enc_inner_msun,m_enc_outer_msun,m_shell_msun,mu_shell_msun_per_kpc3,v_bar_internal_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,alpha_i,d_i,d_gal_mean,sigma0_i,sigma1_i,delta_d_eff_i,beta_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,omega_i,a_i,g_bar_internal_km2s2_per_kpc,g_scale_i,delta_mag_i,g_trans_raw_km2s2_per_kpc,g_cap_i,g_trans_km2s2_per_kpc,g_desc_km2s2_per_kpc,v_desc_segment_kms,source_file
NGC4157,3,15.68,20.9,18.29,5.219999999999999,0.35,209.95785208321075,127734232883.73857,124762772829.471,1e-12,4.762860688838057e-15,173.7702629094548,182.5,6.699999999999999,4,29.61,0.0,3.0,1.9500000000000002,1.0499999999999998,1.0499999999999998,2.0999999999999996,0.0022797049138862926,4.762860688838057e-23,0.5,0.6176967240797028,1.000000000000393,0.6176967240797028,1650.9625080164594,297.1732516229627,0.9999983369439447,0.4184686495329038,1403.3181318139905,0.41846863712909,1651.3809766535885,173.79228424471017,NGC4157_segment_structure_v7.csv
NGC4157,4,22.65,29.61,26.13,6.960000000000001,0.35,399.941583738604,127131929904.36913,121923652564.92233,1e-12,2.500365154961194e-15,143.6010859755771,185.2,10.84,5,29.61,0.0,3.0,1.9500000000000002,1.0499999999999998,0.0,1.0499999999999998,0.07549345855579628,2.500365154961194e-23,0.5,0.8824721377912867,1.0000000000004696,0.8824721377912867,789.1799423407992,142.05238980134385,0.9981778976111987,9.446410581248342,670.8029509896793,9.445786192854719,798.625728533654,144.45791873962597,NGC4157_segment_structure_v7.csv
NGC4183,1,0.87,4.37,2.62,3.5,0.35,20.16588324339288,311466032.0722823,4673720339.416543,4362254307.344261,216318534.3629074,55.05702458827953,74.28,6.24,5,21.02,-0.22363796376459924,2.9217267126823905,2.7072768484367566,0.21444986424563384,0.0,0.21444986424563384,1.223184680032936,0.6838629762830415,0.5,0.1246431969552807,1.1207183765231332,0.1246431969552807,1156.9755559215332,208.520339947899,0.6136984644329754,21.86555809526825,983.4292225333032,21.86195572492723,1178.8375116464604,55.57476298207421,NGC4183_segment_structure_v7.csv
NGC4183,2,5.24,7.85,6.545,2.6099999999999994,0.35,37.56626959772046,6367369203.261639,12989099360.36792,6621730157.106281,176267971.98697874,78.4315719271537,105.075,5.2,4,21.02,-0.22363796376459924,2.9217267126823905,2.7072768484367566,0.21444986424563384,0.0,0.21444986424563384,1.223184680032936,0.6380325982748616,0.5,0.3113701236917222,1.1780128454096048,0.3113701236917222,939.8795225308303,169.4172927636466,0.6136984644329754,46.64786511016084,798.8975941512057,46.59492315553334,986.4744456863637,80.35219503546402,NGC4183_segment_structure_v7.csv
NGC4183,3,8.72,12.31,10.515,3.59,0.35,83.01405688902415,15644099404.07961,17531348104.238407,1887248700.1587963,22734085.899231873,83.77962206637491,112.2,5.72,5,21.02,-3.0,1.9500000000000002,2.7072768484367566,-0.7572768484367565,-0.9717267126823903,1.7290035611191468,0.00785147024901855,0.1852304169022548,0.5,0.5002378686964796,1.0655044178299748,0.5002378686964796,667.5249713347231,120.24031933460549,0.9999802736073444,0.5031811499315764,567.3962256345146,0.5031810180212444,668.0281523527443,83.81119270114885,NGC4183_segment_structure_v7.csv
NGC4183,4,13.12,16.03,14.575,2.910000000000002,0.35,93.27160823040715,17235289573.60187,17916182714.82082,680893141.2189484,7300111.5145023605,72.17567239808223,109.25,4.925,4,21.02,-3.0,1.9500000000000002,2.7072768484367566,-0.7572768484367565,0.0,0.7572768484367565,0.20029471349751582,0.06803451936315741,0.5,0.6933872502378686,1.0283261304728846,0.6933872502378686,357.41527863569735,64.3833838477944,0.9872441272383102,9.077673697404864,303.8029868403427,9.07497307852799,366.49025171422534,73.0862190753827,NGC4183_segment_structure_v7.csv
NGC4183,5,16.95,21.02,18.985,4.07,0.35,169.92329596941792,17719855079.50643,18262218969.473904,542363889.9674721,3191815.971278502,64.2317986909034,110.8,7.359999999999999,5,21.02,-3.0,1.9500000000000002,2.7072768484367566,-0.7572768484367565,0.0,0.7572768484367565,0.20029471349751582,0.030930902235181943,0.5,0.9031874405328258,1.014697773063917,0.9031874405328258,217.31493089643087,39.14884573877317,0.9872441272383102,7.094594938038457,184.71769126196622,7.091108448293498,224.40603934472438,65.27134637005423,NGC4183_segment_structure_v7.csv
NGC4389,1,0.87,5.32,3.095,4.45,0.35,30.287859153810178,1518629035.9482064,24924960289.79914,23406331253.850933,772795830.0052528,129.41212209049402,73.10000000000001,6.583333333333333,6,5.32,0.0,3.0,3.0,0.0,0.0,0.0,2.5,0.8854256670779487,0.5,0.581766917293233,1.3376732223173673,0.581766917293233,5411.14615313891,974.5066932651608,0.0,0.0,4599.4742301680735,0.0,5411.14615313891,129.41212209049402,NGC4389_segment_structure_v7.csv
NGC5907,1,5.03,15.1,10.065,10.07,0.35,222.89029678152954,37409811452.69257,179253282430.9274,141843470978.23483,636382440.2695538,214.54029707471642,226.8,4.4,5,50.33,-3.0,1.9500000000000002,1.95,2.220446049250313e-16,0.0,2.220446049250313e-16,2.4999999999999982,0.8642009986503821,0.5,0.1999801311345122,1.193231618972726,0.1999801311345122,4573.029216980385,823.599338246311,7.401486830834377e-16,3.636524939110583e-13,3887.0748344333274,3.636524939110583e-13,4573.029216980385,214.54029707471642,NGC5907_segment_structure_v7.csv
NGC5907,2,17.61,25.16,21.384999999999998,7.550000000000001,0.35,355.0619377707386,197209809953.00992,220383070363.24875,23173260410.23883,65265402.86388475,208.05811317104434,228.0,4.5,4,50.33,-3.0,1.9500000000000002,1.95,2.220446049250313e-16,0.0,2.220446049250313e-16,2.4999999999999982,0.3949126782308962,0.5,0.42489568845618914,1.1287099859598284,0.42489568845618914,2024.2309308531726,364.5069841637911,7.401486830834377e-16,3.23466660644378e-13,1720.5962912251966,3.23466660644378e-13,2024.2309308531728,208.05811317104434,NGC5907_segment_structure_v7.csv
